presentation_id,title,video_title,level_title_only,level_video_context,match
PRES_a286529cf8,Формульное выражение yāvatī yānasya bhūmis в буддийских канонических текстах,Комиссаров Дмитрий Алексеевич Москва  Формульное выражение yāvatī yānasya bhūmis в буддийских канони,1,1,True
PRES_96863ca3fa,Арьядэва и Чандракирти о концепции anātma,Бурмистров Сергей Леонидович СПб  Арьядэва и Чандракирти о концепции anātma,1,1,True
PRES_0f4f24f569,Проблемы изучения традиционного индийского текста «Абхисамая-аланкара» (на тибетском языке),Крапивина Раиса Николаевна СПб  Проблемы изучения традиционного индийского текста «Абхисамая аланкар,1,1,True
PRES_e62fab8a32,Современные баулы: мистики или артисты,С.С. Донченко (Санкт-Петербург). Современные баулы: мистики или артисты.,2,1,False
PRES_62cf077e75,«Зачин» в североиндийской поэзии бхакти,"С.О. Цветкова (Санкт-Петербург). ""Зачин"" в североиндийской поэзии бхакти.",1,1,True
PRES_e1e78406da,Индия в воспоминаниях востоковеда В. А. Иванова,Корнеева Татьяна Георгиевна (Москва). Индия в воспоминаниях востоковеда В. А. Иванова,1,1,True
PRES_da95cc9832,Новые древнеиндийские праформы на материале этимологий лексики языка куллуи,Крылова Анастасия Сергеевна Москва   Новые древнеиндийские праформы на материале этимологий лексики,1,1,True
PRES_da938d5fcc,Проблема индианизации колониальной армии на страницах индийской прессы в 1910-х — 1940-х годах,Зевацкий Тимофей Юрьевич СПб   Проблема индианизации колониальной армии на страницах индийской пресс,2,2,True
PRES_40d116e031,"Отражение концепции ""нисходящего времени"" (descending time) в Катха Упанишаде",Егорова Мария Александровна Москва  Отражение концепции  нисходящего времени  descending time в Катх,1,1,True
PRES_494f681f96,Еще раз к вопросу о теме нейдаль в тамильской поэзии,Дубянский Александр Михайлович (Москва). Еще раз к вопросу о теме нейдаль в тамильской поэзии,1,1,True
PRES_dbb04a69cb,О понятиях «канон» и «классика» в контексте древнеиндийской литературы,Лидова Наталья Ростиславовна Москва  О понятиях «канон» и «классика» в контексте древнеиндийской лит,1,1,True
PRES_4341e890df,Пример использования парибхаш при прочтении сутр Панини,Уланский Евгений Александрович (Москва). Пример использования пари-бхаш при прочтении сутр Панини,1,1,True
PRES_e3a92610f5,К (посмертному) изданию полного перевода (В. С. Семенцова) «Гитабхашьи» Рамануджи на русском языке,"Псху Р.В. К изданию (посмертному) полного перевода В.С. Семенцовым ""Гитабхашьи"" Рамануджи",1,1,True
PRES_4468815627,Атхарваведа 1.2. (Шаунака): дополнение к переводам,С.С.Тавастшерна (Санкт-Петербург). Атхарваведа 1.2. (Шаунака): дополнение к переводам.,1,1,True
PRES_c63fd39448,«Мини-Бхагавадгита» в четвертой «книге» «Рамаяны» Вальмики,Серебряный Сергей Дмитриевич (Москва). «Мини-Бхагавадгита» в четвертой «книге» «Рамаяны» Вальмики,1,1,True
PRES_5ba570d69d,Метафора зеркала в «Бхаванакраме» Камалашилы,Иванов Владимир Павлович СПб Метафора зеркала в «Бхаванакраме» Камалашилы,1,1,True
PRES_0c885f7efc,Великая галлюцинация сознания по «Вимшике» Васубандху,Лысенко Виктория Георгиевна (Москва). Великая галлюцинация сознания по «Вимшике» Васубандху.,1,1,True
PRES_6ada32f841,Голубые лотосы санскритской лексикографии*,"Гасунс М.Ю. (Краснодар). Голубые лотосы санскритской лексикографии (Зографские чтения, 2021)",1,1,True
PRES_060a3a404c,Социально-политический контекст романов Даймонд Шамшера Рана,Стрельцова Лилия Александровна СПб   Социально политический контекст романов Даймонд Шамшера Рана,1,2,False
PRES_060a3a404c,Социально-политический контекст романов Даймонд Шамшера Рана,Стрельцова Лилия Александровна СПб   Социально политический контекст романов Даймонд Шамшера Рана,1,2,False
PRES_cac95e2161,В защиту Вишну Шипивишты: «Аз есьм Шипивишта!» (РВ 7.100.6),Тавастшерна Сергей Сергеевич СПб  В защиту Вишну Шипивишты  «Аз есьм Шипивишта!» РВ 7 100 6,1,1,True
PRES_52a979cbb2,О некоторых особенностях языка «Калачакра-тантры»,Мехакян Арег Гайкович (Москва). О некоторых особенностях языка «Калачакра-тантры»,1,1,True
PRES_542213417f,Д. Д. Руднев как радетель пополнения коллекций МАЭ РАН,"Краснодембская Н.Г., Соболева Е.С. Д.Д. Руднев как радетель пополнения коллекций МАЭ РАН",1,1,True
PRES_972123b738,«Индийская „игра знания“: один эпизод культурного трансфера»,Кузина Елизавета Олеговна (Москва). «Индийская „игра знания“: один эпизод культурного трансфера».,2,1,False
PRES_ec58f38bb5,Традиции и ритуалы почитания манускриптов в писаниях шайва,Ковалевская Анна Петровна (Гамбург). Традиции и ритуалы почитания манускриптов в писаниях шайва.,1,1,True
PRES_493f0d6ac7,Восхождение Урмилы в поэме Майтхилишарана Гупты «Сакет»,Сабирова Римма Наилевна Казань  Восхождение Урмилы в поэме Майтхилишарана Гупты «Сакет»,1,1,True
PRES_493f0d6ac7,Восхождение Урмилы в поэме Майтхилишарана Гупты «Сакет»,Сабирова Римма Наилевна Казань  Восхождение Урмилы в поэме Майтхилишарана Гупты «Сакет»,1,1,True
PRES_6c0ed74411,Анализ переводов М. Зощенко на хинди и на бенгали с помощью метрик readability,Гладкова Анна Геннадьевна СПб  Анализ переводов М  Зощенко на хинди и на бенгали с помощью метрик re,1,1,True
PRES_dff783fb28,Понятие блаженства (ананды) в индуистском тантризме,С.В. Пахомов (Санкт-Петербург). Понятие блаженства (ананды) в индуистском тантризме.,2,2,True
PRES_f0fc87fb3a,"Ведийский гапакс batá- и частица bata / vata: семантика, контекст, этимология","Куликов Леонид Игоревич Гент Ведийский гапакс batá  и частица bata   vata  семантика, контекст, этим",1,1,True
PRES_756e3c2fad,«Третий поворот колеса дхармы» и его первые брахманистские оппоненты,Шохин Владимир Кириллович Москва  «Третий поворот колеса дхармы» и его первые брахманистские оппонен,1,1,True
PRES_99242da6ca,Метафора воды как сюжетообразующий прием романа Абрахама Вергезе «Завет воды»,Челнокова Анна Витальевна СПб  Метафора воды как сюжетообразующий прием романа Абрахама Вергезе «Зав,1,1,True
PRES_99242da6ca,Метафора воды как сюжетообразующий прием романа Абрахама Вергезе «Завет воды»,Челнокова Анна Витальевна СПб  Метафора воды как сюжетообразующий прием романа Абрахама Вергезе «Зав,1,1,True
PRES_dd9e25c669,«Религия Человека»: свобода и традиция в философствовании Рабиндраната Тагора,"Т.Г. Скороходова (Пенза). ""Религия Человека"": свобода в философствовании Рабиндраната Тагора",2,2,True
PRES_79183a8b2a,Сесил Бендалл как публикатор буддийских письменных памятников,Ермакова Татьяна Викторовна СПб  Сесил Бендалл как публикатор буддийских письменных памятников,1,1,True
PRES_315a44f3a9,Work of Patañjali on Yoga Philosophy and Sanskrit Vyākaraṇa,Vishnu Shukla (Санкт-Петербург). Work of Patañjali on Yoga Philosophy and Sanskrit Vyākaraṇa,2,1,False
PRES_c3f8ffb231,О телесном и духовном бессмертии в индуистском тантризме,Пахомов Сергей Владимирович. О телесном и духовном бессмертии в индуистском тантризме,2,1,False
PRES_ce7644969b,«Сумеречный язык» в поэзии тамильских сиддхов,Н.В. Гордийчук (Москва). «Сумеречный язык» в поэзии тамильских сиддхов.,1,1,True
PRES_5fad4e3b63,Образ вишаканья в художественной культуре древней и средневековой Индии,Яковлева Мария Николаевна СПб   Образ вишаканья в художественной культуре древней и средневековой Ин,1,1,True
PRES_5fad4e3b63,Образ вишаканья в художественной культуре древней и средневековой Индии,Яковлева Мария Николаевна СПб   Образ вишаканья в художественной культуре древней и средневековой Ин,1,1,True
PRES_67f7aced5b,Очаги обнаружения санскритских рукописей на территории Тибета,Ермакова Татьяна Викторовна. Очаги обнаружения санскритских рукописей на территории Тибета.,1,1,True
PRES_d06d5a1c3b,Прием лейтмотива в классической индийской поэзии,А.М. Дубянский (Москва). Прием лейтмотива в классической индийской поэзии.,1,1,True
PRES_d1a01cb53b,Онлайн-корпус текстов на языках южных мунда: задачи и специфика,"Крылова А. С., Ренковская Е. А. Онлайн-корпус текстов на языках южных мунда: задачи и специфика",1,1,True
PRES_2e4095c747,Наука абхидхармы в буддийской ментальной традиции средневековой Индии,Островская Елена Петровна СПб  Наука абхидхармы в буддийской ментальной традиции средневековой Индии,2,2,True
PRES_d061375ee0,Индийские и тибетские лингвистические штудии Д. Г. Мессершмидта,А.В. Зорин (Санкт-Петербург). Индийские и тибетские лингвистические штудии Д. Г. Мессершмидта,1,1,True
PRES_89290bf4b4,Парибхаша  —  интерпретационные правила грамматики Панини,Е.А. Уланский  (Москва). Парибхаша  -  интерпретационные правила грамматики Панини,1,1,True
PRES_eaa1d515ff,Трактовка состояний удрученности и умопомешательства в буддийских экзегетических источниках,Островская Е. П. Трактовка состояний удрученности и умопомешательства в буддийских источниках,1,1,True
PRES_10fd30a24c,Техническая терминология тантрийской йоги в «Виджняна Бхайрава тантре»,Ерченков Олег Николаевич. Техническая терминология тантрийской йоги в «Виджняна Бхайрава тантре»,1,1,True
PRES_d1043e6e8c,О философской и религиозной значимости некоторых текстов Веданта Дешики,Сафина Наталья Алексеевна. О философской и религиозной значимости некоторых текстов Веданта Дешики,1,1,True
PRES_76087dcbbe,Индийский мифологический сериал как средство идеологической пропаганды,Сабирова Римма Наилевна. Индийский мифологический сериал как средство идеологической пропаганды.,2,2,True
PRES_645c96325c,Тело бхакта и тело Шивы: о проблемах телесности в тамильском шайва-бхакти,Вечерина Ольга Павловна. Тело бхакта и тело Шивы: о проблемах телесности в тамильском шайва-бхакти,1,1,True
PRES_fe58585a93,Абсолютная встреча как феномен трансцендентальной герменевтики Г. Оберхаммера,Белов В. Н. (Москва). Абсолютная встреча как феномен трансцендентальной герменевтики Г. Оберхаммера.,3,1,False
PRES_bf3384e684,Так называемый парадокс беллетристики и подсказки от компаративной онтологии,Шохин В. К. (Москва). Так называемый парадокс беллетристики и подсказки от компаративной онтологии,1,1,True
PRES_e379735ba8,Текущие переводческие проекты Фонда «Сохраним Тибет!» и изд-ва «Нартанг»,Терентьев А. А. Текущие переводческие проекты Фонда «Сохраним Тибет!» и изд-ва «Нартанг»,1,1,True
PRES_47c4e238fb,Инклюзивизм как концептуальное средство для изучения индийской культуры,Десницкая Е. А. Инклюзивизм как концептуальное средство для изучения индийской культуры,2,2,True
PRES_e4d3d535b2,Танцы с сосудами и вокруг. Гарба Гуджарата и сходные обряды и представления Южной Азии,Рыжакова С.И. Танцы с сосудами и вокруг. Гарба Гуджарата и сходные обряды и представления Южной Азии,1,2,False
PRES_240fa4577e,Г. Оберхаммер и проблема исследования когнитивного потенциала религиозного опыта,Крыштоп Л. Э. Г. Оберхаммер и проблема исследования когнитивного потенциала религиозного опыта.,3,1,False
