microseries,label,presentation_id,year,series,l1,l2,title,matched_terms
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_a72801a7e5,2012,Zograf Readings,religion,colonial,Образ индуизма в религиозно-философской мысли Бенгальского Ренессанса,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_c753d8108f,2012,Zograf Readings,art_archaeology,modern,"«Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения В программе возможны изменения и дополнения Приглашаются все желающие",бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_3195691394,2013,Zograf Readings,literature,medieval,Элементы культурного синтеза в бенгальской поэзии XVII века,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_3666aae128,2013,Zograf Readings,history,colonial,«Открытие Индии» сквозь призму традиционного текста: опыт мыслителей Бенгальского Возрождения,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_ba46b7c452,2013,Zograf Readings,ethnography,contemporary,Современные баулы: от деревни до концертного зала,баул|re:баул
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_c247636d94,2013,Zograf Readings,linguistics,modern,Причастие-герундий в хинди и бенгальском языке,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_adefba4b15,2014,Zograf Readings,religion,colonial,Феномен Рамакришны Парамахамсы и формирование неоиндуизма в Бенгалии XIX века,бенгалия|рамакришна|re:бенгал|re:рамакришн
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_891e3870db,2015,Zograf Readings,religion,colonial,Бонкимчондро Чоттопаддхай и генезис неоиндуизма в Бенгалии,бенгалия|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_417cd90017,2016,Zograf Readings,literature,modern,И снова о переводах Р. Тагора,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_707faba145,2016,Zograf Readings,religion,medieval,Чайтанья и его учение в североиндийской литературе XVII в. (на примере «Бхактамалы» Госвами Набхадаса),чайтанья|re:чайтан
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_bb59843713,2016,Zograf Readings,philosophy,colonial,Морализаторство как феномен мысли и культуры Бенгальского Возрождения,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_1aaabe5423,2017,Zograf Readings,literature,modern,Специфика бенгальских анекдотов,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_0966cfd52f,2018,Zograf Readings,literature,modern,«Чариягити» и Тагор,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_49ed2e04fd,2018,Zograf Readings,religion,modern,Учение д-ра Маханамбраты Брахмачари как квинтэссенция идей бенгальского ренессанса и его влияние на Томаса Мертона,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_0666b2366b,2019,Zograf Readings,philosophy,modern,«Религия Человека»: свобода и традиция в философствовании Рабиндраната Тагора,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_2cf93e8bf4,2019,Zograf Readings,literature,colonial,Эстетика религиозной драмы: теория и практика драмы в контексте бенгальского вайшнавизма,бенгальский|вайшнавизм|re:бенгал|re:вайшнав
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_65b2f8a154,2019,Zograf Readings,art_archaeology,colonial,Кукольный театр Западной Бенгалии,бенгалия|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_6f2867c6e7,2019,Zograf Readings,ethnography,contemporary,Современные баулы: мистики или артисты,баул|re:баул
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_49cbcdc1b0,2020,Zograf Readings,linguistics,medieval,Санскритские наречия в трудах бенгальских грамматистов (Дживы Госвамина и Баларамы Панчананы),бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_30d2bc26a5,2021,Roerich Readings,religion,classical,О роли змея (nāga) в вайшнавском культе раннего периода индуизма,re:вайшнав
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_3eda18e9e8,2021,Roerich Readings,literature,modern,Визуальная поэзия или поэтический рисунок Рабиндраната Тагора: традиция каллиграфии и фигуры-лампы,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_7e999e3350,2021,Zograf Readings,philosophy,modern,Понимание истории Индии в социальной философии Рабиндраната Тагора,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_806f7942d2,2021,Zograf Readings,linguistics,contemporary,Неприzнанный zнак: вопрос о модернизации бенгальского алфавита в современном медиапространстве,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_90cb7911e1,2021,Zograf Readings,religion,classical,Сотериологическая доктрина Шри-вайшнавизма в трактате Пиллея Локачарьи «Мумукшупади»,re:вайшнав
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_b5b4220732,2022,Zograf Readings,literature,medieval,Образ птицы чатаки в поэзии бенгальских вайшнавов (на примере Рупы Госвамина),бенгальский|re:бенгал|re:вайшнав
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_483a3d2f7e,2023,Zograf Readings,linguistics,modern,Значения и функционирование лексемы ye в бенгальском языке,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_4d66fa9608,2023,Zograf Readings,philosophy,modern,Найти нормативную этику в традиционных текстах: сверхзадача и её решение мыслителями Бенгальского Возрождения.,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_4e2a407a20,2023,Zograf Readings,philosophy,modern,Поздний Р.Тагор и «Бхагавадгита»: переосмысляя концепцию о долге,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_70f93c1aa2,2023,Zograf Readings,ethnography,modern,Кукольный театр Западной Бенгалии,бенгалия|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_7582592a44,2024,Roerich Readings,religion,contemporary,Новый поворот традиции шраута: Сагничит Трисахасра Атиратра Сомаяга 2024 в Западной Бенгалии,бенгалия|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_33433905b0,2024,Zograf Readings,linguistics,modern,Образы тигра и рыбы в бенгальской фразеологии,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_99759d2e3f,2024,Zograf Readings,literature,modern,Три системы бенгальского стихосложения,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_fe3dba0fe0,2025,Roerich Readings,art_archaeology,medieval,Образ Деви с младенцем Шивой в контексте развития иконографии Богини-Матери в скульптуре Бенгалии,бенгалия|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_395c2002cd,2025,Zograf Readings,literature,modern,Бенгальский стихотворный размер пояр и его разновидности,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_42b4edcfe9,2025,Zograf Readings,philosophy,modern,Индийские истоки и источники философствования Р. Тагора: «Садхана» как опыт объяснения Своего Другому,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_6c0ed74411,2025,Zograf Readings,literature,modern,Анализ переводов М. Зощенко на хинди и на бенгали с помощью метрик readability,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_314bc5bec5,2026,Zograf Readings,philosophy,modern,Интерпретация идей Упанишад в философском наследии Р. Тагора: религиозная онтология,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_5327ab9216,2026,Zograf Readings,history,modern,Вера Александровна Новикова (1918-1972) и послевоенная бенгалистика в Ленинграде,re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_f8dfe74eae,2026,Zograf Readings,history,colonial,Голод в Бенгалии 1943 года и его отражение в творчестве индийских художников,бенгалия|re:бенгал
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_08e8316d53,2008,Roerich Readings,history,medieval,Кыргызы в Центральной Азии (9 век),re:центральн[а-я]+ ази
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_dcfff95b9e,2009,Roerich Readings,religion,medieval,"Сравнительный анализ описаний буддийских монахинь в тибетской, китайской и японской агиографической литературе",китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_96ae1b26ae,2010,Roerich Readings,ethnography,medieval,Отражение оппозиции «свой – чужой» в традиционных представлениях о землепользовании кочевников Центральной Азии,re:центральн[а-я]+ ази
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_a775399ae0,2010,Roerich Readings,history,modern,Рерихи во внутренней Монголии в 1935 г,re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_ea0097faa8,2010,Roerich Readings,literature,medieval,Китайские переводы Лалитавистары как источник по истории текста,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_3c0208406b,2012,Roerich Readings,history,medieval,Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата»),re:центральн[а-я]+ ази
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_cf863a87de,2012,Roerich Readings,religion,medieval,Намтар Будды Шакьямуни в тибетской и китайской (пекинской) традициях (танки из коллекций Одесского и Киевского музеев Украины),китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_6b6b57012a,2013,Roerich Readings,ethnography,unspecified,Магическое воздействие на погоду в культуре кочевников Центральной Азии,re:центральн[а-я]+ ази
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_e9e215c9f0,2013,Roerich Readings,religion,classical,Буддийские сутры в переводах раннекитайской традиции,re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_ca34a85370,2013,Zograf Readings,religion,classical,Образ Махендры/Махинды в записках китайских паломников,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_7393356a70,2014,Zograf Readings,religion,classical,Ранние китайские версии биографии Будды: сюжет подношения рисовой каши,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_b67b7540fa,2015,Roerich Readings,linguistics,classical,Индийские гана в зеркале китайских гуа,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_5bb9175b5b,2015,Zograf Readings,religion,classical,Трансформации сюжетов о просветлении и первой проповеди Будды в свете ранних китайских переводов сутр (II—III вв.),китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_03402280ff,2016,Roerich Readings,religion,medieval,К проблеме взаимодействия буддизма и воинской культуры у ойратов,ойрат|re:ойрат
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_a0af113263,2016,Roerich Readings,religion,classical,Китайские переводы ранних буддийских сутр: возможности реконструкции истории индийского текста,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_c3842d17d8,2016,Zograf Readings,religion,classical,Чудеса и проповеди в лесу Урувильва. Первые последователи Будды по китайской версии биографии Будды (III в.),китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_5dc09294c1,2017,Roerich Readings,history,colonial,Тибетский институт чой-йон (наставник-покровитель) в китайских источниках 17–18 вв,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_869eb3560b,2017,Roerich Readings,history,colonial,Война в контексте истории буддистов-ойратов,re:ойрат
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_86b13c26c6,2017,Roerich Readings,linguistics,modern,Ю.Н. Рерих и монгольский язык,монгольский|re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_4afd142d6d,2018,Roerich Readings,art_archaeology,modern,Божества и образы триграмм китайской «Книги Перемен» на свитке из коллекции Рерихов в Государственном Музее Востока,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_9ecbe3104e,2018,Roerich Readings,history,medieval,Имперская идея или этнический стереотип? Концепт «монгол» в первой половине XIII в,re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_62dd4b0700,2019,Roerich Readings,history,medieval,Тибето-китайские параллели в наименованиях и титулах регентов на примере текста декрета Далай-ламы V о назначении Сангье Гьяцо дэсридом (1679 г.),re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_f86793d7d0,2019,Roerich Readings,history,medieval,Монгольские ритуалы в русских летописях,монгольский|re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_977099cdb8,2020,Roerich Readings,linguistics,unspecified,"Происхождение китайского иероглифа 佛 «фо» (Будда, буддизм)",китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_d0e5bdbfaa,2020,Roerich Readings,history,medieval,Отражение монгольских имперских идей в тибетской историографии. LX РЕРИХОВСКИЕ ЧТЕНИЯ,монгольский|re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_27b1d377eb,2021,Roerich Readings,linguistics,medieval,Особенности топонимов Западного края Китая（西域): лингвокультурный аспект,китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_5cc77e65a5,2021,Roerich Readings,history,medieval,Магические средства ведения войны на монголо-тибетском фронте,re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_a8e1d07658,2021,Roerich Readings,linguistics,unspecified,"Скифский язык, топонимы Скифии и Центральной Азии, индоевропейские языки: культурные заимствования из Индии и культур древнего Понта Эвксинского",re:центральн[а-я]+ ази
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_6639f5e148,2022,Roerich Readings,linguistics,medieval,К реконструкции языковых контактов в области Шангшунг в дотибетскую эпоху,шангшунг|re:шангшунг
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_cc6f3afab6,2022,Roerich Readings,history,medieval,«Стела монастыря Шакья 释迦院碑» 1257 г. в Монголии – изучение и анализ текста,re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_46cb67fd05,2023,Roerich Readings,religion,medieval,Тексты праджняпарамиты в ойратской религиозной культуре и законоположениях,re:ойрат
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_8190c6779b,2023,Roerich Readings,history,medieval,Отражение монгольских имперских идей в средневековых вьетнамских источниках,монгольский|re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_e6073c947c,2023,Roerich Readings,linguistics,unspecified,Этимология и семантика цветообозначения «красный» в китайской культуре,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_3262a00942,2024,Roerich Readings,history,medieval,Ю.Н. Рерих о происхождении монгольской письменности,монгольский|re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_423a77f362,2024,Roerich Readings,linguistics,unspecified,Этимология и семантика цветообозначения «черный» в культуре Китая,китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_e7ec05b05b,2024,Roerich Readings,history,medieval,Угроза монгольских вторжений в Японию глазами Нитирэна,монгольский|re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_34e2d06ad5,2025,Roerich Readings,ethnography,modern,Из истории фиксации традиционного сказителя хобуксарких ойратов Аримпиля (1923–1994),ойрат|re:ойрат
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_465a702715,2025,Roerich Readings,history,modern,Вклад Ю.Н. Рериха в историю российских экспедиций в Центральную Азию. К 100-летию начала Центрально-Азиатской экспедиции Н.К. Рериха,re:центральн[а-я]+ ази
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_5c44ffa32f,2025,Roerich Readings,history,medieval,Исторические и историографические особенности монгольской летописи начала XVIII в.: Гомбоджаб. «Течение Ганга»,монгольский|re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_818e4652db,2025,Roerich Readings,history,medieval,Этнорелигиозная картина уйгуров по китайским источникам XIV-XIX вв,китайский|re:китай
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_d6c59acf5e,2025,Roerich Readings,history,medieval,Описание Центральной Азии в «Хождении в пять индийских царств»,re:центральн[а-я]+ ази
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_d767707d9d,2025,Roerich Readings,history,medieval,Этапы сложения имперской идеологии у средневековых монголов,re:монгол
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",PRES_e4ffdf5e0f,2025,Roerich Readings,religion,classical,К вопросу о переводе буддийского термина бодхи (菩提) на китайский язык,китайский|re:китай
dravidology_south_india,Дравидология / южноиндийский контур,PRES_440de90864,2004,Zograf Readings,literature,medieval,Миф об Агастье в средневековой литературе телугу,телугу|re:телугу
dravidology_south_india,Дравидология / южноиндийский контур,PRES_9e203d9b3f,2004,Zograf Readings,history,medieval,О взаимоотношении религиозных конфессий в средневековом Тамилнаде,re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_57ccd5c672,2007,Zograf Readings,literature,colonial,Дидактические шатаки в литературе телугу (К характеристике жанровых особенностей). 3. Т. Г .Скороходова (Пенза). Интерпретация традиционного индийского текста либеральными мыслителями Бенгальского Возрождения,телугу|re:телугу
dravidology_south_india,Дравидология / южноиндийский контур,PRES_7e16512005,2007,Zograf Readings,literature,classical,О быках и людях (Образ «Стада» в скотоводческом эпосе Южной Индии),южная_индия|re:южн[а-я]+ инд
dravidology_south_india,Дравидология / южноиндийский контур,PRES_f24e720def,2007,Zograf Readings,literature,classical,(Москва). Тема марудам в старой тамильской поэзии,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_f60e19e1b7,2008,Roerich Readings,literature,classical,О некоторых принципах тамильской поэтики по антологии «Наджиней»,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_96f005355d,2009,Roerich Readings,literature,classical,Махабхарата в тамильской поэзии,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_e290493a42,2010,Roerich Readings,literature,classical,Ситуация ухода героя в классической тамильской поэзии,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_3bd08e341f,2010,Zograf Readings,religion,medieval,Сюжет о воплощении Вишну в фольклорном тексте телугу (Матсьяватарам),телугу|re:телугу
dravidology_south_india,Дравидология / южноиндийский контур,PRES_53f8bd860a,2010,Zograf Readings,literature,classical,«Рагхуванша» Калидасы глазами тамилиста,re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_37530fdf34,2011,Zograf Readings,literature,classical,Тема весны в старой тамильской поэзии,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_9f66f4e714,2011,Zograf Readings,philosophy,modern,Энергийный прагматизм в тамильской культуре,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_ea5d4b869f,2012,Roerich Readings,literature,classical,О тамильском поэтическом жанре каламбахам,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_5bd9be8d40,2012,Zograf Readings,literature,classical,Еще раз о теме разлуки в тамильской поэзии,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_627da820b6,2012,Zograf Readings,literature,classical,Дискуссия о значении термина анангу в тамильской литературе,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_0a18330aed,2013,Roerich Readings,literature,classical,Две поэмы на тему разлуки из тамильского сборника Паттуппатту: Муллейппатту и Недунальвадей. Опыт сравнения,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_d01b9376c0,2013,Zograf Readings,ethnography,contemporary,"«Песни якшей», игры людей: о социальных, культурных и художественных особенностях якшаганы Карнатаки В программе возможны изменения и дополнения",карнатака|re:карнатак
dravidology_south_india,Дравидология / южноиндийский контур,PRES_f3223273ab,2013,Zograf Readings,literature,medieval,Тамильские женские божества в средневековой литературе,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_38f0bf3fa1,2014,Zograf Readings,religion,medieval,Южноиндийские божества: некоторые аспекты гендерных взаимоотношений,южная_индия
dravidology_south_india,Дравидология / южноиндийский контур,PRES_51ca649214,2014,Zograf Readings,religion,vedic,Брахманы намбудири: некоторые особенности традиции передачи ведийских текстов,re:намбудири
dravidology_south_india,Дравидология / южноиндийский контур,PRES_b0ead2dd43,2014,Zograf Readings,ethnography,contemporary,"Одержимость, служение и лицедейство. Традиции Bhoota-kolam и Theyyam Тулунаду",re:тулунаду
dravidology_south_india,Дравидология / южноиндийский контур,PRES_ba306768d9,2014,Zograf Readings,literature,medieval,Гимн-падигам как основная форма поэзии тамильских шиваитов,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_d1d4be71f7,2014,Zograf Readings,religion,classical,К реконструкции ритуальной семантики дравидского kāvaṭi,re:дравид
dravidology_south_india,Дравидология / южноиндийский контур,PRES_e284c84ae6,2015,Roerich Readings,ethnography,modern,Санскритизация перформанса: преобразования традиций Bhūta-kolam (Тулунаду) и Chhau (Орисса),re:тулунаду
dravidology_south_india,Дравидология / южноиндийский контур,PRES_e7f53e7c10,2015,Roerich Readings,literature,classical,Образ потока в тамильской поэзии,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_0bb0a01234,2016,Roerich Readings,literature,classical,Особенности художественной структуры тамильской антологии «Калиттохей» (на примере песни 92),тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_71ed8e82c3,2016,Zograf Readings,religion,medieval,Формирование иконографии и ритуала бхактотсава в тамильском шайва-бхакти (от «Тируттондаттохей» Сундарара до «Махотсававидхи» Агхорашивы),тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_98b2929335,2016,Zograf Readings,art_archaeology,contemporary,Южноиндийский театр теней «толпава кутху»: традиция и современность,южная_индия
dravidology_south_india,Дравидология / южноиндийский контур,PRES_afb804b1d8,2016,Zograf Readings,philosophy,classical,"Метафизика, мифология, повседневная жизнь: гендерный ракурс южноиндийской традиции",южная_индия
dravidology_south_india,Дравидология / южноиндийский контур,PRES_2bdddbacaf,2017,Roerich Readings,literature,classical,Поэма «Десять песен»: перевод и чтение на тамильском языке,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_3d081ec308,2017,Roerich Readings,literature,classical,Тамильская баллада «Сказание о Кусалаване» (kucalavaṉ katai): особенности трактовки фрагмента «Рамаяны»,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_536a630888,2017,Zograf Readings,linguistics,classical,Тамильские родственники в общедравидийском контексте: семантика и типология,дравидология|тамильский|re:дравид|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_a0f09ba677,2018,Roerich Readings,literature,classical,Тема «мадаль» (обряд самоистязания) в тамильской поэзии,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_0a6cf1a42f,2018,Zograf Readings,religion,medieval,«Тирумурейканда-пуранам» Умапати Шивачарьи как завершающее звено в формировании тамильского шиваитского канона,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_1f28ca6ef7,2018,Zograf Readings,literature,medieval,Тамильская пьеса о Карне,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_7d9d4fa5de,2018,Zograf Readings,linguistics,contemporary,Семантика терминологии родства в малых дравидийских языках: когнитивные аспекты,дравидология|re:дравид
dravidology_south_india,Дравидология / южноиндийский контур,PRES_8d99375954,2018,Zograf Readings,literature,unspecified,Сравнительный анализ образов сакрального в тамильских храмовых мифах и в сказах П. П. Бажова,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_0f8aeee7b2,2019,Roerich Readings,art_archaeology,medieval,Музыкальные колонны Южной Индии,южная_индия|re:южн[а-я]+ инд
dravidology_south_india,Дравидология / южноиндийский контур,PRES_8402d54487,2019,Roerich Readings,ethnography,contemporary,Дайва-арадхана Тулунаду (Южная Индия): сценарий и воплощение,южная_индия|re:тулунаду|re:южн[а-я]+ инд
dravidology_south_india,Дравидология / южноиндийский контур,PRES_b3fefc9375,2019,Roerich Readings,literature,colonial,Восхваление табака в поэме «Пухейилей видутуду» тамильского поэта Сини Саккарей Пулавара,тамильский|re:тамил
dravidology_south_india,Дравидология / южноиндийский контур,PRES_e41ac61c54,2019,Roerich Readings,literature,medieval,Поэтические формы средневекового тамильского бхакти,тамильский|re:тамил
