att_id,filename,ext,size_mb,poster,year,subject,bucket,confidence,evidence,verdict_source
947,Знакомство с Аштадхьяей_4_4_सार्वधातुकलकाराः आर्धधातुकलकाराः च – अधिकचिन्तनम्.pdf,pdf,0.7,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_4_सार्वधातुकलकाराः आर्धधातुकलकाराः च – अधिकचिन्तनम्,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
948,Знакомство с Аштадхьяей_4_3_तिङ्‌-सिद्धेः च लकाराणां च समग्रदृष्टिः.doc,doc,0.25,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_3_तिङ्‌-सिद्धेः च लकाराणां च समग्रदृष्टिः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
949,Знакомство с Аштадхьяей_4_3_तिङ्‌-सिद्धेः च लकाराणां च समग्रदृष्टिः.pdf,pdf,0.83,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_3_तिङ्‌-सिद्धेः च लकाराणां च समग्रदृष्टिः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
950,Знакомство с Аштадхьяей_4_2_अष्टाध्याय्याः समग्रदृष्टिः.doc,doc,0.31,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_2_अष्टाध्याय्याः समग्रदृष्टिः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
951,Знакомство с Аштадхьяей_4_2_अष्टाध्याय्याः समग्रदृष्टिः.pdf,pdf,0.83,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_2_अष्टाध्याय्याः समग्रदृष्टिः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
952,Знакомство с Аштадхьяей_4_1_.doc,doc,0.16,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
953,Знакомство с Аштадхьяей_4_1_.pdf,pdf,0.62,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
954,Знакомство с Аштадхьяей_3 А_3_इड्‌व्यवस्था.pdf,pdf,0.58,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_3_2,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
955,Знакомство с Аштадхьяей_3 А_3_इड्‌व्यवस्था.doc,doc,0.19,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_3_2,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
956,Знакомство с Аштадхьяей_3 А_3_स्वरविज्ञानम्‌.pdf,pdf,0.82,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
957,Знакомство с Аштадхьяей_3 А_3_स्वरविज्ञानम्‌_पदव्यवस्था_पदव्यवस्था.doc,doc,0.17,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
958,Знакомство с Аштадхьяей_3 А_2_2_उपधादीर्घः.doc,doc,0.05,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_2_उपधादीर्घः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
959,Знакомство с Аштадхьяей_3 А_2_2_उपधादीर्घः.pdf,pdf,0.51,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_2_उपधादीर्घः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
960,Знакомство с Аштадхьяей_3 А_2_2_नुमागमः.doc,doc,0.16,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_2_नुमागमः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
961,Знакомство с Аштадхьяей_3 А_2_2_नुमागमः.pdf,pdf,0.99,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_2_नुमागमः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
962,Знакомство с Аштадхьяей_3 А_2_2_नत्वम्‌.doc,doc,0.08,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_2_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
963,Знакомство с Аштадхьяей_3 А_2_2_नत्वम्‌.pdf,pdf,0.5,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_2_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
964,Знакомство с Аштадхьяей_3 А_2_1_सत्वम्‌.doc,doc,0.1,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_2_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
965,Знакомство с Аштадхьяей_3 А_2_1_सत्वम्‌.pdf,pdf,0.73,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_2_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
966,Знакомство с Аштадхьяей_3 А_1.doc,doc,0.17,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
967,Знакомство с Аштадхьяей_3 А_1.pdf,pdf,0.82,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3 А_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
968,Знакомство с Аштадхьяей_3_4.doc,doc,0.14,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3_4,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
969,Знакомство с Аштадхьяей_3_4.pdf,pdf,0.86,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3_4,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
976,ashta-mantra.pdf,pdf,0.12,Anna Kaval,2020,перевод тантрических терминов भूतसम्भवम् श्रीपादुकां देवाम्बा,D-third,medium,"bija-mantra chart — compiled sheet, compiler unknown",override
978,ashta-mantra.pdf,pdf,0.17,Anna Kaval,2020,перевод тантрических терминов भूतसम्भवम् श्रीपादुकां देवाम्बा,D-third,medium,bija-mantra chart (variant),override
985,Презентация писателя Яна Козака.docx,docx,0.02,Roman Čada,2019,Корни индоевропейской духовной традиции - книга,D-author,high,"Ян Козак book presentation/demo — author's own promo materials, posted by his circle",override
986,Корни - Демонстрация.docx,docx,0.21,Roman Čada,2019,Корни индоевропейской духовной традиции - книга,D-author,high,"Ян Козак book presentation/demo — author's own promo materials, posted by his circle",override
990,[Kale M R] A Higher Sanskrit Grammar-1961-Tense and moods.pdf,pdf,0.07,Narayan Prasad,2019,знакомство с Аштадхьяей,D-third,high,"Kale, A Higher Sanskrit Grammar 1961 printing pages — reprint-era; treat as in copyright",override
991,Знакомство с Аштадхьяей_2_2.pdf,pdf,0.75,Владимир Карицкий,2019,знакомство с Аштадхьяей_2_2,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
992,Знакомство с Аштадхьяей_2_2_.doc,doc,0.17,Владимир Карицкий,2019,знакомство с Аштадхьяей_2_2,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
993,Знакомство с Аштадхьяей_2_1.pdf,pdf,0.55,Владимир Карицкий,2019,: знакомство с Аштадхьяей_2_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
994,Знакомство с Аштадхьяей_2_1.pdf,pdf,0.55,Владимир Карицкий,2019,знакомство с Аштадхьяей_2_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
995,Знакомство с Аштадхьяей_1_1.pdf,pdf,0.56,Владимир Карицкий,2019,: знакомство с Аштадхьяей_1_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
996,Знакомство с Аштадхьяей_1_2.pdf,pdf,0.48,Владимир Карицкий,2019,: знакомство с Аштадхьяей_1_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
997,Знакомство с Аштадхьяей_1_3.pdf,pdf,0.53,Владимир Карицкий,2019,: знакомство с Аштадхьяей_1_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
998,Знакомство с Аштадхьяей_1_3.pdf,pdf,0.6,Владимир Карицкий,2019,знакомство с Аштадхьяей_1_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1007,Список Гасунса.docx,docx,0.15,Агафья Винокурова,2019,Лексические параллели списка Гасмунса и Пекарского,D-author,medium,"Винокурова, лексические параллели — poster's own notes",override
1008,Щримад-Бхагавад-гита_4.pdf,pdf,2.04,Владимир Карицкий,2020,"Чтение ""Щримад-Бхагавад-гиты"" с комментариями ачарьев_глава 4_текст 42_Мадхусудана",D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1025,Словарная работа.docx,docx,0.02,Агафья Винокурова,2019,Лексические параллели Кочергиной и Пекарского,D-author,medium,"Винокурова, лексические параллели — poster's own notes",override
1028,Знакомство с Аштадхьяей_3_1.doc,doc,0.21,Владимир Карицкий,2019,Знакомство с Аштадхьяей_3_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1029,Знакомство с Аштадхьяей_3_1.pdf,pdf,0.86,Владимир Карицкий,2019,Знакомство с Аштадхьяей_3_1,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1030,Знакомство с Аштадхьяей_2_4.doc,doc,0.2,Владимир Карицкий,2019,Знакомство с Аштадхьяей_2_4,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1031,Знакомство с Аштадхьяей_2_4.pdf,pdf,0.86,Владимир Карицкий,2019,Знакомство с Аштадхьяей_2_4,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1032,Знакомство с Аштадхьяей_1_1.doc,doc,0.08,Владимир Карицкий,2019,: Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1033,Знакомство с Аштадхьяей_1_2.doc,doc,0.07,Владимир Карицкий,2019,: Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1034,Знакомство с Аштадхьяей_1_3.doc,doc,0.11,Владимир Карицкий,2019,: Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1035,Знакомство с Аштадхьяей_1_4.doc,doc,0.15,Владимир Карицкий,2019,: Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1036,Знакомство с Аштадхьяей_2_1.doc,doc,0.08,Владимир Карицкий,2019,: Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1037,Знакомство с Аштадхьяей_2_2.doc,doc,0.18,Владимир Карицкий,2019,: Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1038,Знакомство с Аштадхьяей_2_3.doc,doc,0.09,Владимир Карицкий,2019,: Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1039,Знакомство с Аштадхьяей_2_3.doc,doc,0.09,Владимир Карицкий,2019,Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1040,Знакомство с Аштадхьяей_2_3.pdf,pdf,0.55,Владимир Карицкий,2019,Знакомство с Аштадхьяей_2_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
1051,"Ударение в словах с su-, duh-.docx",docx,0.36,Anatoliy Artemenko,2019,"Ударение в словах с su-, duh-",D-author,medium,"Артеменко, ударение в su-/duh- — poster's own note",override
1067,Mahabharata-Adiparvan-ch-17.pdf,pdf,0.7,tvitaly1,2019,Как добыли Амриту,D-author,high,Тихвинский/Густяков Mahābhārata Adiparvan transl. chapter — authors' own,override
1070,ХвП pdf 1- 11.pdf,pdf,3.35,Даяна Батырова,2019,Начало русского перевода Харивамша-пураны,D-author,medium,"Батырова, ХвП перевод начало — poster's own draft",override
1071,Grammar of archetypal space.doc,doc,0.12,Владимир Карицкий,2019,янтра,D-author,medium,"Карицкий, Grammar of archetypal space — his own",override
1098,509_swamiji-devi-bhajans_vande-vande-vanim_english.pdf,pdf,0.07,Рамананда,2019,Ом. Намастэ. Помогите с переводом вот этим Бхаджанов!,C-cand,medium,"dattapeetham.com bhajan sheets — freely circulated devotional handouts from the publisher's own site; licence unstated, confirm",override
1099,509_swamiji-devi-bhajans_vande-vande-vanim_hindi.pdf,pdf,0.07,Рамананда,2019,Ом. Намастэ. Помогите с переводом вот этим Бхаджанов!,C-cand,medium,"dattapeetham.com bhajan sheets — freely circulated devotional handouts from the publisher's own site; licence unstated, confirm",override
1100,518_swamiji-devi-bhajans_amba-vandanam-jagadamba-vandanam_english.pdf,pdf,0.07,Рамананда,2019,Ом. Намастэ. Помогите с переводом вот этим Бхаджанов!,C-cand,medium,"dattapeetham.com bhajan sheets — freely circulated devotional handouts from the publisher's own site; licence unstated, confirm",override
1101,518_swamiji-devi-bhajans_amba-vandanam-jagadamba-vandanam_hindi.pdf,pdf,0.07,Рамананда,2019,Ом. Намастэ. Помогите с переводом вот этим Бхаджанов!,C-cand,medium,"dattapeetham.com bhajan sheets — freely circulated devotional handouts from the publisher's own site; licence unstated, confirm",override
1102,1482_swamiji-other-bhajans_om-aim-hrim-srim-sivarama-anagha-dattaya-namah_english.pdf,pdf,0.07,Рамананда,2019,Ом. Намастэ. Помогите с переводом вот этим Бхаджанов!,C-cand,medium,"dattapeetham.com bhajan sheets — freely circulated devotional handouts from the publisher's own site; licence unstated, confirm",override
1103,1482_swamiji-other-bhajans_om-aim-hrim-srim-sivarama-anagha-dattaya-namah_hindi.pdf,pdf,0.07,Рамананда,2019,Ом. Намастэ. Помогите с переводом вот этим Бхаджанов!,C-cand,medium,"dattapeetham.com bhajan sheets — freely circulated devotional handouts from the publisher's own site; licence unstated, confirm",override
1104,2184_swamiji-mangalam-bhajans_om-mangalam-onkara-mangalam_english.pdf,pdf,0.07,Рамананда,2019,Ом. Намастэ. Помогите с переводом вот этим Бхаджанов!,C-cand,medium,"dattapeetham.com bhajan sheets — freely circulated devotional handouts from the publisher's own site; licence unstated, confirm",override
1105,2184_swamiji-mangalam-bhajans_om-mangalam-onkara-mangalam_hindi.pdf,pdf,0.07,Рамананда,2019,Ом. Намастэ. Помогите с переводом вот этим Бхаджанов!,C-cand,medium,"dattapeetham.com bhajan sheets — freely circulated devotional handouts from the publisher's own site; licence unstated, confirm",override
1121,zaliznyak_a_a_lingvisticheskie_zadachi.pdf,pdf,0.23,Marcis,2017,лингвистические задачи,D-third,high,"Зализняк, Лингвистические задачи (МЦНМО, ISBN) — in copyright (d. 2017)",override
1149,Мандукья 7.pdf,pdf,0.09,tvitaly1,2018,Частица на?,D-author,high,Тихвинский/Густяков own translation-project files,series-rule
