thread_root_id,year,thread_subject,primary_topic,list_function,message_count,author_count,reply_count,reply_density
021312,2000,buddhist sanskrit texts,General scholarly discussion,general discussion,36,11,34,0.9444
014520,1998,Family jewels,General scholarly discussion,general discussion,36,9,35,0.9722
014354,1998,Vicious Debate,General scholarly discussion,general discussion,35,10,33,0.9429
053620,2020,sources for the idea that reincarnation is a semi-random process?,General scholarly discussion,general discussion,34,16,33,0.9706
014994,1999,Too Many Postings?,General scholarly discussion,general discussion,34,8,33,0.9706
039327,2014,Hitler and MLBD,General scholarly discussion,general discussion,33,20,32,0.9697
018247,1999,Book Review: An Update on AIT (Part 1),General scholarly discussion,general discussion,33,14,31,0.9394
005576,1996,Official State Languages query,General scholarly discussion,identification/help request,33,13,31,0.9394
041671,2015,"Tagore, Aurobindo, and Malhotra",General scholarly discussion,general discussion,33,13,32,0.9697
032470,2009,invertebrates,General scholarly discussion,general discussion,33,10,31,0.9394
041441,2015,Religious Literature with Political Purposes,General scholarly discussion,general discussion,33,10,32,0.9697
051899,2020,The study of Sanskrit as the epitome of uselessness,General scholarly discussion,general discussion,32,25,31,0.9688
028422,2004,Snakes,General scholarly discussion,general discussion,32,16,31,0.9688
028824,2004,"Science Mag: ""no Indus script""",General scholarly discussion,general discussion,32,15,31,0.9688
048919,2018,Continuing my Krishna verses,General scholarly discussion,general discussion,32,3,31,0.9688
050584,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,32,1,31,0.9688
025546,2001,SV: SV: Plight of Buddhist art,General scholarly discussion,general discussion,31,18,30,0.9677
008236,1997,the gods,General scholarly discussion,general discussion,31,14,30,0.9677
060354,2025,dvandva → bahuvrīhi?,General scholarly discussion,general discussion,31,14,30,0.9677
007570,1997,avidya in Pali literature,General scholarly discussion,general discussion,31,11,30,0.9677
012873,1998,Tampering with history,General scholarly discussion,general discussion,31,11,29,0.9355
049215,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,31,3,30,0.9677
049070,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,31,1,30,0.9677
050446,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,31,1,30,0.9677
059093,2024,Congratulations to Laurie Patton,General scholarly discussion,general discussion,30,25,29,0.9667
038062,2013,question for European Indologists,General scholarly discussion,identification/help request,30,24,29,0.9667
007147,1997,Indo-Germanic,General scholarly discussion,general discussion,30,17,29,0.9667
013702,1998,Your thesis,General scholarly discussion,general discussion,30,13,28,0.9333
024039,2000,Black as Evil,General scholarly discussion,general discussion,30,12,28,0.9333
014577,1998,Backup tapes of Indology archives,General scholarly discussion,general discussion,30,9,29,0.9667
012112,1998,Koel (and Hobson-Jobson),General scholarly discussion,general discussion,30,8,29,0.9667
021795,2000,script summary,General scholarly discussion,general discussion,30,6,29,0.9667
049725,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,30,1,29,0.9667
050025,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,30,1,29,0.9667
023738,2000,ghalib correctly quoted,General scholarly discussion,general discussion,29,19,28,0.9655
046132,2017,Sanskrit Readers: overview,General scholarly discussion,general discussion,29,18,28,0.9655
042330,2015,rubrication in Indian mss.,Manuscripts and epigraphy,general discussion,29,16,28,0.9655
014789,1998,SV: creation of human kind,General scholarly discussion,general discussion,29,12,27,0.931
016462,1999,INSA email address?,General scholarly discussion,general discussion,29,12,28,0.9655
024339,2000,Koh-I-Noor,General scholarly discussion,general discussion,29,12,27,0.931
022961,2000,Persecutin by/on Jains,General scholarly discussion,general discussion,29,11,28,0.9655
051033,2019,Date of Candranandana,General scholarly discussion,general discussion,29,6,28,0.9655
050198,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,29,2,28,0.9655
049421,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,29,1,28,0.9655
009829,1997,Roman transliteration of Tamil n's,General scholarly discussion,general discussion,28,15,27,0.9643
011660,1998,"arma-, armaka 'ruined site'",General scholarly discussion,general discussion,28,15,27,0.9643
057928,2023,Manuscript collections on archive.org,Manuscripts and epigraphy,philological discussion,28,14,27,0.9643
001208,1994,jyotish,General scholarly discussion,general discussion,27,18,26,0.963
014288,1998,Is the Aryan Invasion a Myth?,General scholarly discussion,general discussion,27,17,26,0.963
018215,1999,"New Positions at Asian Studies, UT Austin",General scholarly discussion,general discussion,27,16,26,0.963
046838,2017,Sources on Relationship btw Oral/Literary Traditions,General scholarly discussion,general discussion,27,16,26,0.963
006442,1996,Vedic Website,General scholarly discussion,general discussion,27,14,26,0.963
008971,1997,Q: Black Draupadi?,General scholarly discussion,general discussion,27,14,25,0.9259
020396,2000,River Sarasvati: Atomic scientists reconfirm location,General scholarly discussion,general discussion,27,13,26,0.963
044291,2016,Sexual Harassment,General scholarly discussion,general discussion,27,13,26,0.963
055236,2021,Visualisation of Sanskrit Phonetics,General scholarly discussion,general discussion,27,13,26,0.963
045165,2017,Skt vocabulary from the title pages and prefaces of Sanskrit editions,General scholarly discussion,general discussion,27,8,26,0.963
048723,2018,Continuing my Krishna verses,General scholarly discussion,general discussion,27,3,26,0.963
032732,2009,Language barriers --- financial barriers,General scholarly discussion,general discussion,26,17,24,0.9231
042823,2016,Origin of Mahācīna,General scholarly discussion,general discussion,26,16,25,0.9615
038944,2014,Public statement from Wendy Doniger,History and culture,general discussion,26,15,25,0.9615
015333,1999,references to tuLu language in ancient Tamil text,General scholarly discussion,general discussion,26,14,25,0.9615
032337,2008,Proceedings BM Symposium: Mansar,Buddhism and Jainism,general discussion,26,14,24,0.9231
002949,1995,Justification for teaching Sanskrit,General scholarly discussion,general discussion,26,12,25,0.9615
026060,2001,Etymology of sanskrit roots miS and miil,General scholarly discussion,general discussion,26,12,24,0.9231
017614,1999,Aurobindo about Advaita,General scholarly discussion,general discussion,26,11,25,0.9615
024485,2000,Re. Devaraja,General scholarly discussion,general discussion,26,11,25,0.9615
059224,2024,nyaya and regress,General scholarly discussion,general discussion,26,11,25,0.9615
044118,2016,New article on Sanskrit,General scholarly discussion,general discussion,26,10,25,0.9615
044586,2016,'Vedic' astrology (was: bhakti),Veda and ritual,general discussion,26,9,25,0.9615
047201,2018,"""Caste passing""",General scholarly discussion,general discussion,26,9,25,0.9615
060939,2025,Claude,General scholarly discussion,general discussion,26,9,25,0.9615
015262,1999,Pongal/Sankranti,General scholarly discussion,general discussion,26,8,25,0.9615
033813,2010,"Well, mzybe not so cool",General scholarly discussion,general discussion,26,7,25,0.9615
006876,1997,Q: Elegy Literature,General scholarly discussion,general discussion,25,16,24,0.96
035699,2011,taxonomy question,General scholarly discussion,identification/help request,25,15,23,0.92
049669,2019,question about a soliciation from publisher MDPI,General scholarly discussion,identification/help request,25,14,24,0.96
020594,2000,Saraswati: Atomic Scientists reconfirm location,General scholarly discussion,general discussion,25,12,24,0.96
025095,2001,Did you hear this?,General scholarly discussion,general discussion,25,12,24,0.96
018804,1999,TretA etymology,General scholarly discussion,general discussion,25,11,24,0.96
031427,2008,Digital Kielhorn,Digital resources and tools,digital resource/tool,25,11,24,0.96
033251,2009,The Film Adi Shankaracharya,Texts and philology,philological discussion,25,11,24,0.96
051639,2020,Vajrasūcī,General scholarly discussion,general discussion,25,11,24,0.96
012670,1998,"method of dating RV, III",General scholarly discussion,general discussion,25,10,24,0.96
015077,1999,Deepa Mehta's _Fire_,General scholarly discussion,general discussion,25,6,24,0.96
043992,2016,Question on Diacritical Marks,General scholarly discussion,identification/help request,24,19,23,0.9583
048761,2018,brick-making communities,General scholarly discussion,general discussion,24,16,23,0.9583
043031,2016,New publication,General scholarly discussion,announcement/event,24,15,23,0.9583
052165,2020,Lines to an Advaitin,General scholarly discussion,general discussion,24,15,23,0.9583
054558,2021,Rgveda complete study material and reverse word index,Veda and ritual,general discussion,24,15,23,0.9583
008144,1997,Varna and Color,General scholarly discussion,general discussion,24,14,23,0.9583
038560,2013,Devanagari keyboard,Digital resources and tools,digital resource/tool,24,13,23,0.9583
007414,1997,references,General scholarly discussion,general discussion,24,12,22,0.9167
041686,2015,Does anyone know of Sanskrit works that use 2nd-syllable rhyming?,Bibliographic requests,identification/help request,24,12,23,0.9583
005015,1996,List of references in Astronomy,General scholarly discussion,general discussion,24,11,23,0.9583
009713,1997,m/anusvAra & s/visarga - correction,General scholarly discussion,general discussion,24,9,22,0.9167
022591,2000,SV: Urdu/hindi,General scholarly discussion,general discussion,24,9,22,0.9167
023892,2000,Indology's future?,General scholarly discussion,general discussion,23,18,21,0.913
047735,2018,Brackets in modern sanskrit translations,General scholarly discussion,general discussion,23,18,22,0.9565
056580,2022,Sandhi examples in the english language,Grammar and linguistics,philological discussion,23,16,22,0.9565
032536,2009,"""samsara"" meaning ""life""",General scholarly discussion,philological discussion,23,15,21,0.913
054890,2021,Where can you do a BA in Sanskrit?,General scholarly discussion,general discussion,23,15,22,0.9565
061773,2026,Working with Pali Manuscripts: A Summer School,General scholarly discussion,general discussion,23,15,22,0.9565
008649,1997,Translations of Gitagovinda,History and culture,general discussion,23,14,22,0.9565
017619,1999,Pythagoras mentioned in Vedas?,General scholarly discussion,general discussion,23,14,22,0.9565
022930,2000,Rajaram episode,General scholarly discussion,general discussion,23,14,22,0.9565
040658,2015,Examples of very ambiguous devanagari Sanskrit sentences,General scholarly discussion,general discussion,23,13,22,0.9565
011207,1998,Vivekananda &c.,General scholarly discussion,general discussion,23,12,22,0.9565
059606,2024,List of paninian equivalents of western grammatical terms for sanskrit,Grammar and linguistics,philological discussion,23,12,22,0.9565
016322,1999,Women in Afghanistan,General scholarly discussion,general discussion,23,11,21,0.913
020322,2000,ICHR controversey,General scholarly discussion,general discussion,23,10,22,0.9565
028160,2004,graaha/nakra/makara,General scholarly discussion,general discussion,23,10,21,0.913
043115,2016,"Eating flesh of a jogi, a magician, a healer",General scholarly discussion,general discussion,23,10,22,0.9565
038903,2014,Nārāyaṇagarta and Kayyaṭa Kashmiri pandits,General scholarly discussion,general discussion,23,9,22,0.9565
025270,2001,INDOLOGY Digest - 7 Feb 2001 to 8 Feb 2001 (#2001-40),General scholarly discussion,general discussion,23,8,22,0.9565
049255,2019,Correction and updates of Nirnay Sagar Fonts,General scholarly discussion,general discussion,23,6,23,1.0
033211,2009,Sanskrit IAST data entry tool,Digital resources and tools,digital resource/tool,22,19,20,0.9091
006050,1996,"Req: ""dirty"" words in Sanskrit",General scholarly discussion,general discussion,22,17,20,0.9091
001414,1994,Sanskrit to be an elective subject in schools,General scholarly discussion,general discussion,22,15,21,0.9545
017437,1999,Sundarapandya's Varttika,General scholarly discussion,general discussion,22,14,20,0.9091
011873,1998,human sacrifice (allusion to Abraham),General scholarly discussion,general discussion,22,13,21,0.9545
021750,2000,address,General scholarly discussion,general discussion,22,13,20,0.9091
022758,2000,zaNa (hemp),General scholarly discussion,general discussion,22,13,21,0.9545
036327,2012,Vishnu on the banks of the Volga river,General scholarly discussion,general discussion,22,13,20,0.9091
010917,1998,The Cat,General scholarly discussion,general discussion,22,12,20,0.9091
028991,2005,elves: Indic counterpart?,General scholarly discussion,general discussion,22,12,20,0.9091
012826,1998,Tampering with history,General scholarly discussion,general discussion,22,11,20,0.9091
013061,1998,An old question,General scholarly discussion,general discussion,22,11,21,0.9545
043666,2016,Unicode Devanagari on Mac,Digital resources and tools,digital resource/tool,22,11,21,0.9545
060944,2025,Ancient Greek for Sanskritists,General scholarly discussion,general discussion,22,9,21,0.9545
044058,2016,Two terms,General scholarly discussion,general discussion,22,7,21,0.9545
032816,2009,"clinking, silent and slipping bangles",General scholarly discussion,general discussion,21,17,19,0.9048
056183,2022,Google Translate for Sanskrit,General scholarly discussion,general discussion,21,15,20,0.9524
043610,2016,glass in ancient India,History and culture,general discussion,21,14,20,0.9524
054205,2021,"Request pdf, film Vājapeya 1955, Poona",Bibliographic requests,bibliographic request,21,14,20,0.9524
056523,2022,Sunya,General scholarly discussion,general discussion,21,14,20,0.9524
057504,2023,Academia.edu creepy things,General scholarly discussion,general discussion,21,14,20,0.9524
005629,1996,Event announcement: Testing Workshop,General scholarly discussion,general discussion,21,13,19,0.9048
011949,1998,Telugu history,History and culture,general discussion,21,12,20,0.9524
041278,2015,prof. or mr. or mrs. or ms. etc first name,Manuscripts and epigraphy,general discussion,21,12,20,0.9524
014964,1999,Postmodernistic Study of Sanskrit texts?,General scholarly discussion,general discussion,21,11,20,0.9524
046589,2017,Once again on the origin of zero: the date of the Bakhshali manuscript (or manuscripts?),Manuscripts and epigraphy,philological discussion,21,11,20,0.9524
056043,2022,NGMCP images and copyright law,General scholarly discussion,general discussion,21,11,20,0.9524
004694,1996,Satyarth Prakash,General scholarly discussion,general discussion,21,10,19,0.9048
017179,1999,viSNukuNDins,General scholarly discussion,general discussion,21,10,20,0.9524
017615,1999,!Re: Sri Aurobindo,General scholarly discussion,general discussion,21,10,19,0.9048
023446,2000,New Harappan Gallery,General scholarly discussion,general discussion,21,10,20,0.9524
028701,2004,Devanagari,General scholarly discussion,general discussion,21,10,20,0.9524
038715,2013,Publication Announcement,General scholarly discussion,general discussion,21,10,20,0.9524
047979,2018,Deccan College sanskrit ditionary,General scholarly discussion,general discussion,21,10,20,0.9524
059907,2024,Question about Nepalese manuscripts,General scholarly discussion,identification/help request,21,10,20,0.9524
020641,2000,creative atomic scientist's translations,General scholarly discussion,general discussion,21,9,20,0.9524
025217,2001,suspend membership,General scholarly discussion,general discussion,21,9,20,0.9524
008496,1997,oral transmission: motivation and memorization,General scholarly discussion,general discussion,21,8,20,0.9524
015206,1999,SV: SV: Sanskrit translations in Nazi hands,General scholarly discussion,general discussion,21,7,19,0.9048
018389,1999,'civilizational' ardour,General scholarly discussion,general discussion,21,7,19,0.9048
039661,2014,Interview with the new ICHR Chairman,General scholarly discussion,general discussion,21,7,20,0.9524
044254,2016,Indologist at Center of Sexual Harassment Mess at Berkeley,General scholarly discussion,general discussion,20,17,20,1.0
007021,1997,IJTS: Nina Fonts for Devanagari,General scholarly discussion,general discussion,20,16,19,0.95
019962,2000,Death of Prof. J. W. de Jong (1921-2000),General scholarly discussion,general discussion,20,16,19,0.95
009072,1997,Dravidian Cryptography,General scholarly discussion,general discussion,20,15,19,0.95
041526,2015,Malhotra and plagiarism,General scholarly discussion,general discussion,20,14,19,0.95
056937,2022,iti in Sanskrit,General scholarly discussion,general discussion,20,14,19,0.95
061452,2025,Publication announcement,General scholarly discussion,general discussion,20,14,19,0.95
008389,1997,Brahman divisions,General scholarly discussion,general discussion,20,12,18,0.9
009163,1997,Tobacco (rolled in cryptography),General scholarly discussion,general discussion,20,12,19,0.95
010366,1998,"""Indus Script"" , ""Aryan Invasion Theory"" and ""horse(s) in the Indus Valley""",Texts and philology,philological discussion,20,12,19,0.95
011069,1998,Query on the term *mistri*,General scholarly discussion,general discussion,20,12,18,0.9
024714,2000,"Origins of the ""double-truth""",General scholarly discussion,general discussion,20,12,19,0.95
002936,1995,Justification for teaching Sanskrit,General scholarly discussion,debate/controversy,20,11,18,0.9
016633,1999,Axial Age,General scholarly discussion,general discussion,20,11,18,0.9
017453,1999,Forwarded message from Prof. Saroja Bhate,General scholarly discussion,general discussion,20,11,19,0.95
041248,2015,The so-called German Indology,General scholarly discussion,general discussion,20,11,19,0.95
061749,2026,Anusvara in IAST transliteration,Digital resources and tools,digital resource/tool,20,11,19,0.95
004045,1996,South indian incised mss,General scholarly discussion,general discussion,20,10,19,0.95
017105,1999,varna and jati,General scholarly discussion,general discussion,20,10,19,0.95
019627,2000,Vital Statistics,General scholarly discussion,general discussion,20,10,19,0.95
021942,2000,ATMlite 4.1 Free Download,General scholarly discussion,general discussion,20,10,18,0.9
031957,2008,Kadamba,General scholarly discussion,general discussion,20,10,19,0.95
035198,2011,"Yoga Body, a book by Mark Singleton",General scholarly discussion,general discussion,20,9,19,0.95
014720,1998,Indian children born abroad -- some (more) clarifications,General scholarly discussion,general discussion,20,8,19,0.95
016731,1999,Book review: Indus Age- the Writing System by Gregory L. Possehl.,General scholarly discussion,general discussion,20,7,19,0.95
024493,2000,rAjalIlAsana in Cambodia?,General scholarly discussion,general discussion,20,6,19,0.95
047930,2018,Continuing my Krishna verses,General scholarly discussion,general discussion,20,4,19,0.95
050855,2019,Easy unicode for ipad?,Digital resources and tools,digital resource/tool,20,4,20,1.0
048505,2018,Continuing my Krishna verses,General scholarly discussion,general discussion,20,2,19,0.95
050755,2019,Continuing my Krishna verses,General scholarly discussion,general discussion,20,1,19,0.95
010570,1998,The Cat,General scholarly discussion,general discussion,19,16,18,0.9474
005742,1996,Q: Sanskrit Alphabetical Order,General scholarly discussion,general discussion,19,15,18,0.9474
031606,2008,Kamalakarabhatta's Sudrakamalakara,General scholarly discussion,general discussion,19,15,18,0.9474
014333,1998,SV: SV: Is the Aryan Invasion a Myth?,General scholarly discussion,general discussion,19,14,18,0.9474
010324,1998,Uttara Kuru,General scholarly discussion,general discussion,19,13,18,0.9474
048020,2018,Resources for commentarial interpretations of particles,General scholarly discussion,general discussion,19,13,18,0.9474
021690,2000,Etymology of the words 'vedi' in ritual context,General scholarly discussion,general discussion,19,11,17,0.8947
022503,2000,Thanks for replies (was: request for out of print books),General scholarly discussion,general discussion,19,11,17,0.8947
037880,2013,mAtAjI,General scholarly discussion,general discussion,19,11,18,0.9474
040523,2015,Vedic verse in Ortega y Gasset,Veda and ritual,philological discussion,19,11,18,0.9474
019755,2000,"AIT, NEW genetic evidence",General scholarly discussion,general discussion,19,10,18,0.9474
047465,2018,camatkāra,General scholarly discussion,general discussion,19,10,18,0.9474
056801,2022,Translation of bhagavān / bhagavatī,Texts and philology,philological discussion,19,10,18,0.9474
057770,2023,Revision of ISO 15919 (transliteration of Indic scripts),Digital resources and tools,digital resource/tool,19,10,18,0.9474
004880,1996,re Kalanos the gymnosophist,General scholarly discussion,general discussion,19,9,18,0.9474
012270,1998,Music related questions,General scholarly discussion,general discussion,19,9,18,0.9474
012628,1998,yoga-paTTa,General scholarly discussion,general discussion,19,9,17,0.8947
019368,1999,Jnanasambandar: Nanda Chandran's question,General scholarly discussion,general discussion,19,9,18,0.9474
021678,2000,Etymology of the words 'vedi' in ritual context,General scholarly discussion,general discussion,19,9,18,0.9474
044703,2016,Vālmīki’s first śloka,General scholarly discussion,general discussion,19,9,18,0.9474
030867,2007,News about Sanskrit Studies in North American Universities,General scholarly discussion,general discussion,19,8,17,0.8947
016888,1999,addresses,General scholarly discussion,general discussion,19,7,18,0.9474
018911,1999,Kaladi and Sankara,General scholarly discussion,general discussion,19,7,18,0.9474
045627,2017,Female name Bhaayi?,General scholarly discussion,general discussion,19,7,18,0.9474
043116,2016,From the Mahabharata,Texts and philology,general discussion,19,6,18,0.9474
054662,2021,Comparison of Brahmins (and their cultural context) with Nazis (and their cultural context)? both inappropriate and inapt,General scholarly discussion,general discussion,19,6,18,0.9474
015610,1999,Special Characters & Unicode,General scholarly discussion,general discussion,19,5,18,0.9474
054536,2021,News,General scholarly discussion,general discussion,18,16,17,0.9444
032223,2008,two queries,General scholarly discussion,general discussion,18,15,16,0.8889
024362,2000,SV: Science Fiction Question for an Indologist (fwd),General scholarly discussion,general discussion,18,13,17,0.9444
003777,1995,old/new translations,General scholarly discussion,general discussion,18,12,16,0.8889
011158,1998,Scientific Credentials (was Re: Tamil words in English),General scholarly discussion,general discussion,18,12,16,0.8889
019130,1999,bones and flesh,General scholarly discussion,general discussion,18,12,16,0.8889
040441,2015,Satirical criticism in Sanskrit literature and philosophy?,General scholarly discussion,general discussion,18,12,17,0.9444
058800,2024,Statement Regarding the Murty Classical Library of India,History and culture,general discussion,18,12,17,0.9444
004913,1996,Native speakers of Sanskrit...,General scholarly discussion,general discussion,18,11,17,0.9444
009052,1997,question,General scholarly discussion,general discussion,18,11,17,0.9444
012612,1998,sarasvatI (etymology),General scholarly discussion,general discussion,18,11,17,0.9444
021892,2000,POSITION ANNOUNCEMENT,General scholarly discussion,general discussion,18,11,17,0.9444
022865,2000,Rajaram unrepentent!,General scholarly discussion,general discussion,18,11,17,0.9444
055209,2021,Grep tool for searching on Mac,General scholarly discussion,general discussion,18,11,17,0.9444
041863,2015,Hindi v Sanskrit,General scholarly discussion,general discussion,18,10,17,0.9444
042995,2016,Misunderstood origins,General scholarly discussion,general discussion,18,10,17,0.9444
055166,2021,Pāṇini,Grammar and linguistics,philological discussion,18,10,17,0.9444
060907,2025,the medical term jagrī?,General scholarly discussion,general discussion,18,10,17,0.9444
025188,2001,"Urdu,Hindi,and Sanskrit",General scholarly discussion,general discussion,18,9,17,0.9444
045715,2017,Buddhasrijnana's Abhisamaya commentary,Texts and philology,philological discussion,18,9,17,0.9444
057672,2023,Avagraha (or lack of) in Kashmiri manuscripts,General scholarly discussion,general discussion,18,8,17,0.9444
024931,2001,Once again: Double anunasika in Taittiriya Samhita,General scholarly discussion,general discussion,18,6,17,0.9444
046420,2017,Gita 13.6,Texts and philology,general discussion,18,5,17,0.9444
024887,2001,Airyanam Vaejah near Kazakhstan?,General scholarly discussion,general discussion,18,4,17,0.9444
061365,2025,Congratulations to Andrew Ollett on receiving an Infosys Prize for 2025,General scholarly discussion,general discussion,17,17,16,0.9412
034232,2010,Turtles (and elephants) all the way down?,General scholarly discussion,general discussion,17,15,15,0.8824
059505,2024,Request for help - materiality of texts and textual production,Bibliographic requests,identification/help request,17,15,16,0.9412
040606,2015,navarasam,General scholarly discussion,general discussion,17,14,16,0.9412
005881,1996,article,General scholarly discussion,general discussion,17,13,16,0.9412
020988,2000,snake & mongoose in ancient India,General scholarly discussion,general discussion,17,13,16,0.9412
059685,2024,Anquetil Duperron,General scholarly discussion,general discussion,17,13,16,0.9412
047647,2018,Spaces between words in Sanskrit manuscripts?,General scholarly discussion,general discussion,17,12,16,0.9412
049876,2019,Colour symbolism in pre-modern Indic sources; concise overview of the senses,General scholarly discussion,general discussion,17,12,16,0.9412
052461,2020,Techniques of Blinding,General scholarly discussion,general discussion,17,12,16,0.9412
008368,1997,epics comparison,General scholarly discussion,general discussion,17,11,16,0.9412
025738,2001,UNiversity and Church,General scholarly discussion,general discussion,17,11,16,0.9412
025751,2001,Interpreting the Gita,Texts and philology,general discussion,17,11,16,0.9412
053081,2020,PDF request,Bibliographic requests,bibliographic request,17,11,16,0.9412
058449,2023,Sanskrit in ChatGPT,General scholarly discussion,general discussion,17,11,17,1.0
061850,2026,a question about the āśīrliṅ,General scholarly discussion,identification/help request,17,11,16,0.9412
007625,1997,VYAKARAN: Re: Classical Sanskrit Accent,General scholarly discussion,general discussion,17,10,16,0.9412
008430,1997,Clarification to D. Thillaud,General scholarly discussion,general discussion,17,10,16,0.9412
048143,2018,Works attributed to Śaṅkarācārya,General scholarly discussion,general discussion,17,10,16,0.9412
053160,2020,"""Psychological complexity"" of Sanskrit language/literature",General scholarly discussion,general discussion,17,10,16,0.9412
016065,1999,"Re Potala(ka), etc",Texts and philology,general discussion,17,9,15,0.8824
021740,2000,Harappan 'non-texts'?,General scholarly discussion,general discussion,17,9,16,0.9412
022976,2000,"Buddhists and others, wasRe: RAJARAM EPISODE",General scholarly discussion,general discussion,17,9,16,0.9412
035760,2011,Asoka: Roads and Animals,General scholarly discussion,general discussion,17,9,16,0.9412
046551,2017,Lucid dreaming in Sanskrit?,General scholarly discussion,general discussion,17,9,16,0.9412
061023,2025,Mokṣopāya completed,General scholarly discussion,general discussion,17,9,16,0.9412
007722,1997,`Conversational Sanskrit' vs `Real Sanskrit',General scholarly discussion,general discussion,17,8,15,0.8824
015339,1999,Kumarila Bhatta's criticism of false etymologies,General scholarly discussion,general discussion,17,8,15,0.8824
