archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,rule_id,renou_axis,renou_code,renou_label,renou_covers,matched_term,confidence,evidence,source_url
000266,<161227015381.23782.15151649884072011276.generated@prod2.harmonylists.io>,000265,1992-06-10 12:58:18+00:00,1992,6,https://list.indology.info/pipermail/indology/1992-June/000266.html,Dominik Wujastyk,Chaulukya period inscriptions,General scholarly discussion,general discussion,register_epig,register,epig,Epigraphic,Epigraphic,inscriptions,subject_pattern,subject matched `inscriptions` using `register_epig`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000323,<161227015481.23782.3193966712891237271.generated@prod2.harmonylists.io>,000323,1992-09-12 07:31:03+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000323.html,Vickie L. Banks,Harivamsa Translation,Texts and philology,philological discussion,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Harivamsa,subject_pattern,subject matched `Harivamsa` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000323,<161227015481.23782.3193966712891237271.generated@prod2.harmonylists.io>,000323,1992-09-12 07:31:03+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000323.html,Vickie L. Banks,Harivamsa Translation,Texts and philology,philological discussion,register_epic,register,epic,Epic,Epic,Harivamsa,subject_pattern,subject matched `Harivamsa` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000326,<161227015491.23782.9918386241706011769.generated@prod2.harmonylists.io>,000324,1992-09-16 14:43:57+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000326.html,D.SURESH,Harivamsa,General scholarly discussion,general discussion,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Harivamsa,subject_pattern,subject matched `Harivamsa` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000326,<161227015491.23782.9918386241706011769.generated@prod2.harmonylists.io>,000324,1992-09-16 14:43:57+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000326.html,D.SURESH,Harivamsa,General scholarly discussion,general discussion,register_epic,register,epic,Epic,Epic,Harivamsa,subject_pattern,subject matched `Harivamsa` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000329,<161227015494.23782.2005788643982117427.generated@prod2.harmonylists.io>,000324,1992-09-17 15:59:55+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000329.html,Paul Kiparsky,Harivamsa Translation,Texts and philology,philological discussion,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Harivamsa,subject_pattern,subject matched `Harivamsa` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000329,<161227015494.23782.2005788643982117427.generated@prod2.harmonylists.io>,000324,1992-09-17 15:59:55+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000329.html,Paul Kiparsky,Harivamsa Translation,Texts and philology,philological discussion,register_epic,register,epic,Epic,Epic,Harivamsa,subject_pattern,subject matched `Harivamsa` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000330,<161227015499.23782.7585194629105385726.generated@prod2.harmonylists.io>,000323,1992-09-17 19:30:42+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000330.html,Rosane Rocher,Harivamsa Translation,Texts and philology,philological discussion,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Harivamsa,subject_pattern,subject matched `Harivamsa` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000330,<161227015499.23782.7585194629105385726.generated@prod2.harmonylists.io>,000323,1992-09-17 19:30:42+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000330.html,Rosane Rocher,Harivamsa Translation,Texts and philology,philological discussion,register_epic,register,epic,Epic,Epic,Harivamsa,subject_pattern,subject matched `Harivamsa` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000336,<161227015497.23782.8177590489249344435.generated@prod2.harmonylists.io>,000336,1992-09-17 18:00:43+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000336.html,Mathieu Boisvert,Harivamsa Translation,Texts and philology,philological discussion,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Harivamsa,subject_pattern,subject matched `Harivamsa` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000336,<161227015497.23782.8177590489249344435.generated@prod2.harmonylists.io>,000336,1992-09-17 18:00:43+00:00,1992,9,https://list.indology.info/pipermail/indology/1992-September/000336.html,Mathieu Boisvert,Harivamsa Translation,Texts and philology,philological discussion,register_epic,register,epic,Epic,Epic,Harivamsa,subject_pattern,subject matched `Harivamsa` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000354,<161227015543.23782.8415114549218009312.generated@prod2.harmonylists.io>,000354,1992-11-25 08:23:00+00:00,1992,11,https://list.indology.info/pipermail/indology/1992-November/000354.html,Stephen Miller,Modern Bengali Poetry,General scholarly discussion,general discussion,state_IV,state,IV,Classical,"kāvya, drama, kathā, classical śāstra, kośa, later grammar",Poetry,subject_pattern,subject matched `Poetry` using `state_IV`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000354,<161227015543.23782.8415114549218009312.generated@prod2.harmonylists.io>,000354,1992-11-25 08:23:00+00:00,1992,11,https://list.indology.info/pipermail/indology/1992-November/000354.html,Stephen Miller,Modern Bengali Poetry,General scholarly discussion,general discussion,register_kavya,register,kavya,Kāvya,Kāvya,Poetry,subject_pattern,subject matched `Poetry` using `register_kavya`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000379,<161227015590.23782.14295561198365112478.generated@prod2.harmonylists.io>,000379,1993-01-16 14:48:08+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000379.html,Richard P Hayes,Pali canon on disk?,Buddhism and Jainism,general discussion,state_V,state,V,Buddhist / Jaina,Buddhist Hybrid and Jaina Sanskrit,Pali,subject_pattern,subject matched `Pali` using `state_V`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000381,<161227015594.23782.1742160795909479497.generated@prod2.harmonylists.io>,000380,1993-01-16 19:01:06+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000381.html,JHUBBARD at smith.smith.edu,Pali canon on disk?,Buddhism and Jainism,general discussion,state_V,state,V,Buddhist / Jaina,Buddhist Hybrid and Jaina Sanskrit,Pali,subject_pattern,subject matched `Pali` using `state_V`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000384,<161227015599.23782.14088662999240003151.generated@prod2.harmonylists.io>,000384,1993-01-18 16:29:15+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000384.html,kak at max.ee.lsu.edu,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,state_IV,state,IV,Classical,"kāvya, drama, kathā, classical śāstra, kośa, later grammar",Kalidasa,subject_pattern,subject matched `Kalidasa` using `state_IV`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000384,<161227015599.23782.14088662999240003151.generated@prod2.harmonylists.io>,000384,1993-01-18 16:29:15+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000384.html,kak at max.ee.lsu.edu,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,register_kavya,register,kavya,Kāvya,Kāvya,Kalidasa,subject_pattern,subject matched `Kalidasa` using `register_kavya`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000386,<161227015602.23782.18188950249031386813.generated@prod2.harmonylists.io>,000384,1993-01-19 18:25:21+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000386.html,sandip at lewis.EE.CORNELL.EDU,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,state_IV,state,IV,Classical,"kāvya, drama, kathā, classical śāstra, kośa, later grammar",Kalidasa,subject_pattern,subject matched `Kalidasa` using `state_IV`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000386,<161227015602.23782.18188950249031386813.generated@prod2.harmonylists.io>,000384,1993-01-19 18:25:21+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000386.html,sandip at lewis.EE.CORNELL.EDU,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,register_kavya,register,kavya,Kāvya,Kāvya,Kalidasa,subject_pattern,subject matched `Kalidasa` using `register_kavya`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000388,<161227015606.23782.3248180189226125815.generated@prod2.harmonylists.io>,000384,1993-01-25 19:16:39+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000388.html,vsm at heliograph.Eng.Sun.COM,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,state_IV,state,IV,Classical,"kāvya, drama, kathā, classical śāstra, kośa, later grammar",Kalidasa,subject_pattern,subject matched `Kalidasa` using `state_IV`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000388,<161227015606.23782.3248180189226125815.generated@prod2.harmonylists.io>,000384,1993-01-25 19:16:39+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000388.html,vsm at heliograph.Eng.Sun.COM,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,register_kavya,register,kavya,Kāvya,Kāvya,Kalidasa,subject_pattern,subject matched `Kalidasa` using `register_kavya`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000389,<161227015608.23782.7933392812346716732.generated@prod2.harmonylists.io>,000384,1993-01-25 19:38:10+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000389.html,kak at max.ee.lsu.edu,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,state_IV,state,IV,Classical,"kāvya, drama, kathā, classical śāstra, kośa, later grammar",Kalidasa,subject_pattern,subject matched `Kalidasa` using `state_IV`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000389,<161227015608.23782.7933392812346716732.generated@prod2.harmonylists.io>,000384,1993-01-25 19:38:10+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000389.html,kak at max.ee.lsu.edu,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,register_kavya,register,kavya,Kāvya,Kāvya,Kalidasa,subject_pattern,subject matched `Kalidasa` using `register_kavya`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000395,<161227015617.23782.8749833442462189393.generated@prod2.harmonylists.io>,000395,1993-01-27 11:27:41+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000395.html,Richard P Hayes,Vedic accents in TeX,Veda and ritual,general discussion,state_I,state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",Vedic,subject_pattern,subject matched `Vedic` using `state_I`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000398,<161227015624.23782.6164734582533507659.generated@prod2.harmonylists.io>,000394,1993-01-27 15:19:48+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000398.html,Jeroen Hellingman,The Rigveda,Veda and ritual,general discussion,state_I,state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",Rigveda,subject_pattern,subject matched `Rigveda` using `state_I`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000398,<161227015624.23782.6164734582533507659.generated@prod2.harmonylists.io>,000394,1993-01-27 15:19:48+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000398.html,Jeroen Hellingman,The Rigveda,Veda and ritual,general discussion,register_rgveda,register,rgveda,Ṛgveda,Ṛgveda,Rigveda,subject_pattern,subject matched `Rigveda` using `register_rgveda`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000400,<161227015629.23782.7743950979691549924.generated@prod2.harmonylists.io>,000397,1993-01-27 21:31:30+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000400.html,rcohen at sas.upenn.edu,The Rigveda,Veda and ritual,general discussion,state_I,state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",Rigveda,subject_pattern,subject matched `Rigveda` using `state_I`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000400,<161227015629.23782.7743950979691549924.generated@prod2.harmonylists.io>,000397,1993-01-27 21:31:30+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000400.html,rcohen at sas.upenn.edu,The Rigveda,Veda and ritual,general discussion,register_rgveda,register,rgveda,Ṛgveda,Ṛgveda,Rigveda,subject_pattern,subject matched `Rigveda` using `register_rgveda`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000401,<161227015634.23782.1574529690095286832.generated@prod2.harmonylists.io>,000397,1993-01-28 09:03:32+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000401.html,yanom at JPNKSUVX.EARN,The Rigveda,Veda and ritual,general discussion,state_I,state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",Rigveda,subject_pattern,subject matched `Rigveda` using `state_I`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000401,<161227015634.23782.1574529690095286832.generated@prod2.harmonylists.io>,000397,1993-01-28 09:03:32+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000401.html,yanom at JPNKSUVX.EARN,The Rigveda,Veda and ritual,general discussion,register_rgveda,register,rgveda,Ṛgveda,Ṛgveda,Rigveda,subject_pattern,subject matched `Rigveda` using `register_rgveda`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000402,<161227015639.23782.11451775322972078619.generated@prod2.harmonylists.io>,000402,1993-01-28 17:01:11+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000402.html,kak at max.ee.lsu.edu,Rigveda,Veda and ritual,general discussion,state_I,state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",Rigveda,subject_pattern,subject matched `Rigveda` using `state_I`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000402,<161227015639.23782.11451775322972078619.generated@prod2.harmonylists.io>,000402,1993-01-28 17:01:11+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000402.html,kak at max.ee.lsu.edu,Rigveda,Veda and ritual,general discussion,register_rgveda,register,rgveda,Ṛgveda,Ṛgveda,Rigveda,subject_pattern,subject matched `Rigveda` using `register_rgveda`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000495,<161227015805.23782.3273350685528765960.generated@prod2.harmonylists.io>,000495,1993-05-07 16:22:00+00:00,1993,5,https://list.indology.info/pipermail/indology/1993-May/000495.html,RCJ at automation.university-library.cambridge.ac.uk,Announcement of a new edition of a Mongolian translation of the Kanjur section of the Tripitaka...,Buddhism and Jainism,philological discussion,state_V,state,V,Buddhist / Jaina,Buddhist Hybrid and Jaina Sanskrit,Tripitaka,subject_pattern,subject matched `Tripitaka` using `state_V`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000506,<161227015832.23782.15602078940527209801.generated@prod2.harmonylists.io>,000506,1993-05-18 18:28:18+00:00,1993,5,https://list.indology.info/pipermail/indology/1993-May/000506.html,Dwight Holmes,Mahaa-nirvaa.na-tantra,Texts and philology,general discussion,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",tantra,subject_pattern,subject matched `tantra` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000506,<161227015832.23782.15602078940527209801.generated@prod2.harmonylists.io>,000506,1993-05-18 18:28:18+00:00,1993,5,https://list.indology.info/pipermail/indology/1993-May/000506.html,Dwight Holmes,Mahaa-nirvaa.na-tantra,Texts and philology,general discussion,register_tantra,register,tantra,Tantra,Tantra,tantra,subject_pattern,subject matched `tantra` using `register_tantra`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000540,<161227015877.23782.1858011541982420905.generated@prod2.harmonylists.io>,000539,1993-06-18 12:15:58+00:00,1993,6,https://list.indology.info/pipermail/indology/1993-June/000540.html,l.m.fosse at easteur-orient.uio.no,shvetashvatara-upanishad,Veda and ritual,general discussion,state_I,state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",upanishad,subject_pattern,subject matched `upanishad` using `state_I`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000540,<161227015877.23782.1858011541982420905.generated@prod2.harmonylists.io>,000539,1993-06-18 12:15:58+00:00,1993,6,https://list.indology.info/pipermail/indology/1993-June/000540.html,l.m.fosse at easteur-orient.uio.no,shvetashvatara-upanishad,Veda and ritual,general discussion,register_upanisad,register,upanisad,Upaniṣad,Upaniṣad,upanishad,subject_pattern,subject matched `upanishad` using `register_upanisad`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
