author_display,decade,message_count
Ajay Rao,2010s,7
Ajay Rao,2020s,9
Ajit Gargeshwari,2010s,25
Ajit Gargeshwari,2020s,18
Ajit Ranade,1990s,5
Akhilesh Jha,2000s,11
Akihiko Akamatsu,1990s,1
Akihiko Akamatsu,2000s,7
Aklujkar,1990s,14
Akshara Ravishankar,2020s,10
Akshaya de Groot,1990s,1
Al Collins,2000s,1
Al Collins,2010s,13
Alaka Chudal,2020s,1
Alan Entwistle,1990s,5
Alan Sponberg,1990s,5
Alan Thew,1990s,13
Alastair Gornall,2020s,7
Alberto Pelissero,1990s,6
Alberto Pelissero,2000s,10
Alberto Todeschini,2000s,2
Alberto Todeschini,2010s,1
Aldabra,1990s,1
Alec McAllister,1990s,15
Aleix Ruiz Falqués,2010s,7
Aleix Ruiz Falqués,2020s,16
Aleix Ruiz-Falqués,2020s,13
Aleksandar Uskokov,2010s,32
Aleksandra Restifo,2020s,3
Aleksandre Yellizariev,1990s,2
Ales Petrocchi,2010s,6
Alessandra Petrocchi,2010s,2
Alessandro Battistini,2010s,20
Alessandro Battistini,2020s,4
Alessandro Ceccarelli,2020s,1
Alex Passi,2000s,32
Alex Rospatt,2010s,1
Alex Voukelatos,1990s,1
Alex Watson,2000s,1
Alex Watson,2010s,16
Alex Watson,2020s,26
Alexander A. Stolyarov,2000s,1
Alexander A. Stolyarov,2010s,2
Alexander Stolyarov,2010s,7
Alexander Stolyarov,2020s,3
Alexander v. Rospatt,2000s,2
Alexander von Rospatt,2000s,2
Alexander von Rospatt,2010s,14
Alexander von Rospatt,2020s,3
Alexandra Vandergeer,2000s,23
Alexandra Vandergeer,2010s,7
Alexandra van der Geer,2000s,4
Alexandre Sotov,1990s,2
Alexandre V. Elizariev,1990s,4
Alf Hiltebeitel,1990s,23
Alf Hiltebeitel,2000s,2
Alf Hiltebeitel,2010s,3
Alfred Collins,2000s,39
Alfred Collins,2010s,1
Alfred Hiltebeitel,2000s,8
Alfred Hiltebeitel,2010s,28
Alfred Hiltebeitel,2020s,14
Alfredo Villarroel,1990s,4
Allen Grace,1990s,1
Allen Thrasher,1990s,128
Allen Thrasher,2010s,59
Allen Thrasher,2020s,10
Allen W Thrasher,1990s,140
Allen W Thrasher,2000s,438
Allen W Thrasher,2010s,25
"Allen, Michael S (msa2b)",2010s,5
"Allen, Michael S (msa2b)",2020s,16
"Allen, Michael S. (msa2b)",2010s,1
"Allen, Michael S. (msa2b)",2020s,2
Alok Kumar,1990s,14
Alok Kumar,2000s,1
Alvappillai Veluppillai,1990s,12
Amala Bhakta,1990s,4
Amandine Bricout,2020s,1
Amardeep Salgia,1990s,3
Amarjit,1990s,1
Amba Kulkarni,2010s,30
Amba Kulkarni,2020s,30
Amit Chaturvedi,2010s,2
Amit Chaturvedi,2020s,1
AmitaSarin at aol.com,1990s,27
Amos Nevo,1990s,17
Amy Langenberg,2000s,2
Amy Langenberg,2010s,3
An Ber,2000s,1
An IndiaWorld Information Service,1990s,1
Ana Bajzelj,2020s,30
Anand,1990s,1
Anand Dilip,2000s,3
Anand Dilip,2010s,2
Anand M. Sharan,2000s,41
Anand Nayak,1990s,16
Anand V Raman,1990s,8
Anand Venkatkrishnan,2010s,3
Anand Venkt Raman,1990s,42
Anand.Nayak at unifr.ch,1990s,5
Ananya Vajpeyi,2010s,30
Ananya Vajpeyi,2020s,49
Andras Micsik,1990s,1
Andrea Acri,2010s,25
Andrea Acri,2020s,19
"Andrea Farran, Prof",2020s,2
Andrea Lorene Gutierrez,2020s,5
Andrea Marion Pinkney,2000s,7
"Andrea Marion Pinkney, Prof",2010s,3
"Andrea Marion Pinkney, Prof.",2010s,1
Andrea Pinkney,2010s,2
Andreas Bigger,1990s,1
Andreas Schuettler,1990s,4
Andree Woodcock,1990s,1
Andrew Cohen,1990s,10
Andrew Fort,1990s,9
Andrew Glass,2000s,29
Andrew Glass,2010s,1
Andrew Nicholson,2010s,36
Andrew Nicholson,2020s,7
Andrew Ollett,2000s,2
Andrew Ollett,2010s,74
Andrew Ollett,2020s,70
Andrey Klebanov,2010s,38
Andrey Klebanov,2020s,11
André Signoret,2000s,10
Andy McCord,1990s,2
Angelina M. Whitford,1990s,1
"Angermeier, Vitus",2020s,2
Angot Michel,2000s,2
Angus Murphy,1990s,1
Anil Gupta,1990s,10
Anil K Gupta,1990s,1
Anil K. Gupta,1990s,1
Anil Mundra,2010s,2
Anirban Dash,2020s,4
Anjana Roy,1990s,2
Anna A. Golovkova,2020s,1
Anna A. Slaczka,2000s,17
Anna A. Slaczka,2010s,22
Anna Aurelia Esposito,2010s,10
Anna Aurelia Esposito,2020s,14
Anna Lise Seastrand,2020s,6
Anna M üller,1990s,1
Anna Martin,2010s,1
Anna Müller,1990s,2
Anna Seastrand,2010s,1
Anna Slaczka,2010s,1
Anna Slaczka,2020s,8
Anna kav,2010s,1
Anna-Pya,2000s,1
Anna-Pya Sjödin,1990s,3
Anna-Pya Sjödin,2000s,2
Anne MacDonald,1990s,1
Anne MacDonald,2000s,1
Anne Monius,1990s,6
Anne Monius,2000s,1
Annette Wilke,1990s,5
Anshuman Pandey,1990s,120
Anshuman Pandey,2000s,1
Anthony Good,1990s,2
Anthony Good,2000s,2
Anthony P Stone,1990s,31
Antoine,1990s,1
Antoine Leca,2000s,5
Antonia Ruppel,2010s,63
Antonia Ruppel,2020s,68
Antonio Ferreira-Jardim,2000s,19
Antonio Ferreira-Jardim,2010s,33
Antonio Ferreira-Jardim,2020s,11
Antonio Jardim,2000s,2
Antreas P. Hatzipolakis,1990s,2
Anubhav Jain,2020s,2
Anurupa IFP,2010s,7
Anurupa N,2020s,1
Anurupa Naik,2010s,26
Anurupa Naik,2020s,3
Anusha Sudindra Rao,2020s,2
Anya Golovkova,2010s,3
Appasamy MURUGAIYAN,2010s,1
Appasamy MURUGAIYAN,2020s,1
Appasamy Murugaiyan,2020s,8
AppuArchie,1990s,6
Arash Zeini,1990s,11
Arash Zeini,2010s,1
Arash Zeini,2020s,9
Archana Venkatesan,2010s,4
Archana Venkatesan,2020s,24
Arjun Kashyap,2020s,1
Arjuna S R,2010s,6
Arjuna S R,2020s,18
Arlo Griffiths,1990s,6
Arlo Griffiths,2000s,147
Arlo Griffiths,2010s,235
Arlo Griffiths,2020s,128
Arnaud Fournet,2010s,12
Arti Dhand,2020s,4
Artur Karp,1990s,51
Artur Karp,2000s,56
Artur Karp,2010s,329
Artur Karp,2020s,29
Arun Chandrakantan,1990s,4
Arun Gupta,2000s,104
Aruna Keerthi,2020s,1
Arup A. Bhanja,1990s,3
Arvind Acharya,1990s,1
Arya Buddha,2000s,1
Arya Buddha Asso,2000s,1
Asha Naidu,1990s,12
Ashish Chandra,1990s,63
Ashok Aklujkar,1990s,49
Ashok Aklujkar,2000s,128
Ashok Aklujkar,2010s,151
Ashok Aklujkar (Interchange),2000s,2
Ashok Gupta,1990s,1
Ashwini Sharad Deo,2000s,2
Asian Rare Books,1990s,3
Asko H S Parpola,1990s,12
Asko Parpola,1990s,4
Asko Parpola,2000s,27
Asko Parpola,2010s,42
Asko Parpola,2020s,96
Asko.Parpola at Helsinki.FI,1990s,11
Asko.Parpola at helsinki.fi,1990s,1
Astrid Zotter,2010s,2
Atimidus,2000s,2
Audrey Truschke,2010s,52
Audrey Wright,1990s,1
Avanindra Prakash,2000s,3
Avinash Sathaye,1990s,17
Avinash Sathaye,2000s,2
Avni Chag,2010s,1
Axel Michaels,1990s,35
Axel Michaels,2000s,64
Axel Michaels,2010s,29
Ayelet Kotler,2010s,2
B,2010s,1
B,2020s,5
B Scherer,2020s,1
B. Gillon,1990s,1
B. Hatcher,1990s,6
B. Reusch,1990s,41
B. Reusch,2000s,8
B. Schlerath,2000s,6
B.Bhattacharya,2000s,2
B.Loturco at agora.stm.it,1990s,7
B.philip Jonsson,1990s,1
B7Z2000,1990s,1
BAKKER at NL.RUG,1990s,1
BAKKER at NL.RUG.RUGR86,1990s,1
BAKULA at delphi.com,1990s,5
BANKS at UK.AC.OXFORD.VAX,1990s,1
BAPAT JB,1990s,5
BERNEDE Franck,1990s,4
BFGV000,1990s,1
BG,2010s,5
BGOY000,1990s,1
BGPK000,1990s,1
BHATTACHARYA at MEDLIB.HSCBKLYN.EDU,1990s,1
BMS at NAUVAX.UCC.NAU.EDU,1990s,3
BP Jonsson,2000s,2
BRENDAN S. GILLON,1990s,2
BROCKINGTON John,2010s,12
BROWNH at CCSUA.CTSTATEU.EDU,1990s,2
Bal Prasad,1990s,6
Bal Prasad,2000s,1
Balaji Hebbar,1990s,89
Balogh Dániel,2010s,31
Bapa Rao,1990s,9
Bapat Jb,1990s,16
Barbara Bomhoff,1990s,1
Barbara Satola,1990s,1
Barbara Schuler,2000s,5
Barbora Sojkova,2020s,2
Barbora Sojková,2020s,1
"Be no coward,knave nor fool",1990s,1
Beate Guttandin,2020s,1
Beatrice Reusch,2000s,2
Benjamin Fleming,1990s,13
Benjamin Fleming,2000s,28
Benjamin Fleming,2010s,31
Benjamin Preciado,1990s,3
Benjamin Preciado,2000s,3
Benjamin Preciado Solis,1990s,11
Benjamin Slade,1990s,1
Benjamin Slade,2000s,4
Benjamin Slade,2010s,6
Bennett Blumenberg,1990s,1
Bertram Liyanage,2020s,2
Bh. Krishnamurti,1990s,43
Bh.Krishnamurti,1990s,28
Bhadraiah Mallampalli,1990s,8
Bhadraiah Mallampalli,2000s,94
Bhalchandrarao C Patwardhan,2000s,4
Bharat Gupt,1990s,47
Bharat Gupt,2000s,42
Bhikkhuni Dhammadinna,2010s,1
Bhikkhuni Dhammadinna,2020s,2
Bihani Sarkar,2010s,5
Bihani Sarkar,2020s,16
"Bijlert, V.A. van",2010s,24
"Bijlert, V.A. van",2020s,4
Bijoy Misra,1990s,85
Bijoy Misra,2000s,31
Bill Gorvine,1990s,1
Bill Hamblin,1990s,1
Bill Mak,2000s,1
Bill Mak,2010s,42
Bill Mak,2020s,8
Bill Sands,1990s,1
Bill Upton-Knittle,1990s,1
"Binder, Katrin",2010s,1
Bindu Bhat,2000s,21
Bindu Bhatt,2000s,18
Bindu Bhatt,2010s,3
Birendra Nath Prasad,2010s,19
Birendra Nath Prasad,2020s,20
Birgit Kellner,1990s,54
Birgit Kellner,2000s,79
Birgit Kellner,2010s,83
Birgit Kellner,2020s,31
Birgit Kellner (univie),2000s,2
Birgit Mayer <AG5 at EARN.DHDURZ1>,1990s,2
Birgit Mayer-Koenig,1990s,1
Birgit Mayer-König,2000s,3
Birney Titus,1990s,2
Bjarte Kaldhol,2000s,53
Blake Wentworth,2000s,1
"Blinderman, Radha",2020s,27
Bo Klintberg,1990s,11
Bob Hueckstedt,2000s,4
Bob Hueckstedt,2010s,2
Bob King - ligi355 at utxvms.cc.utexas.edu,1990s,9
Bob Lazarowitz,1990s,1
Bob Lazarowitz,2000s,1
Bob Peck,2000s,28
Bob Thurman,2000s,3
Bobbie Fluke,1990s,1
Bogdan Diaconescu,1990s,1
Borayin Larios,2010s,2
Borayin Larios,2020s,4
Borayin M. Larios,2010s,1
Borayin M. Larios,2020s,5
Boris Oguibenine,1990s,12
Boris Oguibenine,2000s,2
Boris Oguibenine,2010s,2
Boris Oguibenine,2020s,2
"Bose, Mandakranta",2010s,4
"Bose, Mandakranta",2020s,2
Bradley A. Esparza,1990s,2
Bradley Clough,2000s,4
Bradley Clough,2010s,8
Bradley Clough,2020s,13
Brendan,2010s,3
Brendan Gillon,2000s,5
Brendan Gillon,2010s,10
Brendan Gillon,2020s,5
Brendan S. Gillon,1990s,7
"Brendan S. Gillon, Prof.",2010s,8
"Brendan S. Gillon, Prof.",2020s,21
"Brereton, Joel",2010s,2
Brett Kessler,1990s,4
Brett Parris,2020s,1
Brian Akers,1990s,15
Brian Akers,2000s,23
Brian Campbell,2010s,3
Brian Campbell,2020s,14
Brian Hatcher,1990s,1
Bridgman at aol.com,1990s,7
Britta Schneider,2010s,1
Bruce M. Sullivan,1990s,1
Bruce.Sullivan at nau.edu,1990s,8
Bruno Galasek,2010s,6
Bruno Galasek-Hul,2020s,5
Bruno Lo Turco,1990s,6
Bruno Lo Turco,2000s,3
Bruno Lo Turco,2010s,4
Bruno Lo Turco,2020s,7
Bruno Loturco,2020s,1
Bryan,1990s,1
"Buchholz, Jonas",2020s,7
"Buchta, David",2010s,14
"Buchta, David",2020s,24
Buddistafelag Islands,1990s,1
Burkhard Quessel,1990s,5
Burt M Thorp,1990s,6
Burt Thorp,1990s,12
Burt Thorp,2000s,1
Byrav Ramamurthy,1990s,1
C John Powers,1990s,2
C.A. Coleman,1990s,6
C.A. Formigatti,2010s,38
C.J. Oort,1990s,1
C.J.G.=van=der=Burg%ST_GW%TheoFilos at esau.th.vu.nl,1990s,1
C.R. (Selva) Selvakumar,1990s,5
C.R. Selvakumar,1990s,35
C.R. Selvakumar,2000s,19
C.S.Raghavendra,1990s,2
"CAMP: Sen, Amitava",1990s,1
CHRISTOPHER AUSTIN,1990s,1
CHRISTOPHER GIBBONS,2010s,12
CHRISTOPHER GIBBONS,2020s,1
CJPOWERS at DESIRE.WRIGHT.EDU,1990s,2
CLARK Chris,2010s,2
CLODOMIR B DE ANDRADE,1990s,1
COHEN at rhodes.edu,1990s,2
COHEN at vax.rhodes.edu,1990s,2
CSP1,1990s,1
CVEDGC at Levels.UniSA.Edu.Au,1990s,3
CXLJ000,1990s,1
CYFB000,1990s,1
Caha Libor,1990s,1
Caley Smith,2010s,1
Caley Smith,2020s,37
Camillo Formigatti,2010s,72
Camillo Formigatti,2020s,24
Caren Dreyer,2010s,2
Carlos Lopez,1990s,19
Carlos Lopez,2000s,4
Carmen Spiers,2020s,12
Caroline DUBOIS,2010s,2
Catalin BUIU,1990s,1
Catalin Buiu,1990s,1
Catherine B Asher-1,1990s,1
Catherine Benkaim,1990s,3
Cezary Galewicz,1990s,4
Cezary Galewicz,2010s,4
Cezary Zemis,1990s,4
Chad Steven Lauritsen,1990s,1
"Chag, A. (Avni)",2020s,4
Chandan R. Narayan,1990s,7
Chandan R. Narayan,2000s,13
Chandan Raghava Narayan,1990s,11
Chandra Balachandra,1990s,4
"Chandrasekaran, Periannan",1990s,52
Channa Li,2020s,1
Chantal Lemay,1990s,2
Charles,1990s,10
Charles DiSimone,2010s,31
Charles DiSimone,2020s,55
Charles Li,2010s,9
Charles Li,2020s,14
Charles Nuckolls,1990s,1
Charles Orzech,1990s,1
Charles Poncet,1990s,4
Charles Wikner,1990s,20
Charles Wikner,2000s,1
Charlie Higgins,2010s,4
Charlyn Edwards,2020s,3
Chaz Preston,2020s,1
Chiara Policardi,2010s,12
Chiara Policardi,2020s,3
Chlodwig H Werba,2010s,1
Chlodwig H. Werba,2010s,7
Chouhan Electronic Informatics P Ltd.,1990s,3
Chouhan Electronic Informatics P Ltd.,2000s,1
Chris Austin,1990s,6
Chris Austin,2000s,1
Chris Beetle,1990s,37
Chris Beetle,2000s,8
Chris Clark,2010s,10
Chris Eade,1990s,3
Chris Haskett,2000s,6
Chris Hibbard/E. Stern,1990s,13
Chris Wallis,2000s,8
Chris Wooff,1990s,26
Chris Wooff,2000s,2
Chris Wooff *NOT AUTHENTICATED*,1990s,1
Christian,1990s,1
Christian Coseru,1990s,2
Christian Coseru,2000s,9
Christian Coseru,2010s,1
Christian Current,2010s,1
Christian Ferstl,2010s,5
Christian Ferstl,2020s,65
Christian K. Wedemeyer,1990s,3
Christian K. Wedemeyer,2000s,35
Christian K. Wedemeyer,2010s,9
Christian L Novetzke,2020s,1
Christian Lammerts,2010s,1
Christian Lee Novetzke,1990s,6
Christian Lee Novetzke,2000s,28
Christian Novetzke,1990s,1
Christian P. Haskett,2010s,6
Christian Peter,1990s,1
Christian Wedemeyer,2000s,2
Christian Wedemeyer,2010s,2
Christian Wedemeyer,2020s,1
Christiane Sarrazin,2000s,1
Christina Fritsch,1990s,8
Christina.Gillberg at eu.pnu.com,1990s,1
Christoph Emmrich,2000s,10
Christoph Emmrich,2010s,14
Christoph Emmrich,2020s,10
Christophe Vielle,2000s,98
Christophe Vielle,2010s,269
Christophe Vielle,2020s,186
Christopher Austin,2010s,9
Christopher Austin,2020s,5
Christopher Chapple,1990s,1
Christopher Fernandez,1990s,21
Christopher Fleming,2020s,1
Christopher Fynn,1990s,3
Christopher Handy,2010s,2
Christopher J Fynn,1990s,1
Christopher J. Fynn,2000s,2
Christopher John Fynn,2000s,7
Christopher Miles-Yepez,2000s,1
Christopher Wallis,2010s,41
Christopher Wallis,2020s,1
Christèle Barois,2010s,5
Cicely A Bonnin,2020s,3
Clare Martin,1990s,2
"Clarke, Shayne",2010s,4
"Clarke, Shayne",2020s,5
Claude Newell-Lesslauer,2010s,1
Claude Setzer,1990s,26
Claude Setzer,2000s,34
Claude_Setzer at fcsmtp.mum.edu,1990s,11
Claudine Bautze-Picron,2000s,8
Claudine Bautze-Picron,2010s,2
Claudine Picron,2000s,10
Claudio Cicuzza,2010s,1
Claudius Teodorescu,2010s,5
Claudius Teodorescu,2020s,24
Clemency Montelle,2010s,18
Clemente Beghi,1990s,1
Clementin Catherine,2010s,9
Clementin Catherine,2020s,1
"Clough, Bradley",2000s,1
"Clough, Bradley",2010s,17
"Coburn, Tom",1990s,6
"Cohen, Signe",2000s,5
Collett Cox,2020s,1
"Collins, Brian",2010s,28
"Collins, Brian",2020s,31
Constanze Pabst von Ohain,2010s,1
Converse at sesame.demon.co.uk,1990s,1
Corinna May Lhoir,2020s,7
Corinna Wessels-Mevissen,2010s,18
Corinna Wessels-Mevissen,2020s,2
Corvin Russell,1990s,3
"Coseru, Christian",2010s,5
"Coseru, Cristian",2000s,1
"Coseru, Cristian",2010s,4
Craig Rublee,1990s,1
Csaba Dezso,2000s,8
Csaba Dezso,2010s,13
Csaba Dezso,2020s,12
Csaba Dezső,2010s,2
Csaba Kiss,2000s,1
Csaba Kiss,2010s,1
Csaba Kiss,2020s,1
Cyber Maadhva Sangha,1990s,5
D N Jha,2000s,2
D N Jha,2010s,3
D Satyanarayana,1990s,1
D Venkat Rao,2010s,1
D. Carpenter,1990s,3
D. Soneji,1990s,1
D.H. Killingley,1990s,23
D.K.PRINTWORLD,2000s,1
D.Plukker at inter.NL.net,1990s,3
D.SURESH,1990s,1
D.Soneji,1990s,1
D53 at VM.URZ.UNI-HEIDELBERG.DE,1990s,1
DAVID GRAY,1990s,6
DAVID GRAY,2000s,8
DAVID SMITH,1990s,5
DC Lammerts,2010s,6
DC Lammerts,2020s,1
DESIKACHARYK at wl.aecl.ca,1990s,2
DEVARAKONDA VENKATA NARAYANA SARMA,1990s,282
DEVI IFP,2000s,7
DIEGO LOUKOTA SANCLEMENTE,2010s,11
DIEGO LOUKOTA SANCLEMENTE,2020s,26
DK Printworld,1990s,4
DKumar6248 at aol.com,1990s,19
DN Jha,2000s,1
DN Jha,2010s,6
DR.S.KALYANARAMAN,1990s,34
DaFamily,1990s,1
Dagmar Wujastyk,2010s,22
Dagmar Wujastyk,2020s,35
Damien Keown,1990s,4
Dan Lusthaus,1990s,34
Dan Lusthaus,2000s,40
Dan Lusthaus,2010s,86
Dan Lusthaus,2020s,73
Dan White,1990s,1
Daniel Balogh,2010s,1
Daniel Baum,1990s,12
Daniel George,1990s,2
Daniel Simpson,2020s,1
Daniel Stender,1990s,2
Daniel Stender,2000s,4
Daniel Stender,2010s,7
Daniela Bevilacqua,2020s,9
Daniela De Simone,2010s,4
Daniela De Simone,2020s,3
Daniela Rossella,2000s,36
Daniela Rossella,2010s,9
Danilov Dmitry,2010s,2
Danilov Dmitry,2020s,2
Danuta Stasik,1990s,2
Das Devaraj,1990s,17
Das Devaraj,2000s,2
Das Menon,1990s,19
Daud Ali,1990s,1
Daud R. Ali,1990s,9
Dave Turpie,2000s,1
Dave and Celia Mason,1990s,3
David,1990s,1
David,2000s,1
David Ambuel,1990s,1
David C. Swain,1990s,2
David Carpenter,1990s,1
David Dargie,1990s,4
David Donald Drewes,2000s,1
David Fiordalis,2000s,1
David Fiordalis,2010s,5
David Jonsson,1990s,9
David Lawrence,1990s,3
David Lorenzen S.,1990s,11
David Magier,1990s,261
David Magier,2000s,91
David Magier,2010s,2
David Mellins,2000s,1
David Mellins,2010s,13
David Mellins,2020s,4
David N Nelson,1990s,1
David Nelson,1990s,1
David Pierdominici,2010s,24
David R. Blumenthal,1990s,1
David R. Israel,1990s,26
David Rustin Mellins,2000s,18
David S. Magier,2010s,2
David S. Magier,2020s,5
David Salmon,1990s,3
David Salmon,2000s,30
David Salmon (Kettenpom),1990s,1
David Salmon (Kettenpom),2000s,4
David Salmon (Orinda),2000s,1
David Scarbrough,1990s,1
David Slakter,2020s,2
David Smith,2010s,3
David Smith,2020s,14
David Stampe,1990s,7
David White,2020s,1
David and Nancy Reigle,2010s,167
David and Nancy Reigle,2020s,106
"Davidson, Ronald",2010s,3
"Davidson, Ronald M.",2010s,5
"Davidson, Ronald M.",2020s,8
Dayan Deonarine,1990s,2
Dean Anderson,2000s,64
Dean Michael Anderson,2000s,11
Dean Michael Anderson,2010s,115
Dean Michael Anderson,2020s,73
Deepak,1990s,4
Deepak Gupta,1990s,3
Deepak Sarma,2000s,9
Deepak Sarma,2010s,11
Deepak Sarma,2020s,8
Deepali Potdar,1990s,1
Deepro Chakraborty,2010s,7
Deepro Chakraborty,2020s,20
Deepthi Kumara Henadeerage,1990s,4
Deepthi Kumara Henadeerage,2000s,1
Denise Hanusek,1990s,1
Denise Hanusek,2000s,1
Dermot Killingley,1990s,6
Dermot Killingley,2010s,4
Dermot Killingley,2020s,1
"Deshpande, Madhav",2000s,63
"Deshpande, Madhav",2010s,47
Devananda Tandavan,1990s,1
Devaraya Prabhu,1990s,1
Deven M Patel,1990s,1
Deven Patel,2000s,1
Deven Patel,2010s,4
Deven Patel,2020s,2
Devendra.Singh at si.sintef.no,1990s,2
Deviprasad,2000s,5
Deviprasad Mishra,2000s,2
Dhammametto Bhikkhu,2000s,2
Dhaval Patel,2010s,58
Dhaval Patel,2020s,85
Dhooleka Sarhadi Raj,1990s,1
DiSimone Charles,2000s,2
DiSimone Charles,2010s,7
Diana Finnegan,2010s,1
Diana Mickeviciene,1990s,1
Dick Oliver,1990s,9
Dick Plukker,1990s,4
Dick Plukker,2000s,5
Dick Plukker,2010s,4
Dick Plukker,2020s,2
Dick de Groot,1990s,1
Dieter Gunkel,2010s,14
Dieter Gunkel,2020s,9
Dieter Schlingloff,2020s,1
Dietrich Christian Lammerts,2000s,2
Dileep Karanth,1990s,14
Dilip Chirmuley,1990s,1
Dilip Rajgor,2000s,4
Dimitry Shevchenko,2010s,3
Dimitry Shevchenko,2020s,5
Dinesh Maheshwari,2000s,5
Dinesh Maheshwari/CAD,2000s,2
Dipak Bhattacharya,2000s,130
Dipak Bhattacharya,2010s,419
Dipak Durgamohan Bhattacharya,2010s,19
Ditte Bandini,1990s,4
Ditte Koenig,1990s,9
Divya Kumar-Dumas,2020s,2
Diwakar ACHARYA,2010s,5
Diwakar Acharya,2010s,2
Diwakar Acharya,2020s,9
Diwakar singh,2010s,5
Dmitri,2000s,32
Dmitri Semenov,2000s,2
Dmitriy,2010s,2
Dmitriy Lielukhine,2000s,2
Dmitriy N. Lielukhine,2000s,3
Dmitry Olenev,1990s,13
Dmitry Olenev,2000s,2
Dmitry Olenev,2010s,1
Dn Jha,2010s,5
Dominic Goodall,1990s,17
Dominic Goodall,2000s,37
Dominic Goodall,2010s,61
Dominic Goodall,2020s,3
Dominik,2010s,1
Dominik,2020s,2
Dominik A. Haas,2020s,19
Dominik Haas,2010s,7
Dominik Haas,2020s,14
Dominik Wujastyk,1990s,872
Dominik Wujastyk,2000s,812
Dominik Wujastyk,2010s,1234
Dominik Wujastyk,2020s,495
Dominique Thillaud,1990s,1
Dominique.Thillaud,1990s,178
Don Traxler,1990s,1
Donald Davis,2000s,1
Donald R Davis,2010s,33
Donald R Davis,2020s,26
Donald R Davis Jr,2000s,1
Donald R Davis Jr,2010s,8
"Donald R. Davis, Jr.",2000s,18
"Donald R. Davis, Jr.",2010s,2
Dorji Wangchuk,2010s,1
Douglas R. Brooks,1990s,5
Dr Aloka Parasher-Sen,1990s,2
Dr Anthony P Stone,1990s,3
Dr Anthony P Stone,2000s,5
Dr D Smith,1990s,16
Dr Dominik Wujastyk,1990s,1
Dr J.J. Lipner,1990s,1
Dr K N Neelakantan Elayath,2000s,5
Dr Shivamurthy Swamiji,1990s,35
Dr Shivamurthy Swamiji,2000s,3
Dr Y. Vassilkov,2000s,26
Dr. Arti Dhand,2020s,1
Dr. Chlodwig H. Werba,2000s,3
Dr. Chlodwig H. Werba,2010s,2
Dr. David Sconyers,1990s,1
Dr. Debabrata Chakrabarti,2010s,49
Dr. Debabrata Chakrabarti,2020s,11
"Dr. Dominik A. Haas, BA MA",2020s,20
Dr. Dominik Wujastyk,1990s,7
Dr. Greg Bailey,1990s,2
Dr. Greg Bailey,2000s,11
