normalized_author,author_id,message_count,thread_count,first_year,last_year,top_topic,top_list_function,resolved_replies_sent,resolved_replies_received,author_status
Stephen Hodge,indology-author-cb8c925700,306,196,1999,2013,General scholarly discussion,general discussion,248,122,confirmed
Robert Zydenbos,indology-author-8e2a6ffe31,305,218,1998,2025,General scholarly discussion,general discussion,254,137,confirmed
"Olivelle, J P",indology-author-ed2b2e4798,292,152,2016,2022,General scholarly discussion,general discussion,215,231,confirmed
Birgit Kellner,indology-author-c2e5322986,283,245,1996,2026,General scholarly discussion,general discussion,156,129,confirmed
DEVARAKONDA VENKATA NARAYANA SARMA,indology-author-277b3774d8,282,174,1997,1999,General scholarly discussion,general discussion,239,50,confirmed
Jean-Luc Chevillard,indology-author-b5b26cf6da,280,213,1996,2026,General scholarly discussion,general discussion,190,129,confirmed
David and Nancy Reigle,indology-author-fa3b89faff,273,173,2015,2026,General scholarly discussion,general discussion,228,202,confirmed
Howard Resnick,indology-author-54075ba9e0,268,152,1996,2025,General scholarly discussion,general discussion,192,186,confirmed
alakendu das,indology-author-9a0120dbbb,262,189,2011,2025,General scholarly discussion,general discussion,139,172,confirmed
Elliot Stern,indology-author-af3c232b78,251,197,1997,2026,General scholarly discussion,general discussion,209,134,confirmed
"Tieken, H.J.H.",indology-author-2aa42e0a57,250,190,2001,2021,General scholarly discussion,general discussion,153,181,confirmed
Krishnaprasad G,indology-author-3b5492e8cf,241,161,2015,2022,General scholarly discussion,general discussion,141,140,confirmed
Venkatraman Iyer,indology-author-5825b6ee28,236,168,1999,2001,General scholarly discussion,general discussion,165,194,confirmed
patrick mccartney,indology-author-88ed3b027e,234,180,2010,2026,General scholarly discussion,general discussion,84,190,confirmed
Dan Lusthaus,indology-author-dc3db21c46,233,166,1997,2026,General scholarly discussion,general discussion,208,141,confirmed
McComas Taylor,indology-author-350be20771,231,221,2003,2026,General scholarly discussion,general discussion,63,87,confirmed
Luis Gonzalez-Reimann,indology-author-d21d0424bd,227,179,1996,2021,General scholarly discussion,general discussion,158,290,confirmed
Roland Steiner,indology-author-1c3ef64a4f,224,185,1997,2026,General scholarly discussion,general discussion,177,83,confirmed
Valerie J Roebuck,indology-author-67f9cf0ba2,221,177,2000,2022,General scholarly discussion,general discussion,163,53,confirmed
"Gruenendahl, Reinhold",indology-author-7f8ced386e,218,187,2008,2022,Digital resources and tools,digital resource/tool,69,66,confirmed
George Hart,indology-author-5116ca13b0,213,161,2001,2023,General scholarly discussion,general discussion,139,184,confirmed
"Lubin, Tim",indology-author-c2d3e6c750,210,154,2009,2026,General scholarly discussion,general discussion,188,174,confirmed
Paul Kekai Manansala,indology-author-b121009083,210,93,1997,2000,General scholarly discussion,general discussion,197,51,confirmed
"Hock, Hans Henrich",indology-author-2e8aa87a2b,207,154,2011,2026,General scholarly discussion,general discussion,187,134,confirmed
Dhaval Patel,indology-author-aeb30ee0a9,202,164,2014,2026,General scholarly discussion,general discussion,61,77,confirmed
Dean Michael Anderson,indology-author-912b42851a,199,139,2008,2022,General scholarly discussion,general discussion,141,177,confirmed
Steve Farmer,indology-author-f886fa3ec4,199,108,2000,2025,General scholarly discussion,general discussion,118,463,confirmed
Allen Thrasher,indology-author-9913bae31d,197,181,1995,2021,General scholarly discussion,general discussion,99,64,confirmed
Peter Wyzlic,indology-author-37916c64ae,196,188,1997,2026,General scholarly discussion,general discussion,163,47,confirmed
Enrica Garzilli,indology-author-d71d1074f9,187,166,1994,2014,General scholarly discussion,general discussion,64,57,confirmed
Richard MAHONEY,indology-author-a59fefaf88,185,169,1999,2022,General scholarly discussion,general discussion,100,26,confirmed
rajam,indology-author-5071330ef4,185,132,2009,2025,General scholarly discussion,general discussion,153,169,needs_review
S Krishna,indology-author-045f340787,180,130,1997,2000,General scholarly discussion,general discussion,134,102,confirmed
Dominique.Thillaud,indology-author-0def681bb2,178,139,1997,1998,General scholarly discussion,general discussion,133,135,needs_review
Stefan Baums,indology-author-cfd664094d,175,138,1998,2025,General scholarly discussion,general discussion,114,120,confirmed
nanda chandran,indology-author-1b5619adb7,171,87,1999,2000,General scholarly discussion,general discussion,116,233,confirmed
Asko Parpola,indology-author-671fc2f8c1,168,155,1997,2026,General scholarly discussion,general discussion,134,100,confirmed
Vishal Agarwal,indology-author-b29b6e8f58,168,118,1999,2000,General scholarly discussion,general discussion,103,158,confirmed
Klaus Karttunen,indology-author-7711f8ec42,167,156,1996,2017,General scholarly discussion,general discussion,121,52,confirmed
Lubomír Ondračka,indology-author-d39fd77722,167,142,2017,2026,General scholarly discussion,general discussion,157,85,confirmed
Richard Salomon,indology-author-583c2583f1,156,139,1993,2016,General scholarly discussion,general discussion,89,76,confirmed
Jesse Knutson,indology-author-27338efc7a,153,109,2014,2025,General scholarly discussion,general discussion,94,84,confirmed
Mrinal Kaul,indology-author-bc329238b2,152,125,2008,2025,General scholarly discussion,general discussion,60,61,confirmed
Herman Tull,indology-author-e395067c4d,151,133,2002,2026,General scholarly discussion,general discussion,104,119,confirmed
James Hartzell,indology-author-c20ca3cff4,149,110,2007,2021,General scholarly discussion,general discussion,104,95,confirmed
mkapstei at UCHICAGO.EDU,indology-author-b059325258,147,124,2005,2012,General scholarly discussion,general discussion,67,145,needs_review
S.Kalyanaraman,indology-author-90ccc74009,147,120,1997,2000,General scholarly discussion,general discussion,63,77,needs_review
Andrew Ollett,indology-author-ed163b7eac,146,133,2009,2025,General scholarly discussion,general discussion,105,100,confirmed
Stella Sandahl,indology-author-1c9cd6db37,146,125,2003,2021,General scholarly discussion,general discussion,89,119,confirmed
l.m.fosse at easteur-orient.uio.no,indology-author-70dbb994f4,145,116,1993,1996,General scholarly discussion,general discussion,96,56,needs_review
Vidhyanath Rao,indology-author-61d844ab11,142,106,1996,2001,General scholarly discussion,general discussion,92,97,confirmed
Paolo Eugenio Rosati,indology-author-0bf4fd13c1,142,91,2015,2022,General scholarly discussion,general discussion,69,93,confirmed
jkirk,indology-author-ccf49dfc93,138,104,2001,2009,General scholarly discussion,general discussion,83,80,needs_review
Narayan S. Raja,indology-author-b7b7f69d1c,134,92,1995,2000,General scholarly discussion,general discussion,95,149,confirmed
Rolf Heinrich Koch,indology-author-0ea84e7529,132,106,1997,2026,General scholarly discussion,general discussion,81,93,confirmed
Antonia Ruppel,indology-author-708246b697,131,96,2014,2026,General scholarly discussion,general discussion,95,126,confirmed
Axel Michaels,indology-author-152d9a22b0,128,117,1995,2013,General scholarly discussion,general discussion,59,29,confirmed
Rajarshi Banerjee,indology-author-907b2ce6ab,128,92,1999,2001,General scholarly discussion,general discussion,95,43,confirmed
Samar Abbas,indology-author-0b761d4217,126,86,1998,2001,General scholarly discussion,general discussion,105,69,confirmed
Anshuman Pandey,indology-author-bf739ff256,121,109,1995,2000,General scholarly discussion,general discussion,45,110,confirmed
"Tieken, H.J.H. (Herman)",indology-author-5b4a1f880d,120,94,2021,2026,General scholarly discussion,general discussion,47,77,confirmed
Jacob Baltuch,indology-author-e002c6c034,119,69,1997,1998,General scholarly discussion,general discussion,92,67,confirmed
Dominic Goodall,indology-author-2c7b2521b4,118,103,1998,2023,General scholarly discussion,general discussion,69,66,confirmed
aklujkar at unixg.ubc.ca,indology-author-9e4dce11c7,117,111,1993,1997,General scholarly discussion,general discussion,22,70,needs_review
Harsha Dehejia,indology-author-c3e6e3f2ef,117,108,2005,2025,General scholarly discussion,general discussion,30,100,confirmed
Bijoy Misra,indology-author-4080427d27,116,79,1996,2001,General scholarly discussion,general discussion,95,48,confirmed
Adheesh Sathaye,indology-author-7310a1ff36,114,110,1997,2025,General scholarly discussion,general discussion,59,66,confirmed
Rosane Rocher,indology-author-69fd8af35d,113,98,1992,2026,General scholarly discussion,general discussion,63,56,confirmed
Oliver Hellwig,indology-author-f68cd14019,112,87,2008,2026,General scholarly discussion,general discussion,42,72,confirmed
Georg von Simson,indology-author-abf1ebc4e3,110,88,1997,2006,General scholarly discussion,general discussion,84,27,confirmed
"Deshpande, Madhav",indology-author-486a4440cf,110,86,2006,2012,General scholarly discussion,general discussion,60,74,confirmed
victor davella,indology-author-a4ee3ac3f1,110,75,2009,2026,General scholarly discussion,general discussion,71,64,confirmed
Frank Conlon,indology-author-166622bc91,109,101,1994,2014,General scholarly discussion,general discussion,36,86,confirmed
Veeranarayana Pandurangi,indology-author-32b0041730,109,95,2003,2020,General scholarly discussion,general discussion,59,35,confirmed
John Smith,indology-author-33dcc32591,109,91,1997,2000,General scholarly discussion,general discussion,71,38,confirmed
Manu Francis,indology-author-88a0a2e09e,108,92,2012,2026,General scholarly discussion,general discussion,70,58,confirmed
Ven. Tantra,indology-author-fa4cacd9b2,108,77,2000,2001,General scholarly discussion,general discussion,55,90,confirmed
nas_ng at lms420.jsc.nasa.gov,indology-author-0c42020c0c,106,103,1994,1997,General scholarly discussion,general discussion,15,78,needs_review
Peter Flugel,indology-author-199f0ee2e5,106,98,1998,2026,General scholarly discussion,general discussion,21,25,confirmed
Lakshmi Srinivas,indology-author-8a228b22b3,106,73,1998,2001,General scholarly discussion,general discussion,86,17,confirmed
Valerie Roebuck,indology-author-0634327399,105,91,2011,2026,General scholarly discussion,general discussion,89,63,confirmed
Yaroslav V. Vassilkov,indology-author-c7c676d577,104,84,1997,1999,General scholarly discussion,general discussion,61,65,confirmed
Girish Jha,indology-author-131b43c165,104,77,1998,2026,General scholarly discussion,general discussion,50,45,confirmed
Arun Gupta,indology-author-b8f1a09679,104,72,2000,2001,General scholarly discussion,general discussion,91,42,confirmed
Periannan Chandrasekaran,indology-author-e76eb14847,103,84,1999,2022,General scholarly discussion,general discussion,69,41,confirmed
S. Kalyanaraman,indology-author-2aee2d6c79,103,74,1995,1998,General scholarly discussion,general discussion,49,51,confirmed
Palaniappa at aol.com,indology-author-7f1be0e6f8,103,73,1997,1997,General scholarly discussion,general discussion,54,90,needs_review
gruenendahl,indology-author-9274bedd66,102,69,2002,2007,General scholarly discussion,general discussion,70,36,needs_review
Bhadraiah Mallampalli,indology-author-2445375d47,102,56,1997,2001,General scholarly discussion,general discussion,85,14,confirmed
Nityanand Misra,indology-author-3d4caf81cf,101,66,2014,2016,General scholarly discussion,general discussion,84,70,confirmed
Eli Franco,indology-author-df8f77fb57,98,84,2006,2026,General scholarly discussion,general discussion,89,40,confirmed
Srinivasan Pichumani,indology-author-1fa1045f0d,97,79,1995,1998,General scholarly discussion,general discussion,84,56,confirmed
Joanna Jurewicz,indology-author-dd42fb8930,96,73,2009,2026,General scholarly discussion,general discussion,89,55,confirmed
Camillo Formigatti,indology-author-a90965afca,96,50,2016,2021,General scholarly discussion,general discussion,85,60,confirmed
Yashwant Malaiya,indology-author-b924dc44c2,95,79,1999,2001,General scholarly discussion,general discussion,45,55,confirmed
"Uskokov, Aleksandar",indology-author-9c9d1bcae1,93,63,2019,2026,General scholarly discussion,general discussion,83,70,confirmed
Rajesh Kochhar,indology-author-c7bf0f2b79,92,88,2000,2001,General scholarly discussion,general discussion,35,28,confirmed
John Brockington,indology-author-0cdb3a1bf4,91,84,1994,2024,General scholarly discussion,general discussion,40,61,confirmed
Horacio Francisco Arganis Juarez,indology-author-5a65a7887e,89,85,2003,2017,General scholarly discussion,general discussion,26,23,confirmed
jacob at fabularasa.dk,indology-author-53db191dcb,89,61,2013,2026,General scholarly discussion,general discussion,46,59,needs_review
Bharat Gupt,indology-author-187b6330e9,89,59,1999,2001,General scholarly discussion,general discussion,72,26,confirmed
Balaji Hebbar,indology-author-bb1b2ee04b,89,57,1999,1999,General scholarly discussion,general discussion,51,99,confirmed
Philipp Maas,indology-author-faac8f70c6,88,77,2006,2025,General scholarly discussion,general discussion,59,50,confirmed
Koenraad Elst,indology-author-a8b04a09e9,87,62,1999,2019,General scholarly discussion,general discussion,60,49,confirmed
Mary Storm,indology-author-6a6cdd7e42,87,47,1998,2018,General scholarly discussion,general discussion,58,61,confirmed
Charles DiSimone,indology-author-bdafd8368f,86,72,2013,2026,General scholarly discussion,general discussion,42,44,confirmed
Lyne Bansat-Boudon,indology-author-085e9d022c,86,65,2010,2026,General scholarly discussion,general discussion,67,55,confirmed
Toke Lindegaard Knudsen,indology-author-ba5bb7ac6d,85,62,1999,2019,General scholarly discussion,general discussion,40,82,confirmed
John Huntington,indology-author-aafba83b29,84,73,2002,2020,General scholarly discussion,general discussion,53,35,confirmed
palaniappa at aol.com,indology-author-7f1be0e6f8,84,50,2013,2022,General scholarly discussion,general discussion,58,59,needs_review
Marco Franceschini,indology-author-0691a452ae,83,59,2007,2026,General scholarly discussion,general discussion,66,58,confirmed
John C. Huntington,indology-author-2292ff1607,82,72,2001,2011,General scholarly discussion,general discussion,54,44,confirmed
Mittal Sushil,indology-author-49eef2d887,81,74,1996,1998,General scholarly discussion,general discussion,20,27,confirmed
Miguel Carrasquer Vidal,indology-author-3b94c50c33,81,29,1998,1999,General scholarly discussion,general discussion,76,25,confirmed
bpj at netg.se,indology-author-cefe7d8bb5,80,55,1996,1997,General scholarly discussion,general discussion,65,36,needs_review
Ananya Vajpeyi,indology-author-ebc67b8d5d,79,68,2015,2026,General scholarly discussion,general discussion,50,52,confirmed
Kenneth Zysk,indology-author-9a8be98780,79,60,1999,2013,General scholarly discussion,general discussion,38,42,confirmed
Peter Scharf,indology-author-a6a3e17785,78,73,2009,2026,Digital resources and tools,digital resource/tool,11,30,confirmed
Tyler Williams,indology-author-2fc9d8fbe4,78,63,2012,2025,General scholarly discussion,general discussion,61,47,confirmed
Petr Mares,indology-author-19b0af89d6,78,36,1998,1999,General scholarly discussion,general discussion,56,24,confirmed
Claude Setzer,indology-author-d1b55a2e96,76,61,1997,2001,General scholarly discussion,general discussion,52,36,confirmed
thompson at jlc.net,indology-author-e87a4e9ab5,76,53,1996,1997,General scholarly discussion,general discussion,64,19,needs_review
Royce Wiles,indology-author-b296925386,75,68,1996,2025,General scholarly discussion,general discussion,47,17,confirmed
Whitney Cox,indology-author-ad9089979a,75,66,2003,2013,General scholarly discussion,general discussion,31,45,confirmed
Kenneth Gregory Zysk,indology-author-46d6e09c15,74,55,2014,2026,General scholarly discussion,general discussion,42,64,confirmed
L.S.Cousins,indology-author-4b832a6727,74,49,1997,2002,General scholarly discussion,general discussion,62,19,needs_review
Lance Nelson,indology-author-5d7a1b03a0,73,71,1994,2012,General scholarly discussion,general discussion,26,81,confirmed
"Lindquist, Steven",indology-author-191249ba8e,73,65,2009,2026,General scholarly discussion,general discussion,40,36,confirmed
victor van Bijlert,indology-author-34a9d2d621,73,41,1999,2025,General scholarly discussion,general discussion,63,29,confirmed
Benjamin Fleming,indology-author-93d5e1358c,72,60,1999,2018,General scholarly discussion,general discussion,34,60,confirmed
Robert J. Zydenbos,indology-author-f25a18306e,72,53,1996,1998,General scholarly discussion,general discussion,43,39,confirmed
Robert Goldman,indology-author-d7ebdd8f3e,71,61,1997,2025,General scholarly discussion,general discussion,46,61,confirmed
Ulrich T. Kragh,indology-author-51bfce4d30,71,61,1999,2013,General scholarly discussion,general discussion,38,72,confirmed
Raffaele Torella,indology-author-9d22fe196a,71,55,1997,2026,General scholarly discussion,general discussion,55,40,confirmed
Raveen Satkurunathan,indology-author-d15a4ebffe,71,53,2000,2001,General scholarly discussion,general discussion,55,2,confirmed
Elizabeth De Michelis,indology-author-ea8e0cb829,70,65,2004,2025,General scholarly discussion,general discussion,35,22,confirmed
Yaroslav Vassilkov,indology-author-b335bf394a,70,62,1999,2008,General scholarly discussion,general discussion,44,17,confirmed
"Walser, Joseph",indology-author-258670e2ad,70,51,2011,2025,General scholarly discussion,general discussion,42,52,confirmed
Palaniappa,indology-author-ea82e970e9,70,46,1997,1998,General scholarly discussion,general discussion,40,62,needs_review
Christian Ferstl,indology-author-325a8788e9,70,32,2014,2026,General scholarly discussion,general discussion,61,93,confirmed
Shervin Farridnejad,indology-author-2f768082ab,70,6,2019,2020,General scholarly discussion,identification/help request,70,56,confirmed
Greg Bailey,indology-author-bd37b65feb,69,62,2001,2026,General scholarly discussion,general discussion,56,43,confirmed
Suresh Kolichala,indology-author-1e99bbcb69,69,52,2012,2025,General scholarly discussion,general discussion,55,51,confirmed
Edwin Bryant,indology-author-842a5e762c,69,51,1997,2000,General scholarly discussion,general discussion,39,125,confirmed
Patricia Sauthoff,indology-author-cb6b72be71,69,51,2016,2026,General scholarly discussion,general discussion,42,52,confirmed
Dr. Rupali Mokashi,indology-author-ad486ece5b,68,65,2013,2024,General scholarly discussion,general discussion,4,21,confirmed
JR Gardner,indology-author-96f0179ad3,68,65,1996,1999,General scholarly discussion,general discussion,23,54,confirmed
Amba Kulkarni,indology-author-41f9fb18c0,68,62,2009,2026,General scholarly discussion,general discussion,24,14,confirmed
Julia Hegewald,indology-author-4f55ae5467,68,62,2006,2026,General scholarly discussion,general discussion,40,20,confirmed
"Witzel, Michael",indology-author-52f9bd4578,68,61,2012,2026,General scholarly discussion,general discussion,37,45,confirmed
Ruth Laila Schmidt,indology-author-991d64d72e,68,58,1997,2001,General scholarly discussion,general discussion,23,41,confirmed
Mani Varadarajan,indology-author-503a0edc7b,68,51,1994,1999,General scholarly discussion,general discussion,51,47,confirmed
Ferenc Ruzsa,indology-author-853ed33007,67,47,1999,2006,General scholarly discussion,general discussion,50,35,confirmed
James Hegarty,indology-author-5765e57045,66,61,2010,2025,General scholarly discussion,general discussion,13,76,confirmed
Jeffery Long,indology-author-0cab5d5c5e,66,48,2016,2026,General scholarly discussion,general discussion,49,35,confirmed
Lavanya Vemsani,indology-author-26314bc832,64,64,2014,2026,General scholarly discussion,general discussion,25,11,confirmed
Rolf Heiner Koch,indology-author-2375663d6c,64,56,1997,1998,General scholarly discussion,general discussion,42,25,confirmed
Sn. Subrahmanya,indology-author-1f1958e543,64,46,1997,1998,General scholarly discussion,general discussion,44,81,confirmed
"Thrasher, Allen",indology-author-dec282ed4c,64,46,2010,2011,General scholarly discussion,general discussion,34,29,confirmed
Dean Anderson,indology-author-d184d79a37,64,39,2002,2008,General scholarly discussion,general discussion,42,85,confirmed
Antonio Ferreira-Jardim,indology-author-d741bdd6c8,63,55,2006,2024,General scholarly discussion,general discussion,57,34,confirmed
Peter J. Claus,indology-author-325ce0a04e,63,53,1996,1998,General scholarly discussion,general discussion,39,66,confirmed
Adriano Aprigliano,indology-author-46669c0b38,63,44,2010,2026,General scholarly discussion,general discussion,26,43,confirmed
Ashish Chandra,indology-author-e4e107aea4,63,31,1998,1999,General scholarly discussion,general discussion,52,43,confirmed
Kengo Harimoto,indology-author-46442df2ae,61,57,1996,2025,General scholarly discussion,general discussion,39,24,confirmed
Dr. Debabrata Chakrabarti,indology-author-23c5c12eb7,60,57,2014,2024,General scholarly discussion,general discussion,10,28,confirmed
GANESANS at cl.uh.edu,indology-author-21d6422a84,60,56,1997,1997,General scholarly discussion,general discussion,11,27,needs_review
Shrikant Bahulkar,indology-author-b1fa93a45a,60,48,1998,2026,General scholarly discussion,general discussion,50,46,confirmed
Erik Hoogcarspel,indology-author-35d3f2e56f,60,44,1997,2001,General scholarly discussion,general discussion,55,8,confirmed
Girish Beeharry,indology-author-a39ad36232,60,43,1996,1998,General scholarly discussion,general discussion,38,43,confirmed
Westin Harris,indology-author-e5cc0ad1b5,60,41,2020,2026,General scholarly discussion,general discussion,42,37,confirmed
Donald R Davis,indology-author-aad52d927e,59,51,2013,2026,General scholarly discussion,general discussion,22,40,confirmed
"Collins, Brian",indology-author-83131f12d9,59,43,2016,2026,General scholarly discussion,general discussion,28,37,confirmed
Sreenivas Paruchuri,indology-author-8ced958581,58,55,1996,2000,General scholarly discussion,general discussion,27,22,confirmed
Frits Staal,indology-author-25f4781f5d,58,54,2001,2011,General scholarly discussion,general discussion,30,29,confirmed
Hans Henrich Hock,indology-author-30c1932acf,58,49,1999,2011,General scholarly discussion,general discussion,40,36,confirmed
Michael Rabe,indology-author-e996dc83a1,58,35,1997,1999,General scholarly discussion,general discussion,46,28,confirmed
Harry Falk,indology-author-be2348575c,57,54,1993,2026,General scholarly discussion,general discussion,33,35,confirmed
Michael Slouber,indology-author-e62361932d,57,51,2007,2020,General scholarly discussion,general discussion,44,29,confirmed
Dagmar Wujastyk,indology-author-490bf90487,57,48,2015,2026,General scholarly discussion,general discussion,18,35,confirmed
Johannes Bronkhorst,indology-author-22d276a0b0,57,48,1998,2025,General scholarly discussion,general discussion,37,60,confirmed
zydenbos at flevoland.xs4all.nl,indology-author-464a242eee,57,39,1996,1997,General scholarly discussion,general discussion,50,6,needs_review
Vanbakkam Vijayaraghavan,indology-author-cdf57441d7,57,29,2000,2001,General scholarly discussion,general discussion,50,45,confirmed
Mark Allon,indology-author-472bf19c4c,56,42,1997,2025,General scholarly discussion,general discussion,34,31,confirmed
Jean Michel DELIRE,indology-author-4e4490a7d8,56,38,2023,2026,General scholarly discussion,general discussion,45,51,confirmed
witzel at HUSC3.HARVARD.EDU,indology-author-c18e8eeca5,55,52,1995,1996,General scholarly discussion,general discussion,16,48,needs_review
V.V. Raman,indology-author-246a70cfd5,55,43,2000,2001,General scholarly discussion,general discussion,33,55,confirmed
"Aditya, the Hindu Skeptic",indology-author-c639f1c110,55,41,1995,2000,General scholarly discussion,general discussion,38,19,confirmed
Subrahmanya S.,indology-author-7ec2c2c962,55,37,2000,2001,General scholarly discussion,general discussion,38,76,confirmed
George Cardona,indology-author-889a2d7350,54,48,1996,2017,General scholarly discussion,general discussion,36,15,confirmed
ucgadkw at ucl.ac.uk,indology-author-ca35ec6f52,54,48,1993,1996,General scholarly discussion,general discussion,24,18,needs_review
C.R. Selvakumar,indology-author-5053326765,54,38,1998,2000,General scholarly discussion,general discussion,48,8,confirmed
Gary Tubb,indology-author-6e5faf8f92,53,48,1994,2017,General scholarly discussion,general discussion,18,35,confirmed
Bjarte Kaldhol,indology-author-289690befc,53,31,2000,2001,General scholarly discussion,general discussion,38,40,confirmed
peter bisschop,indology-author-ba12499dcc,52,52,2005,2026,General scholarly discussion,general discussion,14,16,confirmed
Audrey Truschke,indology-author-089ad05d6d,52,43,2013,2019,General scholarly discussion,general discussion,23,51,confirmed
Maheswaran Nair,indology-author-555f9eb960,52,42,2003,2011,General scholarly discussion,general discussion,40,8,confirmed
Piotr Balcerowicz,indology-author-bca241e93c,52,42,2015,2026,Bibliographic requests,general discussion,17,23,confirmed
mrabe at artic.edu,indology-author-ef08daf731,52,40,1995,1997,General scholarly discussion,general discussion,34,17,needs_review
"Chandrasekaran, Periannan",indology-author-f512a4512f,52,39,1998,1999,General scholarly discussion,general discussion,40,2,confirmed
Rohana Seneviratne,indology-author-a963f76b4b,52,38,2012,2015,General scholarly discussion,general discussion,33,34,confirmed
Sven Sellmer,indology-author-ee86e7eb4e,51,47,2000,2026,General scholarly discussion,general discussion,36,27,confirmed
Shyam Ranganathan,indology-author-5ba6b09600,51,45,2004,2019,General scholarly discussion,general discussion,22,62,confirmed
Jan Brzezinski,indology-author-3fbb1fd3c8,51,43,1997,2001,General scholarly discussion,general discussion,27,43,confirmed
Ramakrishnan Balasubramanian,indology-author-a96ae9a90b,51,40,1997,2000,General scholarly discussion,general discussion,37,96,confirmed
Bill Mak,indology-author-0c831ff6d3,51,32,2009,2026,General scholarly discussion,general discussion,42,39,confirmed
Simon Brodbeck,indology-author-d37b28c329,50,46,2006,2024,General scholarly discussion,general discussion,25,39,confirmed
Alfred Hiltebeitel,indology-author-7645aaf8aa,50,41,2004,2021,General scholarly discussion,general discussion,32,47,confirmed
Frances Pritchett,indology-author-9ed4daffbb,49,45,1994,2012,General scholarly discussion,general discussion,31,8,confirmed
Andrey Klebanov,indology-author-71918be772,49,43,2010,2026,General scholarly discussion,general discussion,23,27,confirmed
B. Reusch,indology-author-db86bb81c7,49,41,1997,2003,General scholarly discussion,general discussion,19,39,confirmed
Lubomir Ondracka,indology-author-3ceb78b816,49,39,1994,2018,General scholarly discussion,general discussion,45,19,confirmed
thompson at handel.jlc.net,indology-author-852b622034,49,39,1996,1996,General scholarly discussion,general discussion,22,52,needs_review
Robert Leach,indology-author-2a40f63b40,49,36,2012,2026,General scholarly discussion,general discussion,20,28,confirmed
Paul K. Manansala,indology-author-4e8cb3b967,49,21,1998,1998,General scholarly discussion,general discussion,41,9,confirmed
Martin Gluckman,indology-author-de9995d2cf,48,45,2014,2025,General scholarly discussion,general discussion,4,36,confirmed
soni at staff.uni-marburg.de,indology-author-3f8642129c,48,42,2013,2020,General scholarly discussion,general discussion,25,27,needs_review
"Ram-Prasad, Chakravarthi",indology-author-60d596f0ba,48,40,2014,2026,General scholarly discussion,general discussion,23,33,confirmed
Christian K. Wedemeyer,indology-author-689c010bc3,47,43,1994,2014,General scholarly discussion,general discussion,15,26,confirmed
Alex Watson,indology-author-12e38c6e01,47,41,2002,2025,General scholarly discussion,general discussion,28,31,confirmed
Niranjan Saha,indology-author-7df56113b0,47,31,2013,2020,General scholarly discussion,general discussion,24,25,confirmed
Hartmut Buescher,indology-author-b04d3dc5ba,47,30,2000,2020,General scholarly discussion,general discussion,37,29,confirmed
