title,issn,specialty
"Вестник Балтийского федерального университета им. И. Канта. Серия: Филология, педагогика и психология (До 25.04.2017 г. наименование в Перечне «Вестник Балтийского федерального университета им. И. Канта» ISSN",2223-2095,10.01.01; 10.01.03; 10.01.10; 10.02.01; 10.02.04; 10.02.19; 28.12.20; 16.10.20; 5.9.3; 01.02.20; 5.8.1; 5.8.7; 5.9.1; 5.9.2; 5.9.5; 5.9.6; 5.9.8; 5.12.3; 5.12.3; 29.03.20
Вестник Бурятского государственного университета. Филология,2686-7095,5.9.1; 5.9.5; 5.9.8; 25.04.20
Вестник Вологодского государственного университета. Серия: Исторические и филологические науки,2658-7254,5.6.1; 5.6.2; 5.9.1; 5.9.2; 21.02.20; 5.9.3; 5.9.5; 5.9.6; 5.9.8
Вестник Воронежского государственного университета. Серия: Лингвистика и межкультурная коммуникация,1680-5755,10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.21; 28.12.20; 16.10.20; 5.9.5; 5.9.6; 5.9.8; 21.02.20
Вестник Воронежского государственного университета. Серия: Филология. Журналистика,1814-2958,10.01.01; 10.01.10; 10.02.01; 28.12.20; 16.10.20; 5.9.4; 01.02.20; 5.9.1; 20.03.20; 5.9.5; 5.9.9
Вестник Донецкого национального университета. Серия Д: Филология и психология,2616-8162,5.3.1; 5.3.5; 5.9.1; 5.9.3; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 20.02.20
Вестник Московского государственного лингвистического университета. Гуманитарные науки,2542-2197,10.01.01; 10.02.01; 10.02.04; 10.02.05; 28.12.20; 16.10.20; 10.02.19; 10.02.20; 10.02.21; 24.00.01; 24.00.01; 5.9.3; 01.02.20; 5.9.1; 5.9.2; 5.9.5; 5.9.6; 5.9.8; 5.10.1; 5.10.1
Вестник Московского университета. Серия 9. Филология,0130-0075,10.01.01; 10.01.02; 10.01.03; 10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.21; 10.02.22; 28.12.20; 16.10.20; 5.9.3; 5.9.4; 5.9.7; 01.02.20; 5.9.1; 5.9.2
Вестник Нижегородского государственного лингвистического университета им. Н.А. Добролюбова,2072-3490,10.02.01; 10.02.04; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 10.01.03; 26.03.20; 16.10.20; 5.8.2; 5.8.7; 01.02.20; 5.9.2; 5.9.5; 20.03.20; 5.9.6; 5.9.8; 5.12.3
"Вестник Новосибирского государственного университета. Серия: История, филология",1818-7919,10.01.01; 10.01.02; 10.01.03; 10.01.10; 10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.22; 28.12.20; 16.10.20; 5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.6.5; 5.9.3
Вестник Новосибирского государственного университета. Серия: Лингвистика и межкультурная коммуникация,1818-7935,10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.21; 28.12.20; 16.10.20; 5.9.5; 5.9.6; 5.9.7; 5.9.8; 5.12.3; 21.02.20
Вестник Пермского университета. Российская и зарубежная филология,2073-6681,10.01.01; 10.01.03; 10.01.10; 10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 10.02.21; 5.9.3; 5.9.4; 5.9.7; 01.02.20; 5.9.1; 5.9.2; 5.9.5; 5.9.6
Вестник Православного Свято- Тихоновского гуманитарного университета. Серия 3: Филология,1991-6485,10.01.01; 10.01.03; 10.02.01; 10.02.03; 10.02.05; 10.02.19; 28.12.20; 16.10.20; 10.02.20; 10.02.22; 5.9.3; 5.9.7; 01.02.20; 5.9.1; 5.9.2; 5.9.5; 5.9.6; 5.9.8; 01.11.20
"Вестник РГГУ. Серия ""Литературоведение. Языкознание. Культурология "" (до 26.12.2019 г. наименование в Перечне «Вестник РГГУ. Серия ""История. Филология. Культурология. Востоковедение""» ISSN 2073- 6355)",2686-7249,10.01.01; 10.01.03; 10.02.01; 10.02.02; 10.02.19; 10.02.20; 24.00.01; 24.00.01; 24.00.01; 24.00.01; 28.12.20; 16.10.20; 5.9.3; 5.9.4; 5.9.7; 5.10.2; 5.10.2; 5.10.2; 01.02.20; 26.12.20
Вестник Санкт-Петербургского государственного университета технологии и дизайна. Серия 2. Искусствоведение. Филологические науки,2079-8202,17.00.04; 17.00.06; 17.00.06; 17.00.09; 28.12.20; 16.10.20; 5.10.2; 5.10.3; 5.6.1; 5.6.2; 5.9.1; 5.9.2; 5.9.9; 15.02.20
Вестник Санкт-Петербургского университета. Востоковедение и африканистика (до 07.05.2019 наименование в Перечне «Вестник Санкт-,2587-5892,10.01.03; 10.02.22; 28.12.20; 16.10.20
Вестник Северо-Восточного федерального университета имени М.К. Аммосова,2222-5404,10.01.01; 10.02.02; 10.02.19; 10.02.20; 10.02.22; 28.12.20; 16.10.20; 5.9.3; 5.9.4; 01.02.20; 5.9.1; 5.9.5; 5.9.8; 20.03.20
Вестник Таджикского национального университета. Серия филологических наук,2413-516X,10.01.10; 10.02.19; 10.02.20; 10.02.21; 28.12.20; 16.10.20; 5.9.3; 5.9.4; 01.02.20; 5.9.2; 5.9.6; 21.02.20; 5.9.8; 5.9.9
Вестник Тверского государственного университета. Серия: Филология,1994-3725,10.01.01; 10.01.10; 10.02.01; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 5.9.3; 01.02.20; 5.9.1; 5.9.5; 5.9.8; 5.9.9; 21.02.20
Вестник Томского государственного университета. Филология,1998-6645,10.01.01; 10.01.10; 10.02.01; 10.02.19; 28.12.20; 16.10.20; 5.9.1; 5.9.5; 5.9.8; 5.9.9; 5.12.3; 20.03.20
Вестник филологических наук,2782-5329,5.9.1; 5.9.2; 5.9.4; 5.9.5; 5.9.6; 5.9.8; 20.12.20; 5.9.9
"Вестник Южно-Уральского государственного университета. Серия ""Лингвистика""",1991-9751,10.02.01; 10.02.04; 10.02.05; 10.02.19; 28.12.20; 16.10.20; 10.02.20; 10.02.21; 5.9.8; 23.09.20; 01.01.02; 01.01.09; 28.12.20; 16.10.20; 1.1.1; 1.1.6; 1.1.9; 1.3.6; 1.3.8; 01.02.20
Военно-филологический журнал,2782-2311,5.9.8; 29.03.20
Вопросы когнитивной лингвистики,1812-3228,10.01.03; 10.02.01; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 26.03.20; 16.10.20; 5.9.1; 5.9.2; 23.09.20; 5.9.3; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 5.12.3
Вопросы прикладной лингвистики,2306-1286,5.9.6; 5.9.8; 22.10.20
Вопросы психолингвистики,2077-5911,10.02.01; 10.02.04; 10.02.19; 28.12.20; 16.10.20; 5.9.8; 31.05.20
Вопросы современной лингвистики / Key Issues of Contemporary Linguistics,2949-5059,10.02.04; 10.02.05; 28.12.20; 16.10.20; 19.12.20
Вопросы филологии,1562-1391,10.01.01; 10.01.02; 10.01.03; 10.01.10; 10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 26.03.20; 16.10.20; 5.9.3; 5.9.4; 01.02.20
Восток. Афро-азиатские общества:История и современность,0869-1908,10.02.22; 28.12.20; 16.10.20; 5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.6.5; 01.02.20; 5.6.7; 5.5.4
Восточнославянская филология,1992-9196,5.8.2; 5.9.1; 5.9.2; 5.9.3; 5.9.4; 5.9.5; 5.9.6; 5.9.8; 05.02.20
Достоевский и мировая культура. Филологический журнал,2619-0311,5.9.1; 5.9.2; 5.9.3; 20.12.20
"Известия Саратовского университета. Новая серия. Серия ""Филология. Журналистика""",1817-7115,10.01.01; 10.01.10; 10.02.01; 10.02.04; 28.12.20; 16.10.20; 10.02.05; 10.02.19; 10.01.03; 26.03.20; 16.10.20; 5.9.1; 5.9.2; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 27.04.20
Известия Юго-Западного государственного университета. Серия: Лингвистика и педагогика,2223-151X,10.02.01; 10.02.19; 10.02.20; 19.00.05; 28.12.20; 16.10.20; 5.3.1; 5.8.7; 01.02.20; 5.9.5; 5.9.8; 20.03.20
Известия Южного федерального университета. Филологические науки,1995-0640,10.01.01; 10.01.02; 10.01.03; 10.01.10; 10.02.01; 10.02.04; 10.02.05; 10.02.19; 28.12.20; 16.10.20; 5.8.2; 01.02.20; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 01.11.20
Индоевропейское языкознание и классическая филология,2306-9015,10.01.01; 10.02.03; 10.02.04; 10.02.20; 28.12.20; 16.10.20; 5.9.3; 5.9.4; 5.9.7; 01.02.20; 5.6.2; 5.6.5; 5.9.1; 20.03.20; 5.9.5; 5.9.6; 5.9.8; 5.11.2; 25.04.20
Казанский лингвистический журнал,2658-3321,5.8.1; 5.8.2; 5.8.7; 30.06.20; 5.9.1; 5.9.2; 5.9.6; 5.9.8
Лингвистика и образование,2712-9519,5.9.5; 5.9.6; 5.9.8; 27.03.20
Медиалингвистика,2312-0274,5.9.9; 5.9.9; 5.9.9; 29.03.20
Мир лингвистики и коммуникации: электронный научный журнал,1999-8406,10.02.01; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.21; 28.12.20; 16.10.20; 5.9.7; 01.02.20; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 5.9.9; 5.12.3; 21.02.20
"Мир науки. Социология, филология, культурология",2542-0577,10.02.01; 10.02.02; 10.02.19; 10.02.22; 24.00.01; 12.02.20; 16.10.20; 5.4.6; 5.4.7; 01.02.20; 5.10.1; 5.4.1; 5.4.2; 5.4.4; 5.4.5; 5.9.1; 5.9.2; 5.9.3; 08.02.20; 5.9.5
Научный результат. Вопросы теоретической и прикладной лингвистики,2313-8912,10.01.03; 10.02.19; 10.02.20; 10.02.21; 09.08.20; 16.10.20; 5.9.2; 5.9.8; 28.11.20
Неофилология,2587-6953,10.01.01; 10.02.01; 10.02.04; 24.00.01; 12.02.20; 16.10.20; 5.9.3; 01.02.20; 5.9.1; 5.9.5; 5.9.6; 5.9.9; 5.10.1; 08.02.20
Новый филологический вестник,2072-9316,10.01.01; 10.01.03; 26.03.20; 16.10.20; 5.9.3; 01.02.20
Организационная психолингвистика,2619-0273,5.3.1; 5.3.4; 5.9.8; 22.10.20; 5.12.3; 5.12.3; 27.06.20
Ориенталистика (Orientalistica),2618-7043,10.01.03; 25.12.20; 16.10.20; 5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.6.5; 5.7.2; 5.7.8; 01.02.20; 5.7.8; 5.7.9; 5.7.9; 5.9.3; 5.9.4
Письменные памятники Востока,1811-8062,5.6.2; 5.6.5; 5.7.2; 5.9.2; 19.12.20
Политическая лингвистика,1999-2629,10.01.10; 10.02.01; 10.02.04; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 21.02.20
"Практики и интерпретации: журнал филологических, образовательных и культурных исследований",2415-8852,5.9.1; 5.9.2; 29.03.20
Проблемы востоковедения,2223-0564,10.01.02; 10.02.02; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 5.6.1; 5.6.2; 5.9.3; 5.9.4; 01.02.20; 5.9.1; 5.9.5; 5.9.8; 21.02.20
Северо-Восточный гуманитарный вестник,2218-1644,10.01.02; 10.02.02; 10.02.20; 18.03.20; 16.10.20; 5.6.1; 5.6.3; 5.6.4; 01.02.20; 5.9.4; 5.9.1; 5.9.5; 5.9.8; 29.03.20
Сибирский филологический журнал,1813-7083,10.01.01; 10.02.01; 10.02.02; 10.02.03; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 5.9.3; 5.9.4; 01.02.20; 5.9.1; 5.9.5; 5.9.8; 20.12.20
Сибирский филологический форум / Siberian philological forum,2587-7844,10.01.01; 10.02.01; 10.02.19; 01.03.20; 16.10.20; 5.9.3; 01.02.20; 5.9.1; 5.9.5; 5.9.8; 20.12.20; 05.04.20
Социальные и гуманитарные науки на Дальнем Востоке,1992-2868,10.02.01; 10.02.04; 10.02.20; 28.12.20; 16.10.20; 5.3.3; 5.7.1; 5.7.2; 5.7.7; 01.02.20; 5.9.5; 5.9.6; 5.9.8; 20.03.20
Социолингвистика,2713-2951,5.9.5; 5.9.6; 5.9.8; 20.12.20
Теоретическая и прикладная лингвистика,2410-7190,10.02.01; 10.02.02; 12.02.20; 16.10.20; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 5.9.5; 5.9.6; 5.9.8; 20.12.20
Томский журнал лингвистических и антропологических исследований. Tomsk Journal of Linguistics and Anthropology,2307-6119,10.02.02; 10.02.20; 28.12.20; 16.10.20; 5.6.3; 5.6.4; 5.6.5; 01.02.20; 5.9.5; 5.9.8; 25.04.20
"Университетский научный журнал. Серия ""Филологические и исторические науки, искусствоведение""",2222-5065,10.02.01; 10.02.04; 10.02.19; 10.02.20; 10.02.21; 17.00.02; 17.00.04; 17.00.09; 28.12.20; 16.10.20; 5.6.1; 5.6.2; 5.6.7; 01.02.20; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 5.10.3; 21.02.20
Ученые записки Крымского федерального университета имени В.И. Вернадского. Филологические науки,2413-1679,10.01.01; 10.01.02; 10.01.03; 10.01.10; 10.02.01; 10.02.02; 10.02.04; 10.02.19; 28.12.20; 16.10.20; 10.01.08; 28.12.20; 24.12.20; 10.01.09; 10.02.20; 10.02.21; 5.9.1; 5.9.2; 5.9.3; 5.9.6
Ученые записки национального общества прикладной лингвистики (НОПриЛ),2305-8838,10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.21; 10.02.22; 28.12.20; 16.10.20; 5.9.7; 01.02.20; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 21.02.20
Филологические науки в МГИМО,2410-2423,10.01.01; 10.01.02; 28.12.20; 16.10.20; 10.01.03; 10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.22; 5.9.7; 01.02.20; 5.8.1; 5.8.7; 5.9.2; 5.9.6; 5.9.8
Филологические науки. Вопросы теории и практики,1997-2911,10.01.01; 10.01.02; 10.01.03; 10.02.01; 28.12.20; 16.10.20; 10.02.02; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.21; 5.8.2; 5.8.7; 5.9.3; 01.02.20; 5.9.1; 5.9.2; 5.9.5; 5.9.6
Филологические науки. Научные доклады высшей школы,2310-4287,10.01.01; 10.01.03; 10.02.01; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 5.9.3; 01.02.20; 5.9.1; 5.9.8; 21.02.20
Филологический вестник,2949-4656,5.9.1; 5.9.2; 5.9.4; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 23.04.20
Филологический класс,2071-2405,10.01.01; 10.01.03; 10.02.01; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 5.8.2; 5.9.3; 01.02.20; 5.9.1; 5.9.2; 5.9.5; 5.9.8; 21.02.20
Филология и культура. Philology and Culture,2074-0239,10.01.01; 10.01.02; 28.12.20; 16.10.20; 10.01.03; 10.02.01; 10.02.02; 10.02.04; 10.02.05; 10.02.19; 10.02.20; 10.02.21; 5.8.1; 5.8.2; 5.9.3; 5.9.4; 01.02.20; 5.9.1; 5.9.2; 5.9.5
Филология и человек,1992-7940,10.01.01; 10.01.10; 10.02.01; 10.02.02; 28.12.20; 16.10.20; 10.02.03; 10.02.04; 10.02.19; 10.02.20; 5.9.3; 5.9.4; 01.02.20; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 23.09.20
Филология: научные исследования,2305-6177,10.01.01; 10.01.02; 10.01.03; 10.01.10; 10.02.01; 10.02.02; 10.02.03; 10.02.04; 10.02.05; 10.02.19; 28.12.20; 16.10.20; 10.02.20; 10.02.21; 10.02.22; 5.9.3; 5.9.4; 5.9.7; 01.02.20; 5.9.1
Этнопсихолингвистика / Ethnopsyholinguistics,2658-5650,5.9.8; 5.12.3; 19.12.20
Юрислингвистика,2587-9332,5.1.1; 5.1.4; 5.9.5; 5.9.8; 23.11.20
