record_id,corpus_id,source_record_id,source_record_id_method,record_type,created_at,period,is_partial_2026,access_class,status,public_title,source_snapshot_id
conferences:PRES_939dd4f1e1,conferences,PRES_939dd4f1e1,native,presentation,2026-05-26,2026-partial,1,public,active,Структура ниданы из «Панчавимшатика-праджняпарамиты» в аспекте ритуальной практики,conferences:2026-08-06
conferences:PRES_952dc38711,conferences,PRES_952dc38711,native,presentation,2026-05-26,2026-partial,1,public,active,Чему и как учит Панчатантра,conferences:2026-08-06
conferences:PRES_987fd62e14,conferences,PRES_987fd62e14,native,presentation,2026-05-26,2026-partial,1,public,active,А.А. Сталь-Гольштейн как участник научно-издательской серии «Bibliotheca Buddhica»,conferences:2026-08-06
conferences:PRES_a1bf82cfc8,conferences,PRES_a1bf82cfc8,native,presentation,2026-05-26,2026-partial,1,public,active,Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме,conferences:2026-08-06
conferences:PRES_a20db0593f,conferences,PRES_a20db0593f,native,presentation,2026-05-26,2026-partial,1,public,active,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы,conferences:2026-08-06
conferences:PRES_a28cfd6115,conferences,PRES_a28cfd6115,native,presentation,2026-05-26,2026-partial,1,public,active,Окна в иной мир: изобразительные тексты и линия жизни индийской художницы-парси Катаюн Саклат (1938- 2026): антропологический взгляд,conferences:2026-08-06
conferences:PRES_a58cb0ccf6,conferences,PRES_a58cb0ccf6,native,presentation,2026-05-26,2026-partial,1,public,active,Метод кодировки чисел в трудах индийского математика Арьябхаты,conferences:2026-08-06
conferences:PRES_b130fb70d2,conferences,PRES_b130fb70d2,native,presentation,2026-05-26,2026-partial,1,public,active,Эпическая санкхья в беседе царя Джанаки и отшельницы Сулабхи (МБХ 12.308),conferences:2026-08-06
conferences:PRES_b2cbcb90c5,conferences,PRES_b2cbcb90c5,native,presentation,2026-05-26,2026-partial,1,public,active,Лексика языка куллуи: этимологии 2026 года,conferences:2026-08-06
conferences:PRES_b73c531378,conferences,PRES_b73c531378,native,presentation,2026-05-26,2026-partial,1,public,active,Идеи йогачары в трактате Асанги «Абхидхармасамуччая» (первая глава),conferences:2026-08-06
conferences:PRES_bc3de7e23c,conferences,PRES_bc3de7e23c,native,presentation,2026-05-26,2026-partial,1,public,active,"Яйцо, курица и Тримурти: миф о Шакти в фольклоре мадига",conferences:2026-08-06
conferences:PRES_c922a3c1aa,conferences,PRES_c922a3c1aa,native,presentation,2026-05-26,2026-partial,1,public,active,Имперфект в древнеиндийском эпосе,conferences:2026-08-06
conferences:PRES_d51a127759,conferences,PRES_d51a127759,native,presentation,2026-05-26,2026-partial,1,public,active,«Они из секты Пифагора»: представления об индуизме трех итальянских купцов второй половины XVI в.,conferences:2026-08-06
conferences:PRES_e0f3741a4a,conferences,PRES_e0f3741a4a,native,presentation,2026-05-26,2026-partial,1,public,active,По следам Петербуржца в Индии: путешествие князя Салтыкова,conferences:2026-08-06
conferences:PRES_f261db19db,conferences,PRES_f261db19db,native,presentation,2026-05-26,2026-partial,1,public,active,Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди,conferences:2026-08-06
conferences:PRES_f4113dc86a,conferences,PRES_f4113dc86a,native,presentation,2026-05-26,2026-partial,1,public,active,Адиваси. Загадочное племя тода,conferences:2026-08-06
conferences:PRES_f8dfe74eae,conferences,PRES_f8dfe74eae,native,presentation,2026-05-26,2026-partial,1,public,active,Голод в Бенгалии 1943 года и его отражение в творчестве индийских художников,conferences:2026-08-06
conferences:PRES_f9adb6ffd3,conferences,PRES_f9adb6ffd3,native,presentation,2026-05-26,2026-partial,1,public,active,Можно ли считать мадхьямаку нигилизмом?,conferences:2026-08-06
conferences:PRES_fa188bec9a,conferences,PRES_fa188bec9a,native,presentation,2026-05-26,2026-partial,1,public,active,«Сказание о Лиле» в «Йога- васиштхе»,conferences:2026-08-06
conferences:PRES_fb340723de,conferences,PRES_fb340723de,native,presentation,2026-05-26,2026-partial,1,public,active,Пословицы и поговорки Индии и России как аспект межкультурной коммуникации (проектная деятельность на уроках языка хинди),conferences:2026-08-06
nagari:<003b7e69-7fae-4349-b2a4-159f4a3c48aan@googlegroups.com>,nagari,<003b7e69-7fae-4349-b2a4-159f4a3c48aan@googlegroups.com>,native,message,2026-02-21T12:20:53+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<01857327-be7a-49e8-afad-27be54ef30e9n@googlegroups.com>,nagari,<01857327-be7a-49e8-afad-27be54ef30e9n@googlegroups.com>,native,message,2026-01-31T17:21:58+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<0614e987-fdc4-4ac2-a113-bf590712a5f8n@googlegroups.com>,nagari,<0614e987-fdc4-4ac2-a113-bf590712a5f8n@googlegroups.com>,native,message,2026-02-25T16:37:43+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<071a93f9-6e2c-4eb2-bcf2-01f2692fcc76n@googlegroups.com>,nagari,<071a93f9-6e2c-4eb2-bcf2-01f2692fcc76n@googlegroups.com>,native,message,2026-03-17T14:16:45+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<11684565-e16d-4f73-a248-9bef87c07d5bn@googlegroups.com>,nagari,<11684565-e16d-4f73-a248-9bef87c07d5bn@googlegroups.com>,native,message,2026-06-23T17:20:56+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<125e9c24-f059-43e7-8059-db0d9f10066dn@googlegroups.com>,nagari,<125e9c24-f059-43e7-8059-db0d9f10066dn@googlegroups.com>,native,message,2026-02-23T18:13:39+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<1335466641.2216375.1782448435994@mail.yahoo.com>,nagari,<1335466641.2216375.1782448435994@mail.yahoo.com>,native,message,2026-06-26T07:33:55+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<13dd5aeb-2f17-4e19-841c-3328bf70171fn@googlegroups.com>,nagari,<13dd5aeb-2f17-4e19-841c-3328bf70171fn@googlegroups.com>,native,message,2026-03-18T17:52:10+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<14d5111f-af50-465d-b078-3b8f6f30d428n@googlegroups.com>,nagari,<14d5111f-af50-465d-b078-3b8f6f30d428n@googlegroups.com>,native,message,2026-03-30T19:38:49+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<1689007038.2765004.1782672776565@mail.yahoo.com>,nagari,<1689007038.2765004.1782672776565@mail.yahoo.com>,native,message,2026-06-28T21:52:56+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<1771156860.466401265@f123.i.mail.ru>,nagari,<1771156860.466401265@f123.i.mail.ru>,native,message,2026-02-15T15:01:00+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<1780419062.296996272@f275.i.mail.ru>,nagari,<1780419062.296996272@f275.i.mail.ru>,native,message,2026-06-02T19:51:02+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<1a200a5b-a539-4f38-a720-70cf6c745a25n@googlegroups.com>,nagari,<1a200a5b-a539-4f38-a720-70cf6c745a25n@googlegroups.com>,native,message,2026-06-19T12:08:01+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<1d4d7d6e-4c36-4a26-86d6-ec01e430b171n@googlegroups.com>,nagari,<1d4d7d6e-4c36-4a26-86d6-ec01e430b171n@googlegroups.com>,native,message,2026-01-09T20:03:47+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<1f09086a-c2b8-48dc-be5e-c6b03e803ae2n@googlegroups.com>,nagari,<1f09086a-c2b8-48dc-be5e-c6b03e803ae2n@googlegroups.com>,native,message,2026-03-04T15:08:26+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<1f9f1d17-984b-42b7-99fa-f8ca2826b07bn@googlegroups.com>,nagari,<1f9f1d17-984b-42b7-99fa-f8ca2826b07bn@googlegroups.com>,native,message,2026-06-17T23:04:19+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<21f285f4-dac5-4d50-8a2b-effb3cb74529n@googlegroups.com>,nagari,<21f285f4-dac5-4d50-8a2b-effb3cb74529n@googlegroups.com>,native,message,2026-05-21T07:08:56+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<229ec5c5-a9a6-4e65-877a-56376d926584n@googlegroups.com>,nagari,<229ec5c5-a9a6-4e65-877a-56376d926584n@googlegroups.com>,native,message,2026-06-10T13:29:15+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<25f7157a-5283-4b04-af7c-e61866c8ab24n@googlegroups.com>,nagari,<25f7157a-5283-4b04-af7c-e61866c8ab24n@googlegroups.com>,native,message,2026-04-23T22:01:29+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<290da744-a7df-4b8b-a449-dce00b58891fn@googlegroups.com>,nagari,<290da744-a7df-4b8b-a449-dce00b58891fn@googlegroups.com>,native,message,2026-03-24T12:30:50+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<2995c56f-0e2f-4dbd-8261-86be95a13b88n@googlegroups.com>,nagari,<2995c56f-0e2f-4dbd-8261-86be95a13b88n@googlegroups.com>,native,message,2026-02-17T15:22:24+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<2b994e04-1635-4bc1-8aaf-b3b637c136b9n@googlegroups.com>,nagari,<2b994e04-1635-4bc1-8aaf-b3b637c136b9n@googlegroups.com>,native,message,2026-03-07T21:33:53+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<34a14e5d-1ff4-4e91-bcec-f4094fd81f38n@googlegroups.com>,nagari,<34a14e5d-1ff4-4e91-bcec-f4094fd81f38n@googlegroups.com>,native,message,2026-02-12T20:43:30+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<35c85b8b-3dd2-43bf-947c-dc8d9d62205fn@googlegroups.com>,nagari,<35c85b8b-3dd2-43bf-947c-dc8d9d62205fn@googlegroups.com>,native,message,2026-02-12T23:06:23+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<3630b640-5d08-4262-ae79-d8b5756354a4n@googlegroups.com>,nagari,<3630b640-5d08-4262-ae79-d8b5756354a4n@googlegroups.com>,native,message,2026-04-24T21:56:41+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<37e61262-44fd-483e-bceb-d8a4f3483e1fn@googlegroups.com>,nagari,<37e61262-44fd-483e-bceb-d8a4f3483e1fn@googlegroups.com>,native,message,2026-03-22T03:05:51+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<39d67dfe-1569-4538-b654-c9ca4fc40687n@googlegroups.com>,nagari,<39d67dfe-1569-4538-b654-c9ca4fc40687n@googlegroups.com>,native,message,2026-07-03T10:08:59+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<3b5aa458-b715-4085-b581-75c33e3a1468n@googlegroups.com>,nagari,<3b5aa458-b715-4085-b581-75c33e3a1468n@googlegroups.com>,native,message,2026-03-11T20:45:47+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<3e0c330e-0e1a-41ce-8930-fa63cdba4198n@googlegroups.com>,nagari,<3e0c330e-0e1a-41ce-8930-fa63cdba4198n@googlegroups.com>,native,message,2026-01-15T12:51:13+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<423bbb09-5c8e-4adc-b6d7-ea1235cc6d33n@googlegroups.com>,nagari,<423bbb09-5c8e-4adc-b6d7-ea1235cc6d33n@googlegroups.com>,native,message,2026-02-21T16:58:33+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<4600c046-8f94-46de-9b26-eb404acf1b0an@googlegroups.com>,nagari,<4600c046-8f94-46de-9b26-eb404acf1b0an@googlegroups.com>,native,message,2026-02-12T16:36:22+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<46266a15-404e-493d-99f5-161d35be92a0n@googlegroups.com>,nagari,<46266a15-404e-493d-99f5-161d35be92a0n@googlegroups.com>,native,message,2026-01-08T15:52:31+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<464433cf-ba07-4921-beeb-cb6bf45049d0n@googlegroups.com>,nagari,<464433cf-ba07-4921-beeb-cb6bf45049d0n@googlegroups.com>,native,message,2026-01-21T11:22:29+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<48d100a6-3d74-4464-93b3-0dacf12c37f9n@googlegroups.com>,nagari,<48d100a6-3d74-4464-93b3-0dacf12c37f9n@googlegroups.com>,native,message,2026-06-20T12:08:05+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<48d2f62f-783c-475e-a901-4ded5a0808d5n@googlegroups.com>,nagari,<48d2f62f-783c-475e-a901-4ded5a0808d5n@googlegroups.com>,native,message,2026-01-11T10:36:22+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<490ee28d-ac3c-446c-a996-90811813b12bn@googlegroups.com>,nagari,<490ee28d-ac3c-446c-a996-90811813b12bn@googlegroups.com>,native,message,2026-02-11T15:42:49+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<4a731d47-0202-42ad-a94c-4cdbd68ce695n@googlegroups.com>,nagari,<4a731d47-0202-42ad-a94c-4cdbd68ce695n@googlegroups.com>,native,message,2026-04-07T18:53:02+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<4c461c48-e06b-469d-8362-c9dcd11c5ea3n@googlegroups.com>,nagari,<4c461c48-e06b-469d-8362-c9dcd11c5ea3n@googlegroups.com>,native,message,2026-01-19T19:37:32+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<4cd0858c-4b8c-42da-a135-351a410fda4dn@googlegroups.com>,nagari,<4cd0858c-4b8c-42da-a135-351a410fda4dn@googlegroups.com>,native,message,2026-04-23T19:21:17+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<4e31ead6-6c2a-4291-8d71-5c408815ced7n@googlegroups.com>,nagari,<4e31ead6-6c2a-4291-8d71-5c408815ced7n@googlegroups.com>,native,message,2026-05-19T13:44:20+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<4e8a8712-6e89-4b5c-a2c8-ef619b2fdd2fn@googlegroups.com>,nagari,<4e8a8712-6e89-4b5c-a2c8-ef619b2fdd2fn@googlegroups.com>,native,message,2026-04-28T19:42:37+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<55fd670c-37c5-4345-94f3-717752c7e412n@googlegroups.com>,nagari,<55fd670c-37c5-4345-94f3-717752c7e412n@googlegroups.com>,native,message,2026-05-31T23:08:44+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<56a63eec-d228-4d48-80a2-37df4aa2b126n@googlegroups.com>,nagari,<56a63eec-d228-4d48-80a2-37df4aa2b126n@googlegroups.com>,native,message,2026-03-05T14:39:03+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<5828d78b-9cf1-4ad6-b17c-0401177605e9n@googlegroups.com>,nagari,<5828d78b-9cf1-4ad6-b17c-0401177605e9n@googlegroups.com>,native,message,2026-03-12T18:14:18+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<58ec6b5d-b97b-4ef6-ab75-6b125723790dn@googlegroups.com>,nagari,<58ec6b5d-b97b-4ef6-ab75-6b125723790dn@googlegroups.com>,native,message,2026-03-05T20:24:19+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<59be8653-6b38-4c3d-b9b7-d21e68f2afccn@googlegroups.com>,nagari,<59be8653-6b38-4c3d-b9b7-d21e68f2afccn@googlegroups.com>,native,message,2026-03-10T22:18:17+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<5eeaecfe-3a66-4301-a32e-56fa2988bebcn@googlegroups.com>,nagari,<5eeaecfe-3a66-4301-a32e-56fa2988bebcn@googlegroups.com>,native,message,2026-01-14T18:36:09+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6467999c-0284-4b6d-9536-33a8602d8652n@googlegroups.com>,nagari,<6467999c-0284-4b6d-9536-33a8602d8652n@googlegroups.com>,native,message,2026-01-05T12:48:20+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<68308e73-6770-4a2d-87ca-c35403f4f1c4n@googlegroups.com>,nagari,<68308e73-6770-4a2d-87ca-c35403f4f1c4n@googlegroups.com>,native,message,2026-03-03T22:02:36+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6a5237c3-15c6-4bcb-9dae-a8bafa9f650fn@googlegroups.com>,nagari,<6a5237c3-15c6-4bcb-9dae-a8bafa9f650fn@googlegroups.com>,native,message,2026-01-20T14:34:26+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6bf50efa-9062-4cf0-b8f1-ef734f431eb6n@googlegroups.com>,nagari,<6bf50efa-9062-4cf0-b8f1-ef734f431eb6n@googlegroups.com>,native,message,2026-01-23T18:10:52+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6c1abc02-d8cb-4915-8b9e-9b28121416a2n@googlegroups.com>,nagari,<6c1abc02-d8cb-4915-8b9e-9b28121416a2n@googlegroups.com>,native,message,2026-05-25T15:26:56+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6ddbca1f-27bf-4314-975c-3d0078c53b87n@googlegroups.com>,nagari,<6ddbca1f-27bf-4314-975c-3d0078c53b87n@googlegroups.com>,native,message,2026-03-05T17:51:14+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6e34dc99-a1a9-406c-81fd-4a46b56049c1n@googlegroups.com>,nagari,<6e34dc99-a1a9-406c-81fd-4a46b56049c1n@googlegroups.com>,native,message,2026-05-25T18:35:08+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6f06b1dc-7fd6-4dd5-a3f8-f18c85871eden@googlegroups.com>,nagari,<6f06b1dc-7fd6-4dd5-a3f8-f18c85871eden@googlegroups.com>,native,message,2026-03-14T21:03:08+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6f1c4f98-1d1a-4051-a58c-a65219a0b7e8n@googlegroups.com>,nagari,<6f1c4f98-1d1a-4051-a58c-a65219a0b7e8n@googlegroups.com>,native,message,2026-03-23T12:12:02+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<6ffce044-7128-4b35-a628-b2f7dd9371cbn@googlegroups.com>,nagari,<6ffce044-7128-4b35-a628-b2f7dd9371cbn@googlegroups.com>,native,message,2026-04-19T03:23:05+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<72b7cac0-eddb-4fa4-9dc7-334ab6159ebbn@googlegroups.com>,nagari,<72b7cac0-eddb-4fa4-9dc7-334ab6159ebbn@googlegroups.com>,native,message,2026-02-07T21:25:24+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
nagari:<738bc920-f62a-4145-86c8-46d7dff86b9bn@googlegroups.com>,nagari,<738bc920-f62a-4145-86c8-46d7dff86b9bn@googlegroups.com>,native,message,2026-04-28T00:25:05+03:00,2026-partial,1,restricted,active,,nagari:pilot:2026-07-17
