presentation_id,year,series,title,l1,l2,l3,l4,source,confidence,why
PRES_77b298a44b,2006,Zograf Readings,Изображение и текст: древнеиндийские рельефы и буддийские вербальные тексты,art_archaeology,classical,image,fundamental,llm,0.9,Изображение и текст: древнеиндийские рельефы и буддийские тексты — археология и искусство.
PRES_74c89353ef,2006,Zograf Readings,Царь − установитель дхармы. Практический аспект идеологической концепции,history,classical,text,fundamental,llm,0.85,Царь как установитель дхармы — историко-политическая концепция.
PRES_b4e17e6e33,2006,Zograf Readings,Некоторые наблюдения над царской титулатурой индо-греков,history,classical,text,fundamental,llm,0.9,"Царская титулатура индо-греков — исторический анализ, классический период, основан на текстах (надписях)."
PRES_20910e0f90,2006,Zograf Readings,Санскритское upa-śru-: «слышать» или «вслушиваться»? Об одном древнеиндийском способе гадания,linguistics,vedic,text,fundamental,llm,0.9,"Лингвистический анализ санскритского глагола upa-śru- и его связь с гаданием, ведийский период."
PRES_fcd64d09ac,2006,Zograf Readings,Отряхивающийся ныряльщик: о специфическом фольклорном мотиве в эпических и пуранических версиях «Сказания о Вепре» (Varāha-kathā),literature,classical,text,fundamental,llm,0.9,"Фольклорный мотив в эпических и пуранических версиях — литературоведение, классический период."
PRES_933f4317bd,2006,Zograf Readings,Об особенностях самосознания представителей «низких каст» в современных условиях,ethnography,contemporary,fieldwork,fundamental,llm,0.9,Самосознание низких каст в современных условиях — этнографическое полевое исследование.
PRES_80ebdc8f23,2006,Zograf Readings,Символика и способы почитания богини Тары в индуизме (с демонстрацией видеоматериалов),religion,medieval,image,applied,llm,0.85,"Символика и почитание богини Тары в индуизме, с демонстрацией видео — религиоведение, медиевальный период, визуальный материал."
PRES_41b4c6fe83,2006,Zograf Readings,Комментарий к комментарию (Г.С.Лебедев и культурная жизнь Калькутты в 1790-х годах),history,colonial,archive,fundamental,llm,0.9,"Комментарий к комментарию о Г.С.Лебедеве и культурной жизни Калькутты 1790-х — история колониального периода, архивные источники."
PRES_409770d89b,2006,Zograf Readings,Интерпретация идей Упанишад у Раммохона Роя и Дебендронатха Тагора,philosophy,colonial,text,fundamental,llm,0.9,"Интерпретация идей Упанишад у Раммохона Роя и Дебендронатха Тагора — философия, колониальный период, текстуальный анализ."
PRES_60da65c55e,2006,Zograf Readings,Безымянный герой (о романах Хазарипрасада Двиведи),literature,modern,text,fundamental,llm,0.9,"Романы Хазарипрасада Двиведи — литература хинди, современный период."
PRES_d5cc6c0374,2006,Zograf Readings,К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди,literature,modern,text,fundamental,llm,0.9,"Сюжетные и стилистические истоки ранних приключенческих романов на хинди — литературоведение, современный период."
PRES_2048f4153d,2006,Zograf Readings,Модели христианского и индо-буддийского времени в современной литературе,literature,contemporary,text,fundamental,llm,0.85,"Модели христианского и индо-буддийского времени в современной литературе — сравнительное литературоведение, современный период."
PRES_ac20c3981b,2006,Zograf Readings,Индийские философские тексты: композиция как часть содержания,philosophy,classical,text,fundamental,llm,0.9,"Композиция индийских философских текстов как часть содержания — философия, классический период, текстуальный анализ."
PRES_bdb9ecf419,2006,Zograf Readings,Механизмы передачи сакрального текста в школах раннего буддизма (К постановке проблемы),religion,classical,text,fundamental,llm,0.9,"Механизмы передачи сакрального текста в школах раннего буддизма — религиоведение, классический период, текстуальный анализ."
PRES_457408b87a,2006,Zograf Readings,Бхартрихари и Дхармакирти о возможности рефлексивного акта познания,philosophy,classical,text,fundamental,llm,0.9,"Бхартрихари и Дхармакирти о рефлексивном акте познания — философия, классический период, текстуальный анализ."
PRES_117aeb7260,2006,Zograf Readings,Тема уточняется,other,unspecified,unspecified,methodological,llm,0.5,Тема уточняется — невозможно определить категорию.
PRES_168fd5d0b0,2006,Zograf Readings,«Ādau vāda āsīt»: о переводах Библии на санскрит,linguistics,colonial,text,fundamental,llm,0.9,"Переводы Библии на санскрит — лингвистика/переводоведение, колониальный период, текстуальный анализ."
PRES_932ae951cd,2007,Zograf Readings,Санскритское письмо как последовательная фонетическая транскрипция,linguistics,classical,text,fundamental,llm,0.9,"Санскритское письмо как фонетическая транскрипция — лингвистика, классический период, текстуальный анализ."
PRES_e564be93e3,2007,Zograf Readings,«Великие» и «малые» в надписях Ашоки,history,classical,text,fundamental,llm,0.9,"«Великие» и «малые» в надписях Ашоки — исторический анализ, классический период, эпиграфика."
PRES_9ade78ff58,2007,Zograf Readings,«Очерки Цейлона и Индии» И. П. Минаева как источник по изучению культурной истории Индии,history,colonial,archive,fundamental,llm,0.9,"«Очерки Цейлона и Индии» И.П.Минаева как источник по культурной истории — история колониального периода, архивные источники."
PRES_7052e31e46,2007,Zograf Readings,Описания военной техники в индийском сочинении XI века «Шри Калачакра тантра раджа»,history,medieval,text,fundamental,llm,0.9,"Описания военной техники в «Шри Калачакра тантра раджа» XI века — история, медиевальный период, текстуальный анализ."
PRES_632589d9f1,2007,Zograf Readings,От смерти к новому рождению. Учение о промежуточном существовании в «Абхидхармакоше» Васубандху,religion,classical,text,fundamental,llm,0.9,"Учение о промежуточном существовании в «Абхидхармакоше» — буддизм, классический период, текстуальный анализ."
PRES_cb85e06342,2007,Zograf Readings,В чем непосредственность непосредственного восприятия в буддийской эпистемологии?,philosophy,classical,text,fundamental,llm,0.9,"Буддийская эпистемология (прамана) — философская дисциплина, классический период."
PRES_65a7d6e51a,2007,Zograf Readings,Философ Нагарджуна – персонаж пракритского романа «Лилаваи»,literature,classical,text,fundamental,llm,0.85,"Пракритский роман — литературный жанр, классический период."
PRES_198427c45a,2007,Zograf Readings,«Гимн Таре» Сарваджнямитры и его тибетские переводы,religion,classical,text,fundamental,llm,0.9,"Гимн Таре — буддийский религиозный текст, тибетские переводы."
PRES_4bb24c3c11,2007,Zograf Readings,К вопросу о статусе «естественного описания» в индийской поэтике,literature,classical,text,fundamental,llm,0.9,"Индийская поэтика — литературоведение, классический период."
PRES_649f8342d7,2007,Zograf Readings,Сезонный и суточный циклы в санскритской драме (структура санскритской драмы),literature,classical,text,fundamental,llm,0.85,"Санскритская драма — литературный жанр, классический период."
PRES_43e4e4e60d,2007,Zograf Readings,Плач в составе древней махакавьи,literature,classical,text,fundamental,llm,0.85,"Махакавья — жанр санскритской поэзии, классический период."
PRES_7e16512005,2007,Zograf Readings,О быках и людях (Образ «Стада» в скотоводческом эпосе Южной Индии),literature,medieval,text,fundamental,llm,0.8,"Скотоводческий эпос Южной Индии — фольклор/литература, средневековье."
PRES_693b5d83a6,2007,Zograf Readings,Индийские памятники героям в сравнительном освещении (К вопросу о материальном соответствии поэтической формуле «непреходящая слава»),history,classical,artefact,fundamental,llm,0.8,"Памятники героям — историко-археологическая тема, сравнительное освещение."
PRES_c2c6d7f2b6,2007,Zograf Readings,К вопросу об эндогамии касты,ethnography,colonial,fieldwork,fundamental,llm,0.85,"Эндогамия касты — этнографическая тема, колониальный период."
PRES_8e0d2df4b1,2007,Zograf Readings,Миф о Махишасурамардани в Девибхагавата- и Калика-пуранах,religion,medieval,text,fundamental,llm,0.9,"Миф о Махишасурамардани в пуранах — религиозная мифология, средневековье."
PRES_1be5fd6c7a,2007,Zograf Readings,«Мадхан-кам» – народная драма Северной Бенгалии (с демонстрацией видеоматериалов),ethnography,contemporary,fieldwork,applied,llm,0.9,"Народная драма с видеоматериалами — этнографическое полевое исследование, современность."
PRES_2b5692727a,2007,Zograf Readings,«Рассказ о рани Кетаки» Инш-алла Хана в контексте развития ранней прозы на хинди и урду,linguistics,modern,text,fundamental,baseline,0.85,
PRES_a45633543d,2007,Zograf Readings,Дидактические шатаки в литературе телугу (К характеристике жанровых особенностей),literature,medieval,text,fundamental,llm,0.85,"Дидактические шатаки — жанр литературы телугу, средневековье."
PRES_57404d8de8,2007,Zograf Readings,Некоторые проблемы становления вишишта-адвайты,philosophy,medieval,text,fundamental,llm,0.9,"Вишишта-адвайта — философская школа веданты, средневековье."
PRES_c190e58dae,2007,Zograf Readings,Язык как источник аргументации (на примере рассуждений о самбандхе),philosophy,classical,text,fundamental,llm,0.85,"Самбандха — философская категория, язык как аргумент, классический период."
PRES_8c102cb0c2,2007,Zograf Readings,Теоретические аспекты учения тантрической школы кула (согласно «Куларнава-тантре»),religion,medieval,text,fundamental,llm,0.9,"Тантрическая школа кула — религиозное учение, средневековье."
PRES_a3301e22aa,2007,Zograf Readings,Образ Чайтаньи в традиционных бенгальских текстах,linguistics,modern,text,fundamental,baseline,0.85,
PRES_a40d40eed0,2007,Zograf Readings,Лингвофилософское в «Пара-тримшика-виварана» Абхинавагупты,philosophy,medieval,text,fundamental,llm,0.9,"Лингвофилософское в Абхинавагупты — философия языка, средневековье."
PRES_53f8bd860a,2010,Zograf Readings,«Рагхуванша» Калидасы глазами тамилиста,literature,classical,text,fundamental,llm,0.85,"«Рагхуванша» Калидасы — классическая санскритская литература, тамилист."
PRES_e9a0b599c0,2010,Zograf Readings,Царица в дворцовом парке,literature,classical,text,fundamental,llm,0.8,"Царица в дворцовом парке — вероятно, литературная тема, классический период."
PRES_e04db7cf0d,2010,Zograf Readings,«Археология» раннебуддийского доктринального текста на примере главы о буддхакшетрах («полях Будд») из Махавасту,religion,classical,text,fundamental,llm,0.9,"Раннебуддийский доктринальный текст, Махавасту — буддизм, классический период."
PRES_1c0edf1c85,2010,Zograf Readings,Миф о Ветале и Бхайраве в «Калика-пуране»,religion,medieval,text,fundamental,llm,0.9,"Миф о Ветале и Бхайраве в «Калика-пуране» — религиозная мифология, средневековье."
PRES_54a32921dc,2010,Zograf Readings,Сравнительный анализ генезиса рефлексии в индийской и европейской философских традициях: визуальные и лингвистические детерминанты,philosophy,classical,text,fundamental,llm,0.85,"Сравнительный анализ рефлексии в индийской и европейской философии, упор на философские традиции."
PRES_a873570c30,2010,Zograf Readings,Потенциальное и актуальное в буддийском учении о восприятии,philosophy,classical,text,fundamental,llm,0.9,"Буддийское учение о восприятии — философская тема, классический период."
PRES_d49c9ef5f0,2010,Zograf Readings,Проблема уникальности природы человеческой души в философской системе Ямуначарьи,philosophy,medieval,text,fundamental,llm,0.9,"Философская система Ямуначарьи (вишишта-адвайта), средневековье."
PRES_1e77ef9490,2010,Zograf Readings,Индийский эпос «Дхола-Мару» и «Сказка о царе Салтане» А.С.Пушкина,literature,medieval,text,fundamental,llm,0.85,"Сравнение индийского эпоса и произведения Пушкина, литературоведение."
PRES_f7c2f21e54,2010,Zograf Readings,Концепция игры в индийской традиции (кридаяника в «Натьяшастре»),philosophy,classical,text,fundamental,llm,0.85,"Концепция игры в индийской традиции, анализ «Натьяшастры» — философско-эстетическая тема."
PRES_6a263265ac,2010,Zograf Readings,Ордалия раскаленной монетой (taptamàşa): текст и реальность,religion,classical,text,fundamental,llm,0.8,"Ордалия — ритуальная практика, текст и реальность, религиозный контекст."
PRES_91f29242d8,2010,Zograf Readings,Mārgī/deśī: о двух способах интерпретации индийского танца,art_archaeology,classical,text,fundamental,llm,0.8,"Интерпретация индийского танца, искусствоведческий подход."
PRES_37530fdf34,2011,Zograf Readings,Тема весны в старой тамильской поэзии,literature,classical,text,fundamental,llm,0.9,Тема весны в старой тамильской поэзии — литературный анализ.
PRES_37ec1a3fd3,2011,Zograf Readings,О композиции вступительных глав «Сказания о Шакунтале»,literature,classical,text,fundamental,llm,0.9,Композиция вступительных глав «Сказания о Шакунтале» — литературоведение.
PRES_5291787a3f,2011,Zograf Readings,Прием почетного гостя-атитхи по материалам древнеиндийских ритуальных текстов,religion,vedic,text,fundamental,llm,0.85,Прием почетного гостя по древнеиндийским ритуальным текстам — религиозная практика.
PRES_59bc8c1ec8,2011,Zograf Readings,Индия в поэзии йафиитов (Южная Аравия),literature,medieval,text,fundamental,llm,0.8,"Индия в поэзии йафиитов — литературная тема, средневековье."
PRES_5deb828215,2011,Zograf Readings,Существует ли психофизическая проблема (mind-body problem) в буддизме?,philosophy,classical,text,fundamental,llm,0.9,Психофизическая проблема в буддизме — философский вопрос.
PRES_7a0616cdc7,2011,Zograf Readings,Метафора в «Махабхарате»,literature,classical,text,fundamental,llm,0.9,Метафора в «Махабхарате» — литературный анализ.
PRES_d8c8a0e9b4,2011,Zograf Readings,Драупади в Зале собрания (роль бога Дхармы),literature,classical,text,fundamental,llm,0.85,"Драупади в Зале собрания — эпизод «Махабхараты», литература."
PRES_216606ed4c,2011,Zograf Readings,Интерпретация учения об аватарах Вишну в «Девибхагавата-пуране»,religion,medieval,text,fundamental,llm,0.9,Учение об аватарах Вишну в пуране — религиозная тема.
PRES_61eb101383,2011,Zograf Readings,Поэтические жанры индийской литературы в тибетском буддийском каноне,tibetology,medieval,text,fundamental,llm,0.85,Поэтические жанры индийской литературы в тибетском каноне — тибетология.
PRES_81e4f6fe0b,2011,Zograf Readings,Об изучении четвертой главы «Абхисамая-аланкары»,philosophy,classical,text,fundamental,llm,0.9,Изучение главы «Абхисамая-аланкары» — буддийская философия.
PRES_5816bc342a,2011,Zograf Readings,Интерпретация символов ‘ом’ и ‘сиддхам’ в мангала-шлоках санскритских рукописей,religion,medieval,text,fundamental,llm,0.85,Интерпретация символов в мангала-шлоках — религиозная символика.
PRES_df563ac2ff,2011,Zograf Readings,Проблема энергии в тантре,religion,medieval,text,fundamental,llm,0.9,Проблема энергии в тантре — религиозно-философская тема.
PRES_9f66f4e714,2011,Zograf Readings,Энергийный прагматизм в тамильской культуре,philosophy,medieval,text,fundamental,llm,0.8,Энергийный прагматизм в тамильской культуре — философский анализ.
PRES_5b9d992a66,2011,Zograf Readings,Некоторые аспекты полемического дискурса в индийских религиозно-философских традициях,philosophy,classical,text,fundamental,llm,0.85,"Анализ полемического дискурса в религиозно-философских традициях Индии, вероятно, основан на текстах классического периода."
PRES_9cc7f0b54c,2011,Zograf Readings,Samarasa и svasamvedya в абхишека-патале Хеваджра-тантры согласно Муктавалихеваджрапаньджике Ратнакарашанти,religion,medieval,text,fundamental,llm,0.9,Тантрический текст Хеваджра-тантры и комментарий Ратнакарашанти относятся к средневековому буддизму.
PRES_fb8b7f76bc,2011,Zograf Readings,Другой в традиции индуизма и философии Бенгальского Возрождения: Опыт сопоставления,philosophy,colonial,text,fundamental,llm,0.8,Сопоставление индуизма и философии Бенгальского Возрождения (XIX в.) — философский анализ колониального периода.
PRES_5b9c7fa5b6,2011,Zograf Readings,Санскритизация и философские проблемы языковой политики,linguistics,modern,text,fundamental,llm,0.85,"Санскритизация и языковая политика — лингвистическая тема, связанная с современной Индией."
PRES_eaf7163393,2011,Zograf Readings,Рабиндранат Тагор: уровни поэтического высказывания,literature,modern,text,fundamental,llm,0.9,Анализ поэтического высказывания Рабиндраната Тагора — литературоведческое исследование.
PRES_0b727f138c,2011,Zograf Readings,Словесные фигуры и принцип «непрямого высказывания» (вакрокти) в средневековой поэтике,literature,medieval,text,fundamental,llm,0.9,"Средневековая поэтика, вакрокти — классическая санскритская литературная теория."
PRES_b9333b3423,2011,Zograf Readings,«Ярость» Рушди,literature,contemporary,text,fundamental,llm,0.85,Анализ романа Салмана Рушди — современная литература.
PRES_4f6dd44b06,2011,Zograf Readings,«Будда из пригорода» Ханифа Курейши: иммигрантский текст индо-британской литературы,literature,contemporary,text,fundamental,llm,0.85,Иммигрантский текст индо-британской литературы — современная литература.
PRES_6b5321239f,2011,Zograf Readings,Концепт svadharma в кастовой идеологии,philosophy,classical,text,fundamental,llm,0.8,"Концепт svadharma в кастовой идеологии — философско-религиозная тема, основанная на текстах."
PRES_9d6bafd765,2011,Zograf Readings,Мифологии северных мунда как источник для реконструкции сюжета создания человека у населения евразийских степей в эпоху бронзы,ethnography,unspecified,fieldwork,fundamental,llm,0.75,"Мифологии северных мунда — этнографическое исследование, возможно, с полевыми материалами."
PRES_dd87112472,2011,Zograf Readings,Половозрастная стратификация общества в ведийских текстах,religion,vedic,text,fundamental,baseline,1.0,
PRES_f73706499b,2011,Zograf Readings,"«Юные» в окружении царя Раджасинхи II—го (XVII век, Шри Ланка)",history,colonial,archive,fundamental,llm,0.8,"Царь Раджасинха II (XVII век, Шри Ланка) — историческая тема колониального периода."
PRES_c511412335,2011,Zograf Readings,Герасим Лебедев и британская элита колониальной Калькутты,history,colonial,archive,fundamental,llm,0.85,Герасим Лебедев и британская элита Калькутты — история колониального периода.
PRES_66b3645128,2011,Zograf Readings,О первых христианских миссионерах в Индии,history,colonial,archive,fundamental,llm,0.8,Первые христианские миссионеры в Индии — историческая тема колониального периода.
PRES_fe38d39938,2011,Zograf Readings,Глава о надзирателе за архивом в «Артхашастре» Каутильи в контексте информации надписей времени Гуптов,history,classical,text,fundamental,llm,0.85,Артхашастра и надписи времени Гуптов — исторический анализ текстов и эпиграфики.
PRES_f516867c63,2011,Zograf Readings,Саттрия: рождение нового индийского классического танца в Ассаме,art_archaeology,modern,fieldwork,fundamental,llm,0.8,"Рождение нового классического танца в Ассаме — искусствоведческая тема, возможно, с полевыми наблюдениями."
PRES_77f698acd5,2012,Zograf Readings,«Рамаяна»  в драме Бхавабхути «Последние деяния Рамы»,literature,classical,text,fundamental,llm,0.9,Рамаяна в драме Бхавабхути — классическая санскритская литература.
PRES_63aa865de4,2012,Zograf Readings,Практики движения праны в текстах кашмирских авторов,religion,medieval,text,fundamental,llm,0.85,Практики движения праны в кашмирских текстах — религиозно-философская тема средневековья.
PRES_b27303708f,2012,Zograf Readings,Особенности композиции «Апастамба-дхармасутры»,linguistics,classical,text,fundamental,llm,0.8,"Композиция Апастамба-дхармасутры — анализ текста, лингвистический или филологический."
PRES_81b825e701,2012,Zograf Readings,Агамический текст как способ самоопределения ведической традиции (на примере «Шива сутры»),religion,classical,text,fundamental,llm,0.85,"Агамический текст и ведическая традиция, Шива-сутра — религиозная тема классического периода."
PRES_4557455166,2012,Zograf Readings,Версия мифа о Вритре в «Девибхагаватапуране»,religion,medieval,text,fundamental,llm,0.85,Миф о Вритре в Девибхагаватапуране — религиозный текст средневековья.
PRES_5bd9be8d40,2012,Zograf Readings,Еще раз о теме разлуки в тамильской поэзии,literature,classical,text,fundamental,llm,0.9,"Тема разлуки в тамильской поэзии — литературный анализ, классический период."
PRES_627da820b6,2012,Zograf Readings,Дискуссия о значении термина анангу в тамильской литературе,literature,classical,text,fundamental,llm,0.9,"Дискуссия о значении термина в тамильской литературе — литературоведение, классический период."
PRES_5f83d7a499,2012,Zograf Readings,Текст по культу Ваджрапани и восьми царей нагов в свитке XIII века Дх-178 из собрания ИВР РАН,religion,medieval,artefact,fundamental,llm,0.85,"Культ Ваджрапани и нагов — религиозная тема, свиток XIII века — материальный артефакт."
PRES_e5cc1bbb1d,2012,Zograf Readings,"Ян Потоцкий и тибетская рукопись, найденная в Калмыкии",history,colonial,archive,fundamental,llm,0.9,"Ян Потоцкий и тибетская рукопись — историко-биографическое исследование, колониальный период."
PRES_0aedd41026,2012,Zograf Readings,Непосредственное восприятие как знание из слов по материалам «Веданта-парибхаши» Дхармараджи,philosophy,classical,text,fundamental,llm,0.95,"Веданта-парибхаша — философский текст, классическая веданта."
PRES_d7d08bc77f,2012,Zograf Readings,Матрики вне буддийских текстов,religion,classical,text,fundamental,llm,0.8,"Матрики вне буддийских текстов — религиозная тема, вероятно, классический период."
PRES_8bd27d8f20,2012,Zograf Readings,Две парадигмы монизма в интерпретации «Бхагавадгиты»: Шанкара и Рамануджа,philosophy,medieval,text,fundamental,llm,0.95,"Интерпретация Бхагавадгиты Шанкарой и Рамануджей — философия, средневековье."
PRES_972d4079b1,2012,Zograf Readings,Г. Оберхаммер и его принципы изучения религиозно-философских текстов школы вишишта-адвайта-веданты,philosophy,medieval,text,methodological,llm,0.9,Принципы изучения вишишта-адвайты — философско-методологическая работа.
PRES_44b7051738,2012,Zograf Readings,Формула «бхукти — мукти» и сотериологический антиномизм индуистской тантры,religion,medieval,text,fundamental,llm,0.9,"Индуистская тантра — религиозная тема, средневековье."
PRES_4acd5d51b5,2012,Zograf Readings,Эволюция буддистского учения о не-«я»: две концепции анатмавады,philosophy,classical,text,fundamental,llm,0.9,"Буддийское учение о не-«я» — философия, классический период."
PRES_ca1df3941d,2012,Zograf Readings,Дхарма и буддология. Актуальные проблемы,philosophy,unspecified,text,fundamental,llm,0.8,"Дхарма и буддология — философская тема, период не указан."
PRES_a72801a7e5,2012,Zograf Readings,Образ индуизма в религиозно-философской мысли Бенгальского Ренессанса,history,colonial,text,fundamental,llm,0.85,"Образ индуизма в Бенгальском Ренессансе — историко-культурное исследование, колониальный период."
PRES_ea42f7e02c,2012,Zograf Readings,Загадки поэмы Джаяси «Падмават»,literature,medieval,text,fundamental,llm,0.9,"Поэма Джаяси «Падмават» — литература, средневековье."
PRES_347180ce4e,2012,Zograf Readings,«Кадамбари» в современном мире,literature,classical,text,applied,llm,0.85,"«Кадамбари» в современном мире — литературный анализ, возможно прикладной аспект."
PRES_20d92e0dfe,2012,Zograf Readings,Эволюция жанра шахрашуб в контексте взаимодействия персоязычной литературы и литературы урду,literature,medieval,text,fundamental,llm,0.9,"Жанр шахрашуб в персоязычной литературе и урду — литературоведение, средневековье."
PRES_1a19c546ea,2012,Zograf Readings,«Третье измерение» в непальской поэзии,literature,modern,text,fundamental,llm,0.85,"Непальская поэзия — литература, современный период."
PRES_d7ffc90dec,2012,Zograf Readings,Индия и индийцы в автобиографической книге  В. С. Найпола «The Writer's People»,literature,contemporary,text,fundamental,llm,0.9,"Книга В. С. Найпола — литература, современный период."
PRES_b48f6f5ffd,2012,Zograf Readings,Символические фигуры «Ригведы» (на примере  гимна «К Речи»),religion,vedic,text,fundamental,llm,0.95,"Символические фигуры «Ригведы» — религиозный/мифологический анализ, ведийский период."
PRES_485b7b3478,2012,Zograf Readings,Осел/бык в индоиранской картине мира,linguistics,vedic,text,fundamental,llm,0.85,"Осел/бык в индоиранской картине мира — лингвокультурологическое исследование, ведийский период."
PRES_df7078b604,2012,Zograf Readings,Чудесный сосуд Манимехалей: попытка интерпретации,literature,classical,text,fundamental,llm,0.85,"Чудесный сосуд Манимехалей — интерпретация тамильского эпоса, классический период."
PRES_9389ab2ec7,2012,Zograf Readings,Неварский «повествовательный свиток» в собрании  МАЭ РАН (коллекция И. П. Минаева). Предварительное сообщение,art_archaeology,colonial,archive,fundamental,llm,0.9,"Неварский свиток из коллекции Минаева — музейный артефакт, колониальный период, архивное исследование."
PRES_bafd1e3979,2012,Zograf Readings,Живая традиция ритуальных росписей Питхоро в Гуджарате: полевые данные 2012 г,ethnography,contemporary,fieldwork,fundamental,llm,0.95,Полевые данные 2012 г. о ритуальных росписях — современная этнография.
PRES_20e82a1bf4,2012,Zograf Readings,«Юный» как представитель измененного состояния сознания,philosophy,unspecified,text,fundamental,llm,0.7,"Термин «юный» как измененное сознание — философский анализ, вероятно, по тексту."
PRES_96e454e276,2012,Zograf Readings,Особенности календарной обрядности у раджпутов,ethnography,contemporary,fieldwork,fundamental,llm,0.9,Календарная обрядность раджпутов — этнографическое полевое исследование.
PRES_3fe3fd07b0,2012,Zograf Readings,"«Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения",art_archaeology,contemporary,fieldwork,fundamental,llm,0.85,"«Бенгальский стиль» в танце — современное искусство, полевые наблюдения."
PRES_8f2b093d02,2013,Zograf Readings,Страсти и бесстрастие Бхартирихари,literature,classical,text,fundamental,llm,0.9,"Бхартрихари — классический поэт, анализ текста."
PRES_7905a089ac,2013,Zograf Readings,История Агададатты в романе Сангхадасы «Странствия Васудевы»,literature,classical,text,fundamental,llm,0.9,"Роман Сангхадасы «Странствия Васудевы» — классическая литература, анализ текста."
