presentation_id,year,series,title,theme_l1,period_l2,gumilyov_level,meso_codes,confidence,review_bucket,review_status,selection_reason,model_rationale,override_reason
PRES_a9e0852a8d,2008,Zograf Readings,Традиция в интерпретации мыслителей Бенгальского Возрождения,philosophy,colonial,2,bengal|colonial_encounters,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G2,Заголовок 'Традиция в интерпретации мыслителей Бенгальского Возрождения' обещает обобщение по школе/периоду (Бенгальское Возрождение). L2 подтвержден.,
PRES_f5b1c223f2,2009,Zograf Readings,Особенности интерпретации традиционных текстов мыслителями Бенгальского Возрождения,history,colonial,2,bengal|colonial_encounters,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G2,Рассмотрение особенностей интерпретации мыслителями целого движения (Бенгальское Возрождение) — это обобщение уровня школы (L2).,
PRES_53522f63c1,2015,Zograf Readings,Концепты брахманистского философского дискурса и их связь с женским принципом народного индуизма,religion,classical,2,philosophy_epistemology,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G2,"Заголовок явно обещает обобщение о связи двух крупных традиций (брахманистский философский дискурс и народный индуизм), что соответствует L2.",
PRES_891e3870db,2015,Zograf Readings,Бонкимчондро Чоттопаддхай и генезис неоиндуизма в Бенгалии,religion,colonial,2,bengal|bengal_bhakti_modernity,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G2,"Заголовок обещает обобщение о генезисе неоиндуизма в Бенгалии, что является обобщением уровня традиции (L2).",
PRES_f96bc067a5,2018,Zograf Readings,Формулы и заимствования в средневековой лирике бхакти,literature,medieval,2,bhakti_vaishnava,0.95,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G2,"Формулы и заимствования в средневековой лирике бхакти — обобщение в рамках одной традиции (бхакти), L2.",
PRES_6b13d39224,2024,Zograf Readings,Интерпретация эвтаназии в буддийской картине мира,philosophy,contemporary,2,buddhist_studies,0.8,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G2,"Заголовок обещает обобщение буддийской позиции по эвтаназии. Это обобщение уровня традиции, L2 верен.",
PRES_15b5fbdc83,2020,Roerich Readings,Что отличает индийскую эпистемическую культуру от западной?,philosophy,unspecified,3,comparative_analysis,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,"Заголовок явно заявляет сравнение двух цивилизационных эпистемических культур (индийской и западной), что является глобальной рамкой. L3.",
PRES_e4b6786e6b,2008,Zograf Readings,Как сравнивать индийскую и западную эпистемологию? Опыт создания методологии компаративного исследования,philosophy,unspecified,3,comparative_analysis|philosophy_epistemology,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,Заголовок 'Как сравнивать индийскую и западную эпистемологию? Опыт создания методологии компаративного исследования' явно заявляет глобальную сравнительную рамку между двумя цивилизационными традициями и создание методологии. L3 подтвержден.,
PRES_54a32921dc,2010,Zograf Readings,Сравнительный анализ генезиса рефлексии в индийской и европейской философских традициях: визуальные и лингвистические детерминанты,philosophy,classical,3,comparative_analysis|philosophy_epistemology,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,"Название явно заявляет сравнительный анализ генезиса рефлексии в двух цивилизационных традициях (индийской и европейской), что является глобальной рамкой (L3).",
PRES_9f51b09a94,2013,Zograf Readings,Проблема языка в веданте и европейском романтизме,philosophy,classical,3,comparative_analysis,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,Заголовок явно заявляет межтрадиционную рамку: сравнение веданты (индийская традиция) и европейского романтизма. Это соответствует L3.,
PRES_aa4df50cf0,2014,Zograf Readings,Древние южноазиатско-африканские связи (по данным фольклора и мифологии),history,classical,3,comparative_analysis,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,"Заголовок заявляет древние южноазиатско-африканские связи, что является глобальной, межрегиональной рамкой. Это L3.",
PRES_74cd40949e,2016,Zograf Readings,Понятие фундаментальности в индологии,other,unspecified,3,history_of_indology,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,"Заголовок 'Понятие фундаментальности в индологии' явно заявляет общеметодологическую рамку, что соответствует L3.",
PRES_7c33afdee0,2016,Zograf Readings,«Век Кроноса» и «Сатья-юга»: два вида «первобытного коммунизма» и античных теорий социогенеза,philosophy,classical,3,comparative_analysis,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,Сравнение двух концепций социогенеза ('Век Кроноса' и 'Сатья-юга') с глобальной рамкой ('два вида первобытного коммунизма') — это обобщение цивилизационного уровня (L3).,
PRES_af42ca8e9f,2021,Zograf Readings,Мифы об Индии: 2400 лет «фейковой индологии»,history,unspecified,3,history_of_indology,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,"Заголовок 'Мифы об Индии: 2400 лет «фейковой индологии»' заявляет глобальную цивилизационную рамку, охватывающую 2400 лет и всю историю индологии. Это L3.",
PRES_787b14a0e0,2023,Zograf Readings,Переоценка различных методологических подходов по исследованию индийской философии: по следам книги В. Адлури и Д. Багчи «The Nay Science: A History of German Indology»,philosophy,modern,3,history_of_indology,0.9,all_g3,queued_for_manual_review,all rare G3 records are included,"Переоценка методологических подходов к индийской философии — глобальная методологическая рамка, L3.",
