year,meso_code,label,count,presentations,share
2012,vedic_studies,Ведийские исследования,4,69,0.058
2012,tibetology_himalaya,Тибетология / гималайский контур,4,69,0.058
2012,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,3,69,0.0435
2012,comparative_analysis,Сравнительный анализ,2,69,0.029
2012,dravidology_south_india,Дравидология / южноиндийский контур,3,69,0.0435
2012,history_of_indology,История индологии,1,69,0.0145
2012,_unclassified,без meso-кода,6,69,0.087
2013,buddhist_studies,Буддийские традиции,11,56,0.1964
2013,philosophy_epistemology,Философия и эпистемология,4,56,0.0714
2013,vedic_studies,Ведийские исследования,2,56,0.0357
2013,tibetology_himalaya,Тибетология / гималайский контур,2,56,0.0357
2013,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,0,56,0.0
2013,comparative_analysis,Сравнительный анализ,1,56,0.0179
2013,dravidology_south_india,Дравидология / южноиндийский контур,2,56,0.0357
2013,history_of_indology,История индологии,2,56,0.0357
2013,_unclassified,без meso-кода,11,56,0.1964
2014,buddhist_studies,Буддийские традиции,6,38,0.1579
2014,philosophy_epistemology,Философия и эпистемология,2,38,0.0526
2014,vedic_studies,Ведийские исследования,4,38,0.1053
2014,tibetology_himalaya,Тибетология / гималайский контур,1,38,0.0263
2014,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,3,38,0.0789
2014,comparative_analysis,Сравнительный анализ,1,38,0.0263
2014,dravidology_south_india,Дравидология / южноиндийский контур,3,38,0.0789
2014,history_of_indology,История индологии,1,38,0.0263
2014,_unclassified,без meso-кода,1,38,0.0263
2015,buddhist_studies,Буддийские традиции,12,76,0.1579
2015,philosophy_epistemology,Философия и эпистемология,5,76,0.0658
2015,vedic_studies,Ведийские исследования,4,76,0.0526
2015,tibetology_himalaya,Тибетология / гималайский контур,3,76,0.0395
2015,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,6,76,0.0789
2015,comparative_analysis,Сравнительный анализ,6,76,0.0789
2015,dravidology_south_india,Дравидология / южноиндийский контур,2,76,0.0263
2015,history_of_indology,История индологии,2,76,0.0263
2015,_unclassified,без meso-кода,8,76,0.1053
2016,buddhist_studies,Буддийские традиции,18,77,0.2338
2016,philosophy_epistemology,Философия и эпистемология,5,77,0.0649
2016,vedic_studies,Ведийские исследования,4,77,0.0519
2016,tibetology_himalaya,Тибетология / гималайский контур,4,77,0.0519
2016,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,3,77,0.039
2016,comparative_analysis,Сравнительный анализ,2,77,0.026
2016,dravidology_south_india,Дравидология / южноиндийский контур,4,77,0.0519
2016,history_of_indology,История индологии,5,77,0.0649
2016,_unclassified,без meso-кода,8,77,0.1039
2017,buddhist_studies,Буддийские традиции,15,81,0.1852
2017,philosophy_epistemology,Философия и эпистемология,7,81,0.0864
2017,vedic_studies,Ведийские исследования,5,81,0.0617
2017,tibetology_himalaya,Тибетология / гималайский контур,6,81,0.0741
2017,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,4,81,0.0494
2017,comparative_analysis,Сравнительный анализ,4,81,0.0494
2017,dravidology_south_india,Дравидология / южноиндийский контур,3,81,0.037
2017,history_of_indology,История индологии,2,81,0.0247
2017,_unclassified,без meso-кода,8,81,0.0988
2018,buddhist_studies,Буддийские традиции,15,83,0.1807
2018,philosophy_epistemology,Философия и эпистемология,6,83,0.0723
2018,vedic_studies,Ведийские исследования,6,83,0.0723
2018,tibetology_himalaya,Тибетология / гималайский контур,7,83,0.0843
2018,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,4,83,0.0482
2018,comparative_analysis,Сравнительный анализ,4,83,0.0482
2018,dravidology_south_india,Дравидология / южноиндийский контур,4,83,0.0482
2018,history_of_indology,История индологии,2,83,0.0241
2018,_unclassified,без meso-кода,7,83,0.0843
2019,buddhist_studies,Буддийские традиции,10,84,0.119
2019,philosophy_epistemology,Философия и эпистемология,9,84,0.1071
2019,vedic_studies,Ведийские исследования,3,84,0.0357
2019,tibetology_himalaya,Тибетология / гималайский контур,3,84,0.0357
2019,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,2,84,0.0238
2019,comparative_analysis,Сравнительный анализ,1,84,0.0119
2019,dravidology_south_india,Дравидология / южноиндийский контур,6,84,0.0714
2019,history_of_indology,История индологии,5,84,0.0595
2019,_unclassified,без meso-кода,10,84,0.119
2020,buddhist_studies,Буддийские традиции,15,74,0.2027
2020,philosophy_epistemology,Философия и эпистемология,8,74,0.1081
2020,vedic_studies,Ведийские исследования,2,74,0.027
2020,tibetology_himalaya,Тибетология / гималайский контур,8,74,0.1081
2020,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,2,74,0.027
2020,comparative_analysis,Сравнительный анализ,5,74,0.0676
2020,dravidology_south_india,Дравидология / южноиндийский контур,6,74,0.0811
2020,history_of_indology,История индологии,6,74,0.0811
2020,_unclassified,без meso-кода,3,74,0.0405
2021,buddhist_studies,Буддийские традиции,8,81,0.0988
2021,philosophy_epistemology,Философия и эпистемология,4,81,0.0494
2021,vedic_studies,Ведийские исследования,4,81,0.0494
2021,tibetology_himalaya,Тибетология / гималайский контур,7,81,0.0864
2021,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,2,81,0.0247
2021,comparative_analysis,Сравнительный анализ,7,81,0.0864
2021,dravidology_south_india,Дравидология / южноиндийский контур,2,81,0.0247
2021,history_of_indology,История индологии,8,81,0.0988
2021,_unclassified,без meso-кода,3,81,0.037
2022,buddhist_studies,Буддийские традиции,13,74,0.1757
2022,philosophy_epistemology,Философия и эпистемология,9,74,0.1216
2022,vedic_studies,Ведийские исследования,4,74,0.0541
2022,tibetology_himalaya,Тибетология / гималайский контур,4,74,0.0541
2022,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,0,74,0.0
2022,comparative_analysis,Сравнительный анализ,5,74,0.0676
2022,dravidology_south_india,Дравидология / южноиндийский контур,6,74,0.0811
2022,history_of_indology,История индологии,4,74,0.0541
2022,_unclassified,без meso-кода,2,74,0.027
2023,buddhist_studies,Буддийские традиции,7,60,0.1167
2023,philosophy_epistemology,Философия и эпистемология,6,60,0.1
2023,vedic_studies,Ведийские исследования,3,60,0.05
2023,tibetology_himalaya,Тибетология / гималайский контур,1,60,0.0167
2023,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,3,60,0.05
2023,comparative_analysis,Сравнительный анализ,2,60,0.0333
2023,dravidology_south_india,Дравидология / южноиндийский контур,3,60,0.05
2023,history_of_indology,История индологии,4,60,0.0667
2023,_unclassified,без meso-кода,6,60,0.1
2024,buddhist_studies,Буддийские традиции,11,83,0.1325
2024,philosophy_epistemology,Философия и эпистемология,7,83,0.0843
2024,vedic_studies,Ведийские исследования,7,83,0.0843
2024,tibetology_himalaya,Тибетология / гималайский контур,4,83,0.0482
2024,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,7,83,0.0843
2024,comparative_analysis,Сравнительный анализ,4,83,0.0482
2024,dravidology_south_india,Дравидология / южноиндийский контур,0,83,0.0
2024,history_of_indology,История индологии,6,83,0.0723
2024,_unclassified,без meso-кода,13,83,0.1566
2025,buddhist_studies,Буддийские традиции,19,95,0.2
2025,philosophy_epistemology,Философия и эпистемология,11,95,0.1158
2025,vedic_studies,Ведийские исследования,8,95,0.0842
2025,tibetology_himalaya,Тибетология / гималайский контур,3,95,0.0316
2025,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,5,95,0.0526
2025,comparative_analysis,Сравнительный анализ,3,95,0.0316
2025,dravidology_south_india,Дравидология / южноиндийский контур,5,95,0.0526
2025,history_of_indology,История индологии,2,95,0.0211
2025,_unclassified,без meso-кода,4,95,0.0421
2026,buddhist_studies,Буддийские традиции,7,59,0.1186
2026,philosophy_epistemology,Философия и эпистемология,5,59,0.0847
2026,vedic_studies,Ведийские исследования,2,59,0.0339
2026,tibetology_himalaya,Тибетология / гималайский контур,1,59,0.0169
2026,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,3,59,0.0508
2026,comparative_analysis,Сравнительный анализ,4,59,0.0678
2026,dravidology_south_india,Дравидология / южноиндийский контур,0,59,0.0
2026,history_of_indology,История индологии,6,59,0.1017
2026,_unclassified,без meso-кода,10,59,0.1695
