keyword,label,status,reason,presentations,zograf,roerich,examples
индия,индия,hidden,слишком общий региональный маркер,181,130,51,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
традиционный,традиционный,hidden,слишком общий дисциплинарный маркер,22,17,5,"Проблемы изучения традиционного индийского текста «Абхисамая-аланкара» (на тибетском языке) | Проблемы интерпретации традиционного текста в произведениях индийских художников конца XIX – начала XX века | Из истории фиксации традиционного сказителя хобуксарких ойратов Аримпиля (1923–1994) | Традиционные индийские классификации: образцовые, удобные, проблематичные"
пали,пали,public,предметный термин,21,3,18,Яджня Ригведы и «другая яджня» палийского канона | Metta–Karaṇīya – Любовь как этический императив в раннебуддийской сотериологии на материале Метта сутты и Тевиджджа сутты Палийского канона | Анаттавада «палийского Будды» в её философских и сотериологических координатах | Палийская и санскритские версии сюжетов о самопожертвовании бодхисатвы-зайца
учение,учение,hidden,слишком общее аналитическое слово,21,19,2,Учение санкхьи в «Брихадараньяка-упанишаде» | «Наишкармья-сиддхи» (I. 52) Сурешвары как структура для реконструкции учения Шанкары об освобождении | Особенности толкования Нового Завета в учении Свами Вивекананды | Телеологический аргумент в пользу существования Бога в учении Свами Вивекананды
канон,канон,public,предметный термин,20,8,12,О понятиях «канон» и «классика» в контексте древнеиндийской литературы | Яджня Ригведы и «другая яджня» палийского канона | Metta–Karaṇīya – Любовь как этический императив в раннебуддийской сотериологии на материале Метта сутты и Тевиджджа сутты Палийского канона | Роль «Тируттондар тирувандади» Намби Андар Намби в формировании шиваитского канона
термин,термин,hidden,слишком общее аналитическое слово,20,13,7,О семантических переходах с участием терминов родства в старотамильском языке | К вопросу о переводе буддийского термина бодхи (菩提) на китайский язык | Трактовка панинийского термина savarṇa комментаторами парибхаш | Возможности понимания и написания термина «санскрит»
рамаяна,рамаяна,public,предметный термин,19,13,6,Сита и Агни в «Рамаяне» Вальмики | Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили | Сита и Агни в «Рамаяне» Вальмики | «Город победы» Рушди — ответ «Рамаяне» самого скандального автора 20 столетия
век,век,hidden,слишком общий хронологический маркер,18,15,3,Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили | Проблемы интерпретации традиционного текста в произведениях индийских художников конца XIX – начала XX века | Феномен в jalacārin в архитектуре храмов Карнатаки древних и средних веков | Буддийский Ренессанс в Южной Азии конец XIX – сер. XX века: история и перспективы
исток,исток,hidden,слишком общее слово заголовка,18,13,5,"Индийские истоки и источники философствования Р. Тагора: «Садхана» как опыт объяснения Своего Другому | Павакутху Кералы: артисты и основные сюжеты, мифо-ритуальные истоки исполнительских традиций | Суфизм в Индии: истоки и течения | «… Есть некая рыба, которая чюдовидна имать»: возможные истоки и неочевидные связи одного композитного существа индийской миниатюры"
культ,культ,public,предметный термин,18,7,11,"Бхеру-джи и мать Кали в деревенском Раджастхане: мифы, культ, фольклор | К проблеме происхождения варны кшатриев: культ воинской элиты в индоарийской традиции (по данным археологии и петроглифики) | Культ корзины у гондов, джайнская икона аягапатта и буддийский алтарь: еще раз о смене религиозной парадигмы в Древней Индии | Культ корзины в Древней Индии и смена религиозной парадигмы"
представление,представление,hidden,слишком общее аналитическое слово,18,11,7,"«Они из секты Пифагора»: представления об индуизме трех итальянских купцов второй половины XVI в. | Скрытое / явное: представления о знании у племенных народов Южной Карнатаки | Представления пуран о священном тексте как культовом предмете | Поэтическое представление о духовном и мирском благе в гимнах наянаров (сборник ""Деварам"")"
ритуальный,ритуальный,public,предметный термин,18,14,4,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | Структура ниданы из «Панчавимшатика-праджняпарамиты» в аспекте ритуальной практики | Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Ритуальные предметы и украшения в контексте обрядов жизненного цикла неваров
собрание,собрание,hidden,слишком общее слово заголовка,18,10,8,Миниатюры рагамала в отечественных собраниях | Тханки в собрании И. П. Минаева (МАЭ РАН) | Некоторые тангка из собрания Ю.Н. Рериха. Новые исследования | Две тханки из собрания И.П. Минаева (МАЭ РАН) и традиция странствующих рассказчиков (лама манипа) в Гималайском регионе
тантра,тантра,public,предметный термин,18,15,3,Тантрические парадигмы в игровых системах Востока: сравнительный анализ “Джняна чаупады” и “Салам намшак” сквозь призму индуистской и буддийской тантры | Что такое тантра? К вопросу об определении тантры/тантризма в современной тантрологии | Обряд панчамакара в каулических тантрах | Сотериологический ракурс «йогического суицида» (utkrānti) в традиционной индуистской йоге и тантре
практика,практика,hidden,слишком общее аналитическое слово,17,13,4,"Перевод в практике преподавания хинди в средней школе | Структура ниданы из «Панчавимшатика-праджняпарамиты» в аспекте ритуальной практики | Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Огонь, вода и память: погребальные практики сикхов в мультикультурной среде"
пураны,пураны,public,предметный термин,17,1,16,Представления пуран о священном тексте как культовом предмете | Обряды «жизненного цикла» скульптуры по материалам пуран | Представление о годе в концепции времени пуран | Особенности представлений о творении вселенной и ее истории в пуранах
два,два,hidden,числительное без предметной привязки,16,11,5,«Тень» Ситы и «призрак» Елены: две истории о похищенных жёнах | Дворец небесный и дворец земной: две схожие главы «Лалитавистары» и их функциональная роль в общей композиции текста | О двух родственных джатакаставах в «Лалитавистаре» и «Раштрапалапариприччха-сутре» | Две формы атомизма в буддизме
драма,драма,public,предметный термин,16,9,7,Драма как категория и жанр в древнеиндийской поэтике | Недосказанность/прерванность речи в классической санскритской драме | Некоторые структурные особенности пролога классической санскритской драмы» | Предварительные замечания к проблеме речевого сбоя в древнеиндийской теории драмы
махабхарат,Махабхарата,public,предметный термин,16,13,3,"Возвращаясь к третьей книге Махабхараты: новый взгляд | Гадание о суженом по зеркалу в «Махабхарате»: индоиранский и индоевропейский фон | ""Махабхарата"" как текст культурной памяти | Принципы построения верениц древнеиндийских имён в «Вишнусахасранаме» («Махабхарата» XII.135)"
трактат,трактат,public,предметный термин,16,6,10,Теория познания в мадхьямаке-сватантрике (по трактату Бхававивеки «Мадхьямака-хридая») | Идеи йогачары в трактате Асанги «Абхидхармасамуччая» (первая глава) | Планиметрические модели тела человека в санскритских трактатах по искусству и в стенописи Аджанты | Коммуникативный дискурс трактата «Таттвасанграха»
хинди,хинди,public,предметный термин,16,16,0,Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Перевод в практике преподавания хинди в средней школе | Пословицы и поговорки Индии и России как аспект межкультурной коммуникации (проектная деятельность на уроках языка хинди) | Анализ переводов М. Зощенко на хинди и на бенгали с помощью метрик readability
этимология,этимология,public,предметный термин,16,9,7,"Kumāra: этимология и мифология | Лексика языка куллуи: этимологии 2026 года | Новые древнеиндийские праформы на материале этимологий лексики языка куллуи | Ведийский гапакс batá- и частица bata / vata: семантика, контекст, этимология"
индуистский,индуистский,public,предметный термин,15,14,1,"Особая священная игра» Гулабрао Махараджа как игровая модель индуистской сотериологии: космология, философия и бхакти | Тантрические парадигмы в игровых системах Востока: сравнительный анализ “Джняна чаупады” и “Салам намшак” сквозь призму индуистской и буддийской тантры | Кула и кауладхарма: центральная универсалия индуистского тантризма. | Сотериологический ракурс «йогического суицида» (utkrānti) в традиционной индуистской йоге и тантре"
китайский,китайский,public,предметный термин,15,4,11,"Этнорелигиозная картина уйгуров по китайским источникам XIV-XIX вв | К вопросу о переводе буддийского термина бодхи (菩提) на китайский язык | Этимология и семантика цветообозначения «красный» в китайской культуре | Происхождение китайского иероглифа 佛 «фо» (Будда, буддизм)"
классический,классический,hidden,слишком общий хронологический маркер,15,9,6,Лексикализация дезидератива в классическом санскрите | Недосказанность/прерванность речи в классической санскритской драме | Некоторые структурные особенности пролога классической санскритской драмы» | Феномен речевого сбоя как средство художественной выразительности в структуре классической санскритской драмы
культурный,культурный,hidden,слишком общий дисциплинарный маркер,15,10,5,"Исторические идеи просветительства Ахамади Дониша в культурном коде Таджикистана | ""Махабхарата"" как текст культурной памяти | Многообразие культурных традиций и влияний в средневековой Индии: от династий до социальных изменений | Скифский язык, топонимы Скифии и Центральной Азии, индоевропейские языки: культурные заимствования из Индии и культур древнего Понта Эвксинского"
первый,первый,hidden,числительное без предметной привязки,15,7,8,Идеи йогачары в трактате Асанги «Абхидхармасамуччая» (первая глава) | «Третий поворот колеса дхармы» и его первые брахманистские оппоненты | Несколько замечаний о введении и первой части «Тирумантирама» | Начало гирлянды. Первые известные серии миниатюр рагамала
понятие,понятие,hidden,слишком общее аналитическое слово,15,10,5,О понятиях «канон» и «классика» в контексте древнеиндийской литературы | О понятии «вкус» (rasa) в древнеиндийской традиции | Формирование понятия пустоты в ранней махаяне | Понятие религиозного инклюзивизма у П. Хакера
поэма,поэма,public,предметный термин,15,10,5,Восхождение Урмилы в поэме Майтхилишарана Гупты «Сакет» | Смысл и понимание войны в средневековой Южной Индии (поэма Джаянкондара «Парани о войне в Калинге») | Любовные и религиозные мотивы в средневековой тамильской поэме «Тирукковейар» Маниккавасахара | Эстетика комического в поэме «Kaliṅkattupparaṇi»
ригведа,ригведа,public,предметный термин,15,13,2,К интерпретации Ригведы: śiśnadevāḥ | Яджня Ригведы и «другая яджня» палийского канона | О терминологии ‘воды’ в космогонических гимнах Ригведы | Фоносемантическая структура ведийского текста (на примере гимна Ригведы I.7)
семантика,семантика,public,предметный термин,15,10,5,"Ведийский гапакс batá- и частица bata / vata: семантика, контекст, этимология | Этимология и семантика цветообозначения «черный» в культуре Китая | Средний залог в санскрите. К семантике категории | Этимология и семантика цветообозначения «красный» в китайской культуре"
абхинавагупта,абхинавагупта,public,предметный термин,14,7,7,Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Интерпретация теизма «Бхагавадгиты» Шанкарой и Абхинавагуптой (на материале их комментариев к «Бхагавадгите) | Монистический теизм (адвайта-ишваравада) Абхинавагупты в сопоставлении с ишваравадой адвайты Шанкары на материале их комментариев к «Бхагавадгите». | О предельном предмете в «Парамартхасаре» Абхинавагупты
бхакти,бхакти,public,предметный термин,14,6,8,"Особая священная игра» Гулабрао Махараджа как игровая модель индуистской сотериологии: космология, философия и бхакти | Проблема бхакти в «Ожерельи Величаний Шивы» — «Шивастотравали» (Śivastotrāvalī) Утпаладевы | Кришнаитские коды проповеди северо-индийского бхакти | Проявление чувств в лирике кришнаитского бхакти XVI в"
индуизм,индуизм,public,предметный термин,14,12,2,"«Они из секты Пифагора»: представления об индуизме трех итальянских купцов второй половины XVI в. | ""Башни с нишами"" в индуизме. Об одном типе храмовых шикхар в архитектуре Чалукьев | Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме | О роли змея (nāga) в вайшнавском культе раннего периода индуизма"
