series,debut_year,years_since_debut,active_n,cohort_size,survival_pct
Zograf,2026,0,19,19,100.0
Roerich,2010,0,1,1,100.0
Roerich,2010,2,1,1,100.0
Roerich,2010,5,1,1,100.0
Roerich,2010,6,1,1,100.0
Roerich,2010,7,1,1,100.0
Roerich,2012,0,29,29,100.0
Roerich,2012,3,17,29,58.6
Roerich,2012,4,14,29,48.3
Roerich,2012,5,17,29,58.6
Roerich,2012,6,16,29,55.2
Roerich,2012,7,13,29,44.8
Roerich,2012,8,12,29,41.4
Roerich,2012,9,10,29,34.5
Roerich,2012,10,10,29,34.5
Roerich,2012,11,5,29,17.2
Roerich,2012,12,9,29,31.0
Roerich,2012,13,8,29,27.6
Roerich,2015,0,11,11,100.0
Roerich,2015,1,6,11,54.5
Roerich,2015,2,4,11,36.4
Roerich,2015,3,8,11,72.7
Roerich,2015,4,8,11,72.7
Roerich,2015,5,6,11,54.5
Roerich,2015,6,4,11,36.4
Roerich,2015,7,3,11,27.3
Roerich,2015,8,2,11,18.2
Roerich,2015,9,2,11,18.2
Roerich,2015,10,3,11,27.3
Roerich,2016,0,7,7,100.0
Roerich,2016,1,3,7,42.9
Roerich,2016,2,4,7,57.1
Roerich,2016,3,3,7,42.9
Roerich,2016,4,4,7,57.1
Roerich,2016,5,4,7,57.1
Roerich,2016,6,4,7,57.1
Roerich,2016,7,1,7,14.3
Roerich,2016,8,1,7,14.3
Roerich,2016,9,1,7,14.3
Roerich,2017,0,4,4,100.0
Roerich,2017,1,3,4,75.0
Roerich,2017,2,2,4,50.0
Roerich,2017,3,2,4,50.0
Roerich,2017,4,2,4,50.0
Roerich,2017,5,2,4,50.0
Roerich,2017,6,2,4,50.0
Roerich,2017,7,1,4,25.0
Roerich,2017,8,1,4,25.0
Roerich,2018,0,2,2,100.0
Roerich,2018,1,1,2,50.0
Roerich,2018,2,1,2,50.0
Roerich,2018,3,1,2,50.0
Roerich,2018,4,1,2,50.0
Roerich,2018,5,1,2,50.0
Roerich,2018,7,1,2,50.0
Roerich,2019,0,3,3,100.0
Roerich,2019,3,1,3,33.3
Roerich,2019,4,1,3,33.3
Roerich,2019,5,3,3,100.0
Roerich,2019,6,1,3,33.3
Roerich,2020,0,5,5,100.0
Roerich,2020,1,2,5,40.0
Roerich,2020,2,2,5,40.0
Roerich,2020,3,1,5,20.0
Roerich,2020,5,2,5,40.0
Roerich,2021,0,7,7,100.0
Roerich,2021,1,3,7,42.9
Roerich,2021,2,2,7,28.6
Roerich,2021,3,2,7,28.6
Roerich,2023,0,2,2,100.0
Roerich,2023,1,1,2,50.0
Roerich,2024,0,9,9,100.0
Roerich,2024,1,5,9,55.6
Roerich,2025,0,14,14,100.0
