presentation_id,title,year,series,coder_2_l1,coder_2_g,existing_l1,existing_g
PRES_8b7b0bd5f3,К вопросу о символике горы Мэру,2010,Roerich Readings,,,religion_and_philosophy,1
PRES_0c885f7efc,Великая галлюцинация сознания по «Вимшике» Васубандху,2020,Zograf Readings,,,religion_and_philosophy,1
PRES_9c14b8613f,"Образ карлика в иконографической программе индийского храма (Аджанта, Эллора, Аурангабад) V – X вв",2013,Roerich Readings,,,art_and_material_culture,1
PRES_5b284b565f,Миф о Потопе и тыкве у дравидийских племен: к вопросу об истории контактов дравидов и мунда,2025,Zograf Readings,,,religion_and_philosophy,2
PRES_0296b0a4d7,Характерные черты и особенности индийского мифологического сериала (на материале сериалов на сюжет «Рамаяны»)*,2021,Zograf Readings,,,literature_and_poetry,2
PRES_978d279dac,Две формы атомизма в буддизме*,2021,Zograf Readings,,,religion_and_philosophy,1
PRES_5e2b4790e6,О брахманических этимологиях,2015,Roerich Readings,,,linguistics_and_philology,1
PRES_4125041435,"Огонь, вода и память: погребальные практики сикхов в мультикультурной среде",2026,Zograf Readings,,,history_and_culture,1
PRES_d26f35d7c4,Роль Умапати Шивачарьи в формировании окончательной редакции канона шайва-сиддханты,2019,Zograf Readings,,,religion_and_philosophy,1
PRES_cac95e2161,В защиту Вишну Шипивишты: «Аз есьм Шипивишта!» (РВ 7.100.6),2025,Zograf Readings,,,religion_and_philosophy,1
PRES_a8e1d07658,"Скифский язык, топонимы Скифии и Центральной Азии, индоевропейские языки: культурные заимствования из Индии и культур древнего Понта Эвксинского",2021,Roerich Readings,,,linguistics_and_philology,3
PRES_a274e74952,Вклад Ю.В. Кнорозова в исследование протоиндийских текстов. К 100-летию со дня рождения,2022,Zograf Readings,,,history_and_culture,1
PRES_1e77ef9490,Индийский эпос «Дхола-Мару» и «Сказка о царе Салтане» А.С.Пушкина,2010,Zograf Readings,,,literature_and_poetry,1
PRES_fa1f4db445,Неизвестный иллюстрированный манускрипт из Непала из собрания кабинета Ю.Н. Рериха Института востоковедения РАН,2015,Roerich Readings,,,art_and_material_culture,1
PRES_9991b02531,Путешествие «Тысячи и одной ночи» в Ирландию,2018,Roerich Readings,,,literature_and_poetry,1
PRES_8ef4ffe2db,Исторические идеи просветительства Ахамади Дониша в культурном коде Таджикистана,2025,Roerich Readings,,,history_and_culture,1
PRES_32246c7904,Полемика о субъекте между буддистами и ньяя-вайшешиками в «Таттвасанграхе» Шантаракшиты,2017,Roerich Readings,,,religion_and_philosophy,1
PRES_bb6d189bea,Палийская и санскритские версии сюжетов о самопожертвовании бодхисатвы-зайца,2021,Zograf Readings,,,literature_and_poetry,1
PRES_6ada32f841,Голубые лотосы санскритской лексикографии*,2021,Zograf Readings,,,linguistics_and_philology,1
PRES_e356e4ef9c,Семантика терминологии родства в языке брахуи в общедравидийском контексте,2019,Zograf Readings,,,linguistics_and_philology,1
PRES_92c5268a51,Фигура царя и представления о времени в «Махабхарате»,2004,Zograf Readings,,,literature_and_poetry,1
PRES_8ac58078e5,Метафора и полисемия в интерпретации буддийских тантр,2015,Zograf Readings,,,religion_and_philosophy,1
PRES_fad14d11c0,Prasādapratibhodbhava (Śatapañcāśatka) Матричеты: тохарский перевод и комментарий,2025,Roerich Readings,,,literature_and_poetry,1
PRES_dff8128e31,«Стотра-ратна» Ямуны: философия vis-à-vis поэзия,2014,Zograf Readings,,,religion_and_philosophy,1
PRES_b67b7540fa,Индийские гана в зеркале китайских гуа,2015,Roerich Readings,,,linguistics_and_philology,1
PRES_2459f3b2ff,Образ Индии в словацкой литературе XIX в,2018,Zograf Readings,,,literature_and_poetry,2
PRES_695f0eba89,Индийские истоки тибетской историографии буддизма,2018,Zograf Readings,,,history_and_culture,2
PRES_bacd314111,Южный поход личчхавов,2009,Zograf Readings,,,history_and_culture,1
PRES_7a0a9c4cff,Тантра в учении Ошо,2018,Zograf Readings,,,religion_and_philosophy,1
